#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7872	0.7154	0.3145
#xyY coordinates: 0.4332	0.3936	0.7154
#sRGB: 255	117	45
#CCT Lindbloom (K):	2977
#CCT McCamy (K):	2982
#CCT Hernández-Andrés (K):	2938
#Melatonin: 0.340
#Chlorophyll a: 0.174
#Chlorophyll b: 0.618
#Beta Carotene: 0.175
#Manufacturer: Philips
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.000000	0.077826
476.000000	0.079232
477.000000	0.072692
478.000000	0.071078
479.000000	0.068006
480.000000	0.068334
481.000000	0.066962
482.000000	0.070022
483.000000	0.067527
484.000000	0.069867
485.000000	0.070129
486.000000	0.071492
487.000000	0.072437
488.000000	0.076619
489.000000	0.076593
490.000000	0.080544
491.000000	0.084415
492.000000	0.089592
493.000000	0.092539
494.000000	0.096850
495.000000	0.104390
496.000000	0.110854
497.000000	0.117573
498.000000	0.124625
499.000000	0.133370
500.000000	0.141944
501.000000	0.148850
502.000000	0.154489
503.000000	0.166159
504.000000	0.171580
505.000000	0.184527
506.000000	0.189204
507.000000	0.200163
508.000000	0.206027
509.000000	0.217604
510.000000	0.227482
511.000000	0.238210
512.000000	0.246318
513.000000	0.252751
514.000000	0.263107
515.000000	0.274859
516.000000	0.281612
517.000000	0.288416
518.000000	0.295038
519.000000	0.306364
520.000000	0.310405
521.000000	0.319016
522.000000	0.326280
523.000000	0.335019
524.000000	0.345485
525.000000	0.353751
526.000000	0.356272
527.000000	0.369625
528.000000	0.373360
529.000000	0.380998
530.000000	0.387291
531.000000	0.391882
532.000000	0.397625
533.000000	0.400793
534.000000	0.405363
535.000000	0.415986
536.000000	0.421608
537.000000	0.429779
538.000000	0.433511
539.000000	0.443142
540.000000	0.444996
541.000000	0.456411
542.000000	0.459832
543.000000	0.471451
544.000000	0.472119
545.000000	0.479891
546.000000	0.487408
547.000000	0.493202
548.000000	0.500487
549.000000	0.506185
550.000000	0.512034
551.000000	0.519444
552.000000	0.527415
553.000000	0.540961
554.000000	0.549708
555.000000	0.552461
556.000000	0.563832
557.000000	0.574839
558.000000	0.589097
559.000000	0.586940
560.000000	0.601770
561.000000	0.606646
562.000000	0.614112
563.000000	0.623439
564.000000	0.629368
565.000000	0.638209
566.000000	0.647356
567.000000	0.656864
568.000000	0.663218
569.000000	0.669419
570.000000	0.670258
571.000000	0.680336
572.000000	0.690675
573.000000	0.696824
574.000000	0.700287
575.000000	0.705183
576.000000	0.712075
577.000000	0.722493
578.000000	0.724238
579.000000	0.727983
580.000000	0.736417
581.000000	0.734401
582.000000	0.745022
583.000000	0.750285
584.000000	0.758330
585.000000	0.766793
586.000000	0.775330
587.000000	0.773704
588.000000	0.779748
589.000000	0.775138
590.000000	0.782921
591.000000	0.780597
592.000000	0.779499
593.000000	0.787459
594.000000	0.788676
595.000000	0.785543
596.000000	0.787335
597.000000	0.781929
598.000000	0.788693
599.000000	0.788282
600.000000	0.792334
601.000000	0.792193
602.000000	0.785804
603.000000	0.787890
604.000000	0.788480
605.000000	0.767969
606.000000	0.762085
607.000000	0.756033
608.000000	0.753639
609.000000	0.749426
610.000000	0.743812
611.000000	0.741258
612.000000	0.728795
613.000000	0.728185
614.000000	0.721645
615.000000	0.728813
616.000000	0.717509
617.000000	0.712038
618.000000	0.710437
619.000000	0.708163
620.000000	0.704015
621.000000	0.688717
622.000000	0.674053
623.000000	0.675237
624.000000	0.660366
625.000000	0.655662
626.000000	0.642752
627.000000	0.636259
628.000000	0.631924
629.000000	0.614265
630.000000	0.614178
631.000000	0.600536
632.000000	0.584091
633.000000	0.586194
634.000000	0.571701
635.000000	0.560830
636.000000	0.553527
637.000000	0.531738
638.000000	0.530114
639.000000	0.515308
640.000000	0.516984
641.000000	0.494877
642.000000	0.491041
643.000000	0.488477
644.000000	0.477706
645.000000	0.463481
646.000000	0.455152
647.000000	0.449712
648.000000	0.438001
649.000000	0.435620
650.000000	0.420813
651.000000	0.412477
652.000000	0.400951
653.000000	0.392479
654.000000	0.388479
655.000000	0.378102
656.000000	0.366506
657.000000	0.365107
658.000000	0.351983
659.000000	0.348765
660.000000	0.338207
661.000000	0.329107
662.000000	0.322393
663.000000	0.309961
664.000000	0.307620
665.000000	0.303143
666.000000	0.290697
667.000000	0.287109
668.000000	0.276826
669.000000	0.273033
670.000000	0.265483
671.000000	0.260458
672.000000	0.254937
673.000000	0.251153
674.000000	0.242535
675.000000	0.236661
676.000000	0.227947
677.000000	0.229275
678.000000	0.224751
679.000000	0.213728
680.000000	0.211544
681.000000	0.199110
682.000000	0.199124
683.000000	0.195608
684.000000	0.188647
685.000000	0.181558
686.000000	0.179203
687.000000	0.174959
688.000000	0.168222
689.000000	0.162640
690.000000	0.154753
691.000000	0.152720
692.000000	0.154337
693.000000	0.149042
694.000000	0.144326
695.000000	0.139827
696.000000	0.137022
697.000000	0.132233
698.000000	0.129562
699.000000	0.124797
700.000000	0.122659
701.000000	0.123796
702.000000	0.118949
703.000000	0.115180
704.000000	0.110746
705.000000	0.108365
706.000000	0.101608
707.000000	0.097752
708.000000	0.099354
709.000000	0.097476
710.000000	0.093231
711.000000	0.091413
712.000000	0.091063
713.000000	0.086035
714.000000	0.081927
715.000000	0.077770
716.000000	0.077404
717.000000	0.079296
718.000000	0.076524
719.000000	0.077092
720.000000	0.069551
721.000000	0.063498
722.000000	0.066138
723.000000	0.070074
724.000000	0.062758
725.000000	0.058540
