#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/18
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7749	0.7175	0.2745
#xyY coordinates: 0.4386	0.4061	0.7175
#sRGB: 255	122	37
#CCT Lindbloom (K):	2989
#CCT McCamy (K):	2993
#CCT Hernández-Andrés (K):	2940
#Melatonin: 0.330
#Chlorophyll a: 0.175
#Chlorophyll b: 0.577
#Beta Carotene: 0.175
#Manufacturer: Lexman
#Luminance manufacturer: 470lm
#Other data: 3000K. 5W
#Begin Processed Spectral Data
W	S
475.000000	0.172548
476.000000	0.168435
477.000000	0.162094
478.000000	0.155829
479.000000	0.154585
480.000000	0.153542
481.000000	0.154895
482.000000	0.153679
483.000000	0.156126
484.000000	0.158134
485.000000	0.159210
486.000000	0.164465
487.000000	0.169460
488.000000	0.171611
489.000000	0.176385
490.000000	0.179500
491.000000	0.181893
492.000000	0.185825
493.000000	0.191606
494.000000	0.199173
495.000000	0.202434
496.000000	0.207103
497.000000	0.216473
498.000000	0.222291
499.000000	0.230026
500.000000	0.235144
501.000000	0.243989
502.000000	0.251109
503.000000	0.258414
504.000000	0.262875
505.000000	0.270262
506.000000	0.274779
507.000000	0.282053
508.000000	0.288260
509.000000	0.296392
510.000000	0.301118
511.000000	0.307030
512.000000	0.318298
513.000000	0.320443
514.000000	0.323186
515.000000	0.329187
516.000000	0.332536
517.000000	0.334308
518.000000	0.341137
519.000000	0.341549
520.000000	0.348077
521.000000	0.347485
522.000000	0.351206
523.000000	0.356252
524.000000	0.364956
525.000000	0.366531
526.000000	0.370276
527.000000	0.374041
528.000000	0.377144
529.000000	0.380704
530.000000	0.380499
531.000000	0.384662
532.000000	0.387342
533.000000	0.387758
534.000000	0.392345
535.000000	0.393559
536.000000	0.395302
537.000000	0.401369
538.000000	0.400823
539.000000	0.404270
540.000000	0.412712
541.000000	0.415432
542.000000	0.419141
543.000000	0.426733
544.000000	0.422627
545.000000	0.429657
546.000000	0.433109
547.000000	0.438733
548.000000	0.443674
549.000000	0.445689
550.000000	0.451406
551.000000	0.454541
552.000000	0.460716
553.000000	0.463666
554.000000	0.467260
555.000000	0.475047
556.000000	0.484610
557.000000	0.491735
558.000000	0.496068
559.000000	0.502818
560.000000	0.505186
561.000000	0.514956
562.000000	0.518897
563.000000	0.519400
564.000000	0.527187
565.000000	0.538390
566.000000	0.542055
567.000000	0.545898
568.000000	0.552376
569.000000	0.563184
570.000000	0.562708
571.000000	0.568731
572.000000	0.580106
573.000000	0.587041
574.000000	0.591976
575.000000	0.596486
576.000000	0.601968
577.000000	0.608503
578.000000	0.613936
579.000000	0.618899
580.000000	0.628862
581.000000	0.638298
582.000000	0.640896
583.000000	0.647811
584.000000	0.659004
585.000000	0.668274
586.000000	0.676662
587.000000	0.675095
588.000000	0.686540
589.000000	0.686717
590.000000	0.696134
591.000000	0.700732
592.000000	0.696901
593.000000	0.705737
594.000000	0.706846
595.000000	0.717735
596.000000	0.716812
597.000000	0.715351
598.000000	0.727642
599.000000	0.727208
600.000000	0.734574
601.000000	0.733371
602.000000	0.739415
603.000000	0.740687
604.000000	0.739091
605.000000	0.741831
606.000000	0.736709
607.000000	0.731932
608.000000	0.730624
609.000000	0.728207
610.000000	0.723556
611.000000	0.723685
612.000000	0.723078
613.000000	0.722228
614.000000	0.720941
615.000000	0.719034
616.000000	0.719299
617.000000	0.718476
618.000000	0.723302
619.000000	0.714034
620.000000	0.711341
621.000000	0.705472
622.000000	0.697405
623.000000	0.692749
624.000000	0.681353
625.000000	0.674124
626.000000	0.673286
627.000000	0.662147
628.000000	0.655158
629.000000	0.650596
630.000000	0.643362
631.000000	0.635722
632.000000	0.624579
633.000000	0.615838
634.000000	0.613643
635.000000	0.599331
636.000000	0.592443
637.000000	0.578873
638.000000	0.567098
639.000000	0.563286
640.000000	0.549243
641.000000	0.544791
642.000000	0.537475
643.000000	0.523227
644.000000	0.517887
645.000000	0.503856
646.000000	0.494185
647.000000	0.492213
648.000000	0.483827
649.000000	0.470777
650.000000	0.457524
651.000000	0.452213
652.000000	0.443679
653.000000	0.429732
654.000000	0.419308
655.000000	0.414458
656.000000	0.408609
657.000000	0.387738
658.000000	0.383958
659.000000	0.381048
660.000000	0.369687
661.000000	0.364229
662.000000	0.352154
663.000000	0.339150
664.000000	0.328480
665.000000	0.323983
666.000000	0.315046
667.000000	0.308770
668.000000	0.299085
669.000000	0.292039
670.000000	0.286945
671.000000	0.283258
672.000000	0.269931
673.000000	0.263086
674.000000	0.257840
675.000000	0.249765
676.000000	0.246454
677.000000	0.237846
678.000000	0.229336
679.000000	0.226101
680.000000	0.223389
681.000000	0.213266
682.000000	0.206358
683.000000	0.204505
684.000000	0.197346
685.000000	0.188203
686.000000	0.186434
687.000000	0.181180
688.000000	0.176466
689.000000	0.166279
690.000000	0.162922
691.000000	0.160161
692.000000	0.155721
693.000000	0.148140
694.000000	0.147156
695.000000	0.142302
696.000000	0.137157
697.000000	0.133087
698.000000	0.126931
699.000000	0.125807
700.000000	0.122333
701.000000	0.122928
702.000000	0.116422
703.000000	0.110788
704.000000	0.114570
705.000000	0.108064
706.000000	0.103188
707.000000	0.097397
708.000000	0.097029
709.000000	0.095750
710.000000	0.089944
711.000000	0.088918
712.000000	0.085399
713.000000	0.082404
714.000000	0.077056
715.000000	0.076490
716.000000	0.072615
717.000000	0.074115
718.000000	0.071490
719.000000	0.070478
720.000000	0.069515
721.000000	0.066540
722.000000	0.063149
723.000000	0.060368
724.000000	0.059949
725.000000	0.058495
