#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/25
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7916	0.7128	0.3599
#xyY coordinates: 0.4246	0.3824	0.7128
#sRGB: 255	116	55
#CCT Lindbloom (K):	3033
#CCT McCamy (K):	3041
#CCT Hernández-Andrés (K):	3013
#Melatonin: 0.382
#Chlorophyll a: 0.163
#Chlorophyll b: 0.653
#Beta Carotene: 0.164
#Manufacturer: Philips
#Luminance manufacturer: Unknown
#Other data: LED street lamps in Plaza 3 de Abril, Almería.
#Begin Processed Spectral Data
W	S
475.000000	0.074186
476.000000	0.068949
477.000000	0.067507
478.000000	0.068991
479.000000	0.065784
480.000000	0.065397
481.000000	0.064999
482.000000	0.063533
483.000000	0.064209
484.000000	0.066449
485.000000	0.069505
486.000000	0.070075
487.000000	0.073720
488.000000	0.075044
489.000000	0.078689
490.000000	0.084377
491.000000	0.090258
492.000000	0.095480
493.000000	0.100797
494.000000	0.106154
495.000000	0.113346
496.000000	0.119806
497.000000	0.130198
498.000000	0.138585
499.000000	0.146163
500.000000	0.153700
501.000000	0.161960
502.000000	0.173703
503.000000	0.184844
504.000000	0.190388
505.000000	0.199504
506.000000	0.209470
507.000000	0.222121
508.000000	0.229742
509.000000	0.236575
510.000000	0.247598
511.000000	0.257580
512.000000	0.267305
513.000000	0.276607
514.000000	0.282456
515.000000	0.292828
516.000000	0.300280
517.000000	0.307265
518.000000	0.312701
519.000000	0.323154
520.000000	0.331051
521.000000	0.336655
522.000000	0.342599
523.000000	0.347716
524.000000	0.362307
525.000000	0.365475
526.000000	0.369492
527.000000	0.378747
528.000000	0.385713
529.000000	0.388506
530.000000	0.393073
531.000000	0.398506
532.000000	0.406666
533.000000	0.406771
534.000000	0.415453
535.000000	0.420937
536.000000	0.423194
537.000000	0.429314
538.000000	0.436949
539.000000	0.442913
540.000000	0.450131
541.000000	0.454886
542.000000	0.458813
543.000000	0.470812
544.000000	0.470668
545.000000	0.478105
546.000000	0.484108
547.000000	0.489659
548.000000	0.500688
549.000000	0.500463
550.000000	0.504571
551.000000	0.516150
552.000000	0.521102
553.000000	0.530957
554.000000	0.536971
555.000000	0.547649
556.000000	0.557262
557.000000	0.563194
558.000000	0.569081
559.000000	0.577480
560.000000	0.588630
561.000000	0.596594
562.000000	0.605099
563.000000	0.611659
564.000000	0.619297
565.000000	0.627236
566.000000	0.637299
567.000000	0.642715
568.000000	0.650601
569.000000	0.654365
570.000000	0.664988
571.000000	0.666602
572.000000	0.676703
573.000000	0.688303
574.000000	0.690885
575.000000	0.696397
576.000000	0.703530
577.000000	0.713730
578.000000	0.715735
579.000000	0.724570
580.000000	0.724112
581.000000	0.732307
582.000000	0.737781
583.000000	0.748065
584.000000	0.754670
585.000000	0.759922
586.000000	0.769308
587.000000	0.772458
588.000000	0.770156
589.000000	0.772913
590.000000	0.779582
591.000000	0.778809
592.000000	0.778849
593.000000	0.785782
594.000000	0.783278
595.000000	0.783503
596.000000	0.790158
597.000000	0.789270
598.000000	0.784313
599.000000	0.790717
600.000000	0.797070
601.000000	0.788707
602.000000	0.793638
603.000000	0.795440
604.000000	0.784348
605.000000	0.781016
606.000000	0.774979
607.000000	0.769440
608.000000	0.769153
609.000000	0.760543
610.000000	0.750612
611.000000	0.745752
612.000000	0.743549
613.000000	0.739041
614.000000	0.733540
615.000000	0.733542
616.000000	0.728235
617.000000	0.727070
618.000000	0.721721
619.000000	0.717610
620.000000	0.712184
621.000000	0.693164
622.000000	0.686418
623.000000	0.676226
624.000000	0.673954
625.000000	0.663954
626.000000	0.650553
627.000000	0.642142
628.000000	0.629288
629.000000	0.623683
630.000000	0.616499
631.000000	0.599419
632.000000	0.594258
633.000000	0.580898
634.000000	0.576532
635.000000	0.560545
636.000000	0.547458
637.000000	0.536373
638.000000	0.526116
639.000000	0.518195
640.000000	0.506415
641.000000	0.500265
642.000000	0.497319
