#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7978	0.7191	0.3654
#xyY coordinates: 0.4239	0.3820	0.7191
#sRGB: 255	116	56
#CCT Lindbloom (K):	3045
#CCT McCamy (K):	3053
#CCT Hernández-Andrés (K):	3025
#Melatonin: 0.380
#Chlorophyll a: 0.175
#Chlorophyll b: 0.681
#Beta Carotene: 0.176
#Manufacturer: Philips
#Luminance manufacturer: Unknown
#Other data: Madrid streetlamp at Moncloa intermodal transportation hub
#Begin Processed Spectral Data
W	S
475.000000	0.099398
476.000000	0.094047
477.000000	0.088472
478.000000	0.085069
479.000000	0.083791
480.000000	0.080527
481.000000	0.079325
482.000000	0.076855
483.000000	0.078626
484.000000	0.078769
485.000000	0.078795
486.000000	0.078426
487.000000	0.079594
488.000000	0.082469
489.000000	0.082402
490.000000	0.087027
491.000000	0.090315
492.000000	0.093142
493.000000	0.098064
494.000000	0.102085
495.000000	0.106460
496.000000	0.113056
497.000000	0.120652
498.000000	0.123725
499.000000	0.133225
500.000000	0.140176
501.000000	0.149204
502.000000	0.158937
503.000000	0.163892
504.000000	0.173055
505.000000	0.177478
506.000000	0.189412
507.000000	0.197958
508.000000	0.210095
509.000000	0.219644
510.000000	0.226921
511.000000	0.235181
512.000000	0.246953
513.000000	0.249932
514.000000	0.264576
515.000000	0.272563
516.000000	0.280492
517.000000	0.287305
518.000000	0.291813
519.000000	0.301153
520.000000	0.311352
521.000000	0.319274
522.000000	0.328600
523.000000	0.331092
524.000000	0.342192
525.000000	0.352516
526.000000	0.355363
527.000000	0.362882
528.000000	0.374095
529.000000	0.377986
530.000000	0.386857
531.000000	0.391110
532.000000	0.399508
533.000000	0.399348
534.000000	0.406919
535.000000	0.417624
536.000000	0.419150
537.000000	0.425191
538.000000	0.429077
539.000000	0.445760
540.000000	0.446936
541.000000	0.455523
542.000000	0.461779
543.000000	0.471217
544.000000	0.474567
545.000000	0.481187
546.000000	0.483720
547.000000	0.494046
548.000000	0.503999
549.000000	0.505494
550.000000	0.513634
551.000000	0.519922
552.000000	0.525282
553.000000	0.537684
554.000000	0.545623
555.000000	0.548092
556.000000	0.562774
557.000000	0.571288
558.000000	0.581950
559.000000	0.587920
560.000000	0.601062
561.000000	0.603452
562.000000	0.614483
563.000000	0.618189
564.000000	0.625176
565.000000	0.632647
566.000000	0.648186
567.000000	0.652906
568.000000	0.661208
569.000000	0.666108
570.000000	0.672130
571.000000	0.679407
572.000000	0.688015
573.000000	0.693750
574.000000	0.698837
575.000000	0.705692
576.000000	0.715287
577.000000	0.714397
578.000000	0.717038
579.000000	0.726789
580.000000	0.733784
581.000000	0.741688
582.000000	0.750004
583.000000	0.750904
584.000000	0.762613
585.000000	0.766737
586.000000	0.766137
587.000000	0.769910
588.000000	0.773382
589.000000	0.777794
590.000000	0.780566
591.000000	0.782540
592.000000	0.782141
593.000000	0.779553
594.000000	0.777856
595.000000	0.775508
596.000000	0.777243
597.000000	0.780235
598.000000	0.781391
599.000000	0.782176
600.000000	0.787153
601.000000	0.775563
602.000000	0.779977
603.000000	0.779511
604.000000	0.772228
605.000000	0.760596
606.000000	0.764026
607.000000	0.748329
608.000000	0.746787
609.000000	0.739509
610.000000	0.727316
611.000000	0.722294
612.000000	0.711973
613.000000	0.706020
614.000000	0.700856
615.000000	0.707685
616.000000	0.704581
617.000000	0.700032
618.000000	0.704063
619.000000	0.697395
620.000000	0.701796
621.000000	0.692076
622.000000	0.683214
623.000000	0.678902
624.000000	0.669346
625.000000	0.669380
626.000000	0.658685
627.000000	0.646252
628.000000	0.642085
629.000000	0.620817
630.000000	0.614701
631.000000	0.604036
632.000000	0.586316
633.000000	0.577856
634.000000	0.567064
635.000000	0.558980
636.000000	0.547776
637.000000	0.545810
638.000000	0.529742
639.000000	0.520366
640.000000	0.511702
641.000000	0.499772
642.000000	0.493693
643.000000	0.486812
644.000000	0.476687
645.000000	0.470437
646.000000	0.456210
647.000000	0.447503
648.000000	0.444312
649.000000	0.431223
650.000000	0.422402
651.000000	0.415140
652.000000	0.407149
653.000000	0.392424
654.000000	0.382885
655.000000	0.382287
656.000000	0.373992
657.000000	0.356988
658.000000	0.350496
659.000000	0.345314
660.000000	0.340648
661.000000	0.338265
662.000000	0.325447
663.000000	0.317280
664.000000	0.310620
665.000000	0.308953
666.000000	0.293032
667.000000	0.288788
668.000000	0.278533
669.000000	0.276546
670.000000	0.266685
671.000000	0.263103
672.000000	0.257254
673.000000	0.248033
674.000000	0.244293
675.000000	0.233941
676.000000	0.229359
677.000000	0.225885
678.000000	0.216950
679.000000	0.215893
680.000000	0.207002
681.000000	0.207225
682.000000	0.199649
683.000000	0.192592
684.000000	0.186931
685.000000	0.188435
686.000000	0.181397
687.000000	0.175792
688.000000	0.170488
689.000000	0.169028
690.000000	0.158506
691.000000	0.159843
692.000000	0.156649
693.000000	0.151345
694.000000	0.146944
695.000000	0.142009
696.000000	0.140622
697.000000	0.135988
698.000000	0.128031
699.000000	0.129583
700.000000	0.128812
701.000000	0.123449
702.000000	0.119860
703.000000	0.120681
704.000000	0.111907
705.000000	0.106828
706.000000	0.105131
707.000000	0.101315
708.000000	0.099683
709.000000	0.096357
710.000000	0.094383
711.000000	0.090973
712.000000	0.087586
713.000000	0.085677
714.000000	0.084365
715.000000	0.084281
716.000000	0.082031
717.000000	0.079013
718.000000	0.074418
719.000000	0.075579
720.000000	0.071067
721.000000	0.069406
722.000000	0.066108
723.000000	0.066807
724.000000	0.060904
725.000000	0.060962
