#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.8057	0.7208	0.4124
#xyY coordinates: 0.4155	0.3718	0.7208
#sRGB: 255	116	66
#CCT Lindbloom (K):	3114
#CCT McCamy (K):	3126
#CCT Hernández-Andrés (K):	3114
#Melatonin: 0.416
#Chlorophyll a: 0.175
#Chlorophyll b: 0.733
#Beta Carotene: 0.175
#Manufacturer: Philips
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.000000	0.096428
476.000000	0.090541
477.000000	0.090597
478.000000	0.083115
479.000000	0.081947
480.000000	0.080943
481.000000	0.082407
482.000000	0.078781
483.000000	0.081149
484.000000	0.078867
485.000000	0.080562
486.000000	0.081366
487.000000	0.080713
488.000000	0.083260
489.000000	0.085041
490.000000	0.085961
491.000000	0.089686
492.000000	0.095723
493.000000	0.098026
494.000000	0.107012
495.000000	0.105631
496.000000	0.113231
497.000000	0.124910
498.000000	0.126898
499.000000	0.137658
500.000000	0.145466
501.000000	0.153217
502.000000	0.162908
503.000000	0.170720
504.000000	0.177842
505.000000	0.190667
506.000000	0.193295
507.000000	0.205516
508.000000	0.215319
509.000000	0.222911
510.000000	0.230749
511.000000	0.240052
512.000000	0.252153
513.000000	0.254592
514.000000	0.269389
515.000000	0.280058
516.000000	0.286624
517.000000	0.293171
518.000000	0.298404
519.000000	0.308459
520.000000	0.313543
521.000000	0.323409
522.000000	0.332716
523.000000	0.340747
524.000000	0.345977
525.000000	0.355646
526.000000	0.363971
527.000000	0.367385
528.000000	0.374894
529.000000	0.384292
530.000000	0.389157
531.000000	0.393919
532.000000	0.403276
533.000000	0.404832
534.000000	0.410712
535.000000	0.417010
536.000000	0.425452
537.000000	0.429147
538.000000	0.433739
539.000000	0.442401
540.000000	0.448124
541.000000	0.456883
542.000000	0.462162
543.000000	0.468982
544.000000	0.470112
545.000000	0.483601
546.000000	0.485395
547.000000	0.494322
548.000000	0.497570
549.000000	0.509729
550.000000	0.516305
551.000000	0.524191
552.000000	0.530166
553.000000	0.540359
554.000000	0.542236
555.000000	0.556986
556.000000	0.561902
557.000000	0.573369
558.000000	0.580774
559.000000	0.594580
560.000000	0.604275
561.000000	0.612807
562.000000	0.616324
563.000000	0.620108
564.000000	0.624850
565.000000	0.634166
566.000000	0.641930
567.000000	0.655066
568.000000	0.658110
569.000000	0.671752
570.000000	0.673814
571.000000	0.678656
572.000000	0.683747
573.000000	0.691764
574.000000	0.699411
575.000000	0.705705
576.000000	0.705109
577.000000	0.718240
578.000000	0.720481
579.000000	0.723295
580.000000	0.728114
581.000000	0.732342
582.000000	0.739207
583.000000	0.749194
584.000000	0.754079
585.000000	0.764922
586.000000	0.767667
587.000000	0.777195
588.000000	0.771586
589.000000	0.773970
590.000000	0.776149
591.000000	0.776280
592.000000	0.779205
593.000000	0.787973
594.000000	0.784801
595.000000	0.780579
596.000000	0.774866
597.000000	0.778370
598.000000	0.782621
599.000000	0.787295
600.000000	0.781519
601.000000	0.774505
602.000000	0.779681
603.000000	0.786149
604.000000	0.778383
605.000000	0.765594
606.000000	0.765344
607.000000	0.754174
608.000000	0.743445
609.000000	0.736725
610.000000	0.735836
611.000000	0.727369
612.000000	0.728035
613.000000	0.721535
614.000000	0.719580
615.000000	0.713653
616.000000	0.709420
617.000000	0.705301
618.000000	0.706716
619.000000	0.701265
620.000000	0.697241
621.000000	0.684771
622.000000	0.676098
623.000000	0.668543
624.000000	0.657271
625.000000	0.646708
626.000000	0.640593
627.000000	0.632981
628.000000	0.624476
629.000000	0.615495
630.000000	0.608430
631.000000	0.595815
632.000000	0.581058
633.000000	0.578754
634.000000	0.570311
635.000000	0.560424
636.000000	0.545158
637.000000	0.539772
638.000000	0.533962
639.000000	0.518055
640.000000	0.509053
641.000000	0.499624
642.000000	0.493947
643.000000	0.477664
644.000000	0.472097
645.000000	0.463011
646.000000	0.459865
647.000000	0.442210
648.000000	0.431987
649.000000	0.428126
650.000000	0.416467
651.000000	0.406978
652.000000	0.405157
653.000000	0.392041
654.000000	0.384143
655.000000	0.376807
656.000000	0.370813
657.000000	0.364207
658.000000	0.346433
