#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.8006	0.7304	0.3794
#xyY coordinates: 0.4191	0.3823	0.7304
#sRGB: 255	121	59
#CCT Lindbloom (K):	3140
#CCT McCamy (K):	3150
#CCT Hernández-Andrés (K):	3129
#Melatonin: 0.387
#Chlorophyll a: 0.182
#Chlorophyll b: 0.686
#Beta Carotene: 0.183
#Manufacturer: Philips
#Luminance manufacturer: Unknown
#Other data: Madrid streetlamp at Calle Espoz y Mina
#Begin Processed Spectral Data
W	S
475.000000	0.123371
476.000000	0.117852
477.000000	0.111877
478.000000	0.105678
479.000000	0.101936
480.000000	0.099822
481.000000	0.098727
482.000000	0.096236
483.000000	0.095057
484.000000	0.093377
485.000000	0.095601
486.000000	0.094792
487.000000	0.095410
488.000000	0.096448
489.000000	0.097450
490.000000	0.097551
491.000000	0.103011
492.000000	0.106762
493.000000	0.110123
494.000000	0.113724
495.000000	0.120243
496.000000	0.122723
497.000000	0.131344
498.000000	0.138882
499.000000	0.145432
500.000000	0.151587
501.000000	0.156322
502.000000	0.167359
503.000000	0.176475
504.000000	0.180524
505.000000	0.191557
506.000000	0.198869
507.000000	0.208786
508.000000	0.218111
509.000000	0.230811
510.000000	0.236444
511.000000	0.247476
512.000000	0.255192
513.000000	0.260172
514.000000	0.272317
515.000000	0.283176
516.000000	0.288580
517.000000	0.295354
518.000000	0.304968
519.000000	0.310328
520.000000	0.316193
521.000000	0.321775
522.000000	0.331571
523.000000	0.340210
524.000000	0.348947
525.000000	0.357474
526.000000	0.364769
527.000000	0.369800
528.000000	0.377342
529.000000	0.385926
530.000000	0.390985
531.000000	0.393946
532.000000	0.405360
533.000000	0.408096
534.000000	0.415970
535.000000	0.425314
536.000000	0.429373
537.000000	0.433516
538.000000	0.440218
539.000000	0.450854
540.000000	0.458742
541.000000	0.464620
542.000000	0.469420
543.000000	0.480153
544.000000	0.479699
545.000000	0.488123
546.000000	0.491666
547.000000	0.504936
548.000000	0.511113
549.000000	0.517411
550.000000	0.524568
551.000000	0.533154
552.000000	0.534351
553.000000	0.548413
554.000000	0.558371
555.000000	0.565981
556.000000	0.570422
557.000000	0.579247
558.000000	0.590226
559.000000	0.598492
560.000000	0.610442
561.000000	0.616739
562.000000	0.625849
563.000000	0.633161
564.000000	0.632962
565.000000	0.643006
566.000000	0.655868
567.000000	0.665442
568.000000	0.667946
569.000000	0.679672
570.000000	0.680006
571.000000	0.690909
572.000000	0.686503
573.000000	0.696205
574.000000	0.704920
575.000000	0.708276
576.000000	0.719371
577.000000	0.722005
578.000000	0.721985
579.000000	0.729590
580.000000	0.734250
581.000000	0.742666
582.000000	0.744932
583.000000	0.746246
584.000000	0.755019
585.000000	0.767394
586.000000	0.761185
587.000000	0.769462
588.000000	0.765967
589.000000	0.771250
590.000000	0.766409
591.000000	0.775242
592.000000	0.767563
593.000000	0.774580
594.000000	0.769665
595.000000	0.771130
596.000000	0.776831
597.000000	0.770643
598.000000	0.771882
599.000000	0.772991
600.000000	0.779719
601.000000	0.765932
602.000000	0.765081
603.000000	0.769953
604.000000	0.757641
605.000000	0.752402
606.000000	0.746107
607.000000	0.741468
608.000000	0.730269
609.000000	0.727851
610.000000	0.719593
611.000000	0.708799
612.000000	0.711473
613.000000	0.702375
614.000000	0.703566
615.000000	0.701526
616.000000	0.698227
617.000000	0.687517
618.000000	0.696208
619.000000	0.686964
620.000000	0.682576
621.000000	0.668649
622.000000	0.662911
623.000000	0.655736
624.000000	0.650736
625.000000	0.631806
626.000000	0.623695
627.000000	0.614239
628.000000	0.608431
629.000000	0.603168
630.000000	0.592906
631.000000	0.586995
632.000000	0.571499
633.000000	0.552562
634.000000	0.557245
635.000000	0.542831
636.000000	0.537478
637.000000	0.522159
638.000000	0.514106
639.000000	0.504137
640.000000	0.498461
641.000000	0.477168
642.000000	0.479658
643.000000	0.468980
644.000000	0.461341
645.000000	0.450558
646.000000	0.446623
647.000000	0.432261
648.000000	0.424915
649.000000	0.419557
650.000000	0.408277
651.000000	0.409182
652.000000	0.402019
653.000000	0.387813
654.000000	0.380433
655.000000	0.373615
656.000000	0.359482
657.000000	0.355501
658.000000	0.342200
659.000000	0.339499
660.000000	0.333948
661.000000	0.327171
662.000000	0.322795
663.000000	0.308385
664.000000	0.302148
665.000000	0.297275
666.000000	0.290296
667.000000	0.284898
668.000000	0.273366
669.000000	0.265270
670.000000	0.268217
671.000000	0.255045
672.000000	0.251090
673.000000	0.249521
674.000000	0.241651
675.000000	0.236271
676.000000	0.234065
677.000000	0.226561
678.000000	0.217309
679.000000	0.218037
680.000000	0.206428
681.000000	0.201024
682.000000	0.198070
683.000000	0.193774
684.000000	0.189259
685.000000	0.182481
686.000000	0.174169
687.000000	0.172272
688.000000	0.167543
689.000000	0.164160
690.000000	0.164666
691.000000	0.153197
692.000000	0.152402
693.000000	0.151054
694.000000	0.148312
695.000000	0.139087
696.000000	0.136417
697.000000	0.134838
698.000000	0.127889
699.000000	0.129090
700.000000	0.125519
701.000000	0.125561
702.000000	0.119938
703.000000	0.121128
704.000000	0.108259
705.000000	0.112517
706.000000	0.106685
707.000000	0.106551
708.000000	0.101111
709.000000	0.094731
710.000000	0.091289
711.000000	0.094673
712.000000	0.087689
713.000000	0.089634
714.000000	0.080192
715.000000	0.081221
716.000000	0.079184
717.000000	0.079287
718.000000	0.074410
719.000000	0.075573
720.000000	0.071549
721.000000	0.071724
722.000000	0.068141
723.000000	0.063971
724.000000	0.064743
725.000000	0.064270
