#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/18
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.8327	0.8256	0.4804
#xyY coordinates: 0.3893	0.3861	0.8256
#sRGB: 255	163	83
#CCT Lindbloom (K):	3836
#CCT McCamy (K):	3845
#CCT Hernández-Andrés (K):	3836
#Melatonin: 0.458
#Chlorophyll a: 0.133
#Chlorophyll b: 0.710
#Beta Carotene: 0.133
#Manufacturer: Lexman
#Luminance manufacturer: 470lm
#Other data: 4000K. 5W
#Begin Processed Spectral Data
W	S
475.000000	0.195949
476.000000	0.188554
477.000000	0.184749
478.000000	0.179209
479.000000	0.181020
480.000000	0.180526
481.000000	0.182810
482.000000	0.183114
483.000000	0.186757
484.000000	0.189382
485.000000	0.194416
486.000000	0.200297
487.000000	0.204403
488.000000	0.208264
489.000000	0.215983
490.000000	0.221118
491.000000	0.228065
492.000000	0.235529
493.000000	0.244027
494.000000	0.253158
495.000000	0.260911
496.000000	0.270431
497.000000	0.282434
498.000000	0.290748
499.000000	0.301706
500.000000	0.310441
501.000000	0.319603
502.000000	0.330685
503.000000	0.342018
504.000000	0.347318
505.000000	0.355619
506.000000	0.363731
507.000000	0.372235
508.000000	0.380074
509.000000	0.389107
510.000000	0.396173
511.000000	0.404838
512.000000	0.413181
513.000000	0.417330
514.000000	0.425048
515.000000	0.431165
516.000000	0.435814
517.000000	0.439567
518.000000	0.442432
519.000000	0.445882
520.000000	0.450536
521.000000	0.453852
522.000000	0.458126
523.000000	0.462396
524.000000	0.469046
525.000000	0.470658
526.000000	0.475424
527.000000	0.478620
528.000000	0.482385
529.000000	0.486214
530.000000	0.488453
531.000000	0.488956
532.000000	0.492888
533.000000	0.492289
534.000000	0.495201
535.000000	0.498304
536.000000	0.501222
537.000000	0.503162
538.000000	0.505128
539.000000	0.507351
540.000000	0.511455
541.000000	0.516028
542.000000	0.517326
543.000000	0.521231
544.000000	0.521747
545.000000	0.525065
546.000000	0.525789
547.000000	0.530220
548.000000	0.534680
549.000000	0.534127
550.000000	0.537501
551.000000	0.543257
552.000000	0.545369
553.000000	0.548423
554.000000	0.551833
555.000000	0.555696
556.000000	0.561937
557.000000	0.566195
558.000000	0.572582
559.000000	0.575074
560.000000	0.579586
561.000000	0.586803
562.000000	0.586592
563.000000	0.586902
564.000000	0.588641
565.000000	0.592813
566.000000	0.598506
567.000000	0.602717
568.000000	0.604190
569.000000	0.606702
570.000000	0.607721
571.000000	0.611441
572.000000	0.613838
573.000000	0.617416
574.000000	0.618122
575.000000	0.620709
576.000000	0.622550
577.000000	0.628081
578.000000	0.630258
579.000000	0.631229
580.000000	0.634867
581.000000	0.635863
582.000000	0.641032
583.000000	0.646257
584.000000	0.650828
585.000000	0.657299
586.000000	0.658924
587.000000	0.661451
588.000000	0.661290
589.000000	0.662196
590.000000	0.663531
591.000000	0.666613
592.000000	0.666319
593.000000	0.668206
594.000000	0.667182
595.000000	0.669550
596.000000	0.668675
597.000000	0.668856
598.000000	0.670474
599.000000	0.672875
600.000000	0.673631
601.000000	0.670520
