#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/22
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7574	0.7579	0.4594
#xyY coordinates: 0.3836	0.3838	0.7579
#sRGB: 255	170	90
#CCT Lindbloom (K):	3969
#CCT McCamy (K):	3975
#CCT Hernández-Andrés (K):	3968
#Melatonin: 0.465
#Chlorophyll a: 0.094
#Chlorophyll b: 0.673
#Beta Carotene: 0.095
#Manufacturer: Philips
#Luminance manufacturer: Unknown
#Other data: New street lights on Villarrubia de los Ojos (Ciudad Real, Spain)
#Begin Processed Spectral Data
W	S
475.000000	0.082643
476.000000	0.082147
477.000000	0.081643
478.000000	0.076872
479.000000	0.078857
480.000000	0.078479
481.000000	0.081756
482.000000	0.084115
483.000000	0.084754
484.000000	0.086486
485.000000	0.090319
486.000000	0.093818
487.000000	0.096938
488.000000	0.104007
489.000000	0.107921
490.000000	0.114007
491.000000	0.123547
492.000000	0.130090
493.000000	0.137462
494.000000	0.146760
495.000000	0.157976
496.000000	0.170189
497.000000	0.179977
498.000000	0.196534
499.000000	0.207003
500.000000	0.218288
501.000000	0.232603
502.000000	0.245963
503.000000	0.261747
504.000000	0.272414
505.000000	0.284702
506.000000	0.298786
507.000000	0.314863
508.000000	0.331868
509.000000	0.346352
510.000000	0.358881
511.000000	0.374044
512.000000	0.389513
513.000000	0.399159
514.000000	0.417658
515.000000	0.431122
516.000000	0.440218
517.000000	0.448176
518.000000	0.460959
519.000000	0.469729
520.000000	0.477701
521.000000	0.478990
522.000000	0.495780
523.000000	0.506385
524.000000	0.516865
525.000000	0.518145
526.000000	0.531161
527.000000	0.539038
528.000000	0.548451
529.000000	0.555906
530.000000	0.558262
531.000000	0.561809
532.000000	0.570629
533.000000	0.572071
534.000000	0.570571
535.000000	0.582591
536.000000	0.584295
537.000000	0.589265
538.000000	0.598909
539.000000	0.601958
540.000000	0.605852
541.000000	0.613902
542.000000	0.612107
543.000000	0.627309
544.000000	0.617953
545.000000	0.624949
546.000000	0.631591
547.000000	0.632307
548.000000	0.636368
549.000000	0.636365
550.000000	0.644072
551.000000	0.647845
552.000000	0.657360
553.000000	0.660208
554.000000	0.664519
555.000000	0.675197
556.000000	0.682056
557.000000	0.683546
558.000000	0.688791
559.000000	0.695090
560.000000	0.703019
561.000000	0.712034
562.000000	0.712749
563.000000	0.709914
564.000000	0.716195
565.000000	0.722027
566.000000	0.726892
567.000000	0.731319
568.000000	0.731104
569.000000	0.737212
570.000000	0.738166
571.000000	0.741207
572.000000	0.744925
573.000000	0.750231
574.000000	0.745917
575.000000	0.741596
576.000000	0.750758
577.000000	0.757461
578.000000	0.758558
579.000000	0.757139
580.000000	0.761132
581.000000	0.761750
582.000000	0.764737
583.000000	0.769399
584.000000	0.768300
585.000000	0.773758
586.000000	0.770298
587.000000	0.779621
588.000000	0.767346
589.000000	0.761792
590.000000	0.769208
591.000000	0.761961
592.000000	0.755403
593.000000	0.761326
594.000000	0.746988
595.000000	0.745911
596.000000	0.745059
597.000000	0.740416
598.000000	0.744643
599.000000	0.733887
600.000000	0.734535
601.000000	0.724594
602.000000	0.722353
603.000000	0.721073
604.000000	0.707135
605.000000	0.696953
606.000000	0.690017
607.000000	0.681445
608.000000	0.672793
609.000000	0.666565
610.000000	0.661644
611.000000	0.656681
612.000000	0.644181
613.000000	0.631768
614.000000	0.627903
615.000000	0.622286
616.000000	0.619791
617.000000	0.611567
618.000000	0.606862
619.000000	0.584237
620.000000	0.590798
621.000000	0.567546
622.000000	0.561438
623.000000	0.549666
624.000000	0.534379
625.000000	0.528848
626.000000	0.518257
627.000000	0.508744
628.000000	0.498660
629.000000	0.490605
630.000000	0.481414
631.000000	0.464273
632.000000	0.453817
633.000000	0.451890
634.000000	0.441525
635.000000	0.429154
636.000000	0.426414
637.000000	0.421377
638.000000	0.407647
639.000000	0.393938
640.000000	0.389835
641.000000	0.376853
642.000000	0.368279
643.000000	0.362524
644.000000	0.354474
645.000000	0.344824
646.000000	0.337587
647.000000	0.330525
648.000000	0.322681
649.000000	0.318410
650.000000	0.306114
651.000000	0.297245
652.000000	0.293928
653.000000	0.283421
654.000000	0.278068
655.000000	0.272836
656.000000	0.259194
657.000000	0.249010
658.000000	0.248259
659.000000	0.241127
660.000000	0.234216
661.000000	0.230972
662.000000	0.219020
663.000000	0.218403
664.000000	0.213229
665.000000	0.209433
666.000000	0.200004
667.000000	0.193614
668.000000	0.190327
669.000000	0.184084
670.000000	0.187200
671.000000	0.171597
672.000000	0.174305
673.000000	0.163257
674.000000	0.157506
675.000000	0.155564
676.000000	0.151236
677.000000	0.148038
678.000000	0.145857
679.000000	0.139176
680.000000	0.134756
681.000000	0.131244
682.000000	0.131140
683.000000	0.124337
684.000000	0.113863
685.000000	0.117148
686.000000	0.113892
687.000000	0.112200
688.000000	0.106955
689.000000	0.104671
690.000000	0.099835
691.000000	0.098452
692.000000	0.096311
693.000000	0.089705
694.000000	0.089669
695.000000	0.089023
696.000000	0.085581
697.000000	0.085810
698.000000	0.079354
699.000000	0.079198
700.000000	0.071963
701.000000	0.074315
702.000000	0.073418
703.000000	0.069845
704.000000	0.066228
705.000000	0.062086
706.000000	0.068156
707.000000	0.063820
708.000000	0.061127
709.000000	0.057729
710.000000	0.061758
711.000000	0.055001
712.000000	0.051140
713.000000	0.052968
714.000000	0.050539
715.000000	0.051170
716.000000	0.047277
717.000000	0.046859
718.000000	0.046803
719.000000	0.045063
720.000000	0.040009
721.000000	0.042445
722.000000	0.040536
723.000000	0.035391
724.000000	0.037645
725.000000	0.038015
