#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/26
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.5855	0.5592	0.4539
#xyY coordinates: 0.3663	0.3498	0.5592
#sRGB: 207	128	102
#CCT Lindbloom (K):	4225
#CCT McCamy (K):	4244
#CCT Hernández-Andrés (K):	4273
#Melatonin: 0.562
#Chlorophyll a: 0.147
#Chlorophyll b: 0.920
#Beta Carotene: 0.147
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: 
#Begin Processed Spectral Data
W	S
475.000000	0.145922
476.000000	0.133947
477.000000	0.125679
478.000000	0.116615
479.000000	0.110273
480.000000	0.104906
481.000000	0.100409
482.000000	0.094989
483.000000	0.091873
484.000000	0.089814
485.000000	0.087929
486.000000	0.087452
487.000000	0.086480
488.000000	0.085850
489.000000	0.087268
490.000000	0.088101
491.000000	0.090311
492.000000	0.092423
493.000000	0.097474
494.000000	0.103222
495.000000	0.109618
496.000000	0.116618
497.000000	0.126186
498.000000	0.135806
499.000000	0.146377
500.000000	0.157426
501.000000	0.169535
502.000000	0.185406
503.000000	0.198522
504.000000	0.211816
505.000000	0.227747
506.000000	0.244048
507.000000	0.261776
508.000000	0.277379
509.000000	0.297421
510.000000	0.314562
511.000000	0.331790
512.000000	0.351054
513.000000	0.364981
514.000000	0.381341
515.000000	0.394909
516.000000	0.407750
517.000000	0.420136
518.000000	0.430068
519.000000	0.440307
520.000000	0.451057
521.000000	0.459268
522.000000	0.471678
523.000000	0.482717
524.000000	0.495232
525.000000	0.502444
526.000000	0.509723
527.000000	0.519647
528.000000	0.529420
529.000000	0.536087
530.000000	0.546138
531.000000	0.550916
532.000000	0.556765
533.000000	0.559922
534.000000	0.563683
535.000000	0.574726
536.000000	0.578997
537.000000	0.583305
538.000000	0.587889
539.000000	0.592158
540.000000	0.598980
541.000000	0.603819
542.000000	0.606649
543.000000	0.612341
544.000000	0.612777
545.000000	0.617081
546.000000	0.616266
547.000000	0.621245
548.000000	0.625111
549.000000	0.626174
550.000000	0.630976
551.000000	0.636132
552.000000	0.635116
553.000000	0.639343
554.000000	0.644732
555.000000	0.643925
556.000000	0.649246
557.000000	0.654342
558.000000	0.654595
559.000000	0.662167
560.000000	0.662151
561.000000	0.666863
562.000000	0.665585
563.000000	0.664744
564.000000	0.669351
565.000000	0.671053
566.000000	0.674854
567.000000	0.678734
568.000000	0.678883
569.000000	0.680858
570.000000	0.681372
571.000000	0.683792
572.000000	0.687885
573.000000	0.690136
574.000000	0.689132
575.000000	0.689276
576.000000	0.689582
577.000000	0.695167
578.000000	0.698171
579.000000	0.695517
580.000000	0.696544
581.000000	0.696653
582.000000	0.697988
583.000000	0.700220
584.000000	0.702118
585.000000	0.706651
586.000000	0.706599
587.000000	0.706524
588.000000	0.705305
589.000000	0.702368
590.000000	0.703993
591.000000	0.701031
592.000000	0.697796
593.000000	0.700513
594.000000	0.695639
595.000000	0.694932
596.000000	0.691982
597.000000	0.690092
598.000000	0.688498
599.000000	0.687443
600.000000	0.688566
601.000000	0.684637
602.000000	0.684752
603.000000	0.684425
604.000000	0.678594
605.000000	0.670836
606.000000	0.668978
607.000000	0.658760
608.000000	0.652624
609.000000	0.649465
610.000000	0.643215
611.000000	0.640043
612.000000	0.631868
613.000000	0.626465
614.000000	0.624930
615.000000	0.624293
616.000000	0.621892
617.000000	0.619195
618.000000	0.617639
619.000000	0.614195
620.000000	0.612360
621.000000	0.603702
622.000000	0.594041
623.000000	0.590658
624.000000	0.585289
625.000000	0.576663
626.000000	0.572241
627.000000	0.565475
628.000000	0.555632
629.000000	0.548508
630.000000	0.537187
631.000000	0.529076
632.000000	0.518967
633.000000	0.509800
634.000000	0.503576
635.000000	0.491953
636.000000	0.481852
637.000000	0.472619
638.000000	0.465583
639.000000	0.454362
640.000000	0.444999
641.000000	0.437569
642.000000	0.430192
643.000000	0.419696
644.000000	0.413834
645.000000	0.403142
646.000000	0.395783
647.000000	0.387406
648.000000	0.381481
649.000000	0.374356
650.000000	0.364712
651.000000	0.358682
652.000000	0.351131
653.000000	0.341630
654.000000	0.334895
655.000000	0.328586
656.000000	0.317375
657.000000	0.311707
658.000000	0.303206
659.000000	0.296345
660.000000	0.290898
661.000000	0.282005
662.000000	0.274500
663.000000	0.268130
664.000000	0.260116
665.000000	0.255100
666.000000	0.248501
667.000000	0.241050
668.000000	0.233929
669.000000	0.228536
670.000000	0.226067
671.000000	0.218168
672.000000	0.213699
673.000000	0.207238
674.000000	0.200994
675.000000	0.198331
676.000000	0.192848
677.000000	0.186131
678.000000	0.184440
679.000000	0.177770
680.000000	0.172995
681.000000	0.167796
682.000000	0.166472
683.000000	0.159553
684.000000	0.156375
685.000000	0.153019
686.000000	0.148105
687.000000	0.144470
688.000000	0.140214
689.000000	0.137511
690.000000	0.133883
691.000000	0.133358
692.000000	0.129435
693.000000	0.128244
694.000000	0.123350
695.000000	0.118117
696.000000	0.116084
697.000000	0.113351
698.000000	0.110695
699.000000	0.110959
700.000000	0.106644
701.000000	0.102516
702.000000	0.102107
703.000000	0.100258
704.000000	0.096787
705.000000	0.095053
706.000000	0.093042
707.000000	0.089372
708.000000	0.085323
709.000000	0.084719
710.000000	0.084559
711.000000	0.079447
712.000000	0.078127
713.000000	0.074853
714.000000	0.074330
715.000000	0.071521
716.000000	0.069033
717.000000	0.068080
718.000000	0.066518
719.000000	0.065118
720.000000	0.063311
721.000000	0.062145
722.000000	0.060475
723.000000	0.058805
724.000000	0.056511
725.000000	0.055841
