#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/18
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.5343	0.5406	0.4208
#xyY coordinates: 0.3572	0.3614	0.5406
#sRGB: 176	131	93
#CCT Lindbloom (K):	4606
#CCT McCamy (K):	4613
#CCT Hernández-Andrés (K):	4619
#Melatonin: 0.553
#Chlorophyll a: 0.072
#Chlorophyll b: 0.813
#Beta Carotene: 0.073
#Manufacturer: alverlamp
#Luminance manufacturer: 950lm
#Other data: Projector lamp 4000K. 10W
#Begin Processed Spectral Data
W	S
475.000000	0.098639
476.000000	0.092822
477.000000	0.089044
478.000000	0.083233
479.000000	0.081705
480.000000	0.078590
481.000000	0.077181
482.000000	0.074447
483.000000	0.073529
484.000000	0.072872
485.000000	0.073211
486.000000	0.074617
487.000000	0.076385
488.000000	0.078455
489.000000	0.082257
490.000000	0.087000
491.000000	0.092219
492.000000	0.098369
493.000000	0.105567
494.000000	0.113912
495.000000	0.122484
496.000000	0.132802
497.000000	0.145367
498.000000	0.157084
499.000000	0.169576
500.000000	0.183113
501.000000	0.197036
502.000000	0.212832
503.000000	0.230231
504.000000	0.243004
505.000000	0.259409
506.000000	0.276226
507.000000	0.293211
508.000000	0.309662
509.000000	0.328060
510.000000	0.346612
511.000000	0.364301
512.000000	0.383382
513.000000	0.400323
514.000000	0.415915
515.000000	0.434808
516.000000	0.448699
517.000000	0.462055
518.000000	0.475864
519.000000	0.489450
520.000000	0.504328
521.000000	0.514474
522.000000	0.528947
523.000000	0.542249
524.000000	0.557011
525.000000	0.566995
526.000000	0.579160
527.000000	0.589656
528.000000	0.600868
529.000000	0.608385
530.000000	0.618643
531.000000	0.626628
532.000000	0.635562
533.000000	0.639146
534.000000	0.646429
535.000000	0.657865
536.000000	0.662923
537.000000	0.668257
538.000000	0.673262
539.000000	0.682902
540.000000	0.685949
541.000000	0.698949
542.000000	0.701719
543.000000	0.709537
544.000000	0.708728
545.000000	0.718393
546.000000	0.720700
547.000000	0.724199
548.000000	0.734458
549.000000	0.734506
550.000000	0.742188
551.000000	0.748932
552.000000	0.753503
553.000000	0.759015
554.000000	0.763682
555.000000	0.768289
556.000000	0.778295
557.000000	0.782925
558.000000	0.790861
559.000000	0.794800
560.000000	0.800747
561.000000	0.806472
562.000000	0.805220
563.000000	0.804714
564.000000	0.806557
565.000000	0.810671
566.000000	0.812351
567.000000	0.814947
568.000000	0.813034
569.000000	0.815959
570.000000	0.811761
571.000000	0.811829
572.000000	0.813712
573.000000	0.813054
574.000000	0.811094
575.000000	0.807254
576.000000	0.807490
577.000000	0.808054
578.000000	0.803797
579.000000	0.799334
580.000000	0.792634
581.000000	0.791821
582.000000	0.789090
583.000000	0.793361
584.000000	0.794828
585.000000	0.794942
586.000000	0.788189
587.000000	0.785215
588.000000	0.780251
589.000000	0.770681
590.000000	0.766094
591.000000	0.761696
592.000000	0.754121
593.000000	0.747815
594.000000	0.740210
595.000000	0.737282
596.000000	0.730006
597.000000	0.723364
598.000000	0.718257
599.000000	0.710133
600.000000	0.705106
601.000000	0.696082
602.000000	0.690891
603.000000	0.684752
604.000000	0.675612
605.000000	0.660409
606.000000	0.651617
607.000000	0.637728
608.000000	0.626500
609.000000	0.616209
610.000000	0.605671
611.000000	0.599031
612.000000	0.588049
613.000000	0.579505
614.000000	0.571446
615.000000	0.566829
616.000000	0.561461
617.000000	0.554296
618.000000	0.551363
619.000000	0.539705
620.000000	0.531662
