#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/25
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.4014	0.4071	0.4655
#xyY coordinates: 0.3151	0.3195	0.4071
#sRGB: 113	100	110
#CCT Lindbloom (K):	6442
#CCT McCamy (K):	6442
#CCT Hernández-Andrés (K):	6449
#Melatonin: 0.784
#Chlorophyll a: 0.086
#Chlorophyll b: 1.101
#Beta Carotene: 0.087
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: LED projector on ADIF parking in Almería train station
#Begin Processed Spectral Data
W	S
475.000000	0.188098
476.000000	0.177474
477.000000	0.171078
478.000000	0.159956
479.000000	0.164567
480.000000	0.156738
481.000000	0.152874
482.000000	0.148747
483.000000	0.146370
484.000000	0.153083
485.000000	0.149520
486.000000	0.157063
487.000000	0.158188
488.000000	0.159771
489.000000	0.167467
490.000000	0.171088
491.000000	0.180254
492.000000	0.188900
493.000000	0.200079
494.000000	0.206306
495.000000	0.217963
496.000000	0.234949
497.000000	0.253047
498.000000	0.262832
499.000000	0.275769
500.000000	0.296399
501.000000	0.312499
502.000000	0.326454
503.000000	0.350383
504.000000	0.357421
505.000000	0.377023
506.000000	0.390772
507.000000	0.412930
508.000000	0.424817
509.000000	0.446577
510.000000	0.462715
511.000000	0.484225
512.000000	0.497274
513.000000	0.510525
514.000000	0.531084
515.000000	0.548851
516.000000	0.557318
517.000000	0.574853
518.000000	0.578358
519.000000	0.584904
520.000000	0.601663
521.000000	0.605799
522.000000	0.614858
523.000000	0.630741
524.000000	0.650161
525.000000	0.649336
526.000000	0.664729
527.000000	0.674445
528.000000	0.669177
529.000000	0.674474
530.000000	0.685071
531.000000	0.692034
532.000000	0.693437
533.000000	0.698178
534.000000	0.702517
535.000000	0.703324
536.000000	0.704898
537.000000	0.711167
538.000000	0.722004
539.000000	0.723618
540.000000	0.726170
541.000000	0.729838
542.000000	0.725492
543.000000	0.733120
544.000000	0.736845
545.000000	0.732617
546.000000	0.732490
547.000000	0.739579
548.000000	0.740076
549.000000	0.728630
550.000000	0.737637
551.000000	0.738209
552.000000	0.739424
553.000000	0.746644
554.000000	0.749105
555.000000	0.749394
556.000000	0.749957
557.000000	0.759422
558.000000	0.758187
559.000000	0.755413
560.000000	0.759004
561.000000	0.759848
562.000000	0.754732
563.000000	0.751515
564.000000	0.751200
565.000000	0.745552
566.000000	0.744671
567.000000	0.737530
568.000000	0.739573
569.000000	0.745544
570.000000	0.730528
571.000000	0.728601
572.000000	0.721402
573.000000	0.718798
574.000000	0.721820
575.000000	0.723372
576.000000	0.716278
577.000000	0.715165
578.000000	0.714537
579.000000	0.706410
580.000000	0.690567
581.000000	0.696773
582.000000	0.696573
583.000000	0.696804
584.000000	0.695959
585.000000	0.694091
586.000000	0.677301
587.000000	0.682513
588.000000	0.676915
589.000000	0.666708
590.000000	0.661307
591.000000	0.655051
592.000000	0.652653
593.000000	0.650336
594.000000	0.654575
595.000000	0.642334
596.000000	0.628583
597.000000	0.626433
598.000000	0.617150
599.000000	0.615050
600.000000	0.604932
601.000000	0.601814
602.000000	0.600174
603.000000	0.590833
604.000000	0.579801
605.000000	0.581492
606.000000	0.566763
607.000000	0.555801
608.000000	0.541978
609.000000	0.531599
610.000000	0.525768
611.000000	0.521398
612.000000	0.505694
613.000000	0.505380
614.000000	0.495358
615.000000	0.494658
616.000000	0.493077
617.000000	0.487617
618.000000	0.482862
619.000000	0.477282
620.000000	0.475947
621.000000	0.467747
622.000000	0.458906
623.000000	0.444630
624.000000	0.435986
625.000000	0.431039
626.000000	0.419506
627.000000	0.416798
628.000000	0.403010
629.000000	0.389915
630.000000	0.389800
631.000000	0.378031
632.000000	0.377966
633.000000	0.364865
634.000000	0.358161
635.000000	0.350292
636.000000	0.345606
637.000000	0.341330
638.000000	0.327872
639.000000	0.324457
640.000000	0.314217
641.000000	0.307909
642.000000	0.312559
643.000000	0.297763
644.000000	0.293624
645.000000	0.281830
646.000000	0.277335
647.000000	0.274600
648.000000	0.263842
649.000000	0.260339
650.000000	0.254011
651.000000	0.249360
652.000000	0.242267
653.000000	0.235360
654.000000	0.233394
655.000000	0.231784
656.000000	0.219426
657.000000	0.217890
658.000000	0.215814
659.000000	0.211329
660.000000	0.200436
661.000000	0.195716
662.000000	0.197320
663.000000	0.180553
664.000000	0.178064
665.000000	0.174775
666.000000	0.168545
667.000000	0.168635
668.000000	0.155665
669.000000	0.162841
670.000000	0.161264
671.000000	0.151337
672.000000	0.151585
673.000000	0.140712
674.000000	0.143025
675.000000	0.135163
676.000000	0.134121
677.000000	0.130722
678.000000	0.130690
679.000000	0.126789
680.000000	0.120449
681.000000	0.115757
682.000000	0.112766
683.000000	0.110613
684.000000	0.109738
685.000000	0.105659
686.000000	0.101236
687.000000	0.096792
688.000000	0.097646
689.000000	0.091025
690.000000	0.093093
691.000000	0.087894
692.000000	0.088741
693.000000	0.085546
694.000000	0.084830
695.000000	0.081774
696.000000	0.077026
697.000000	0.073061
698.000000	0.073228
699.000000	0.071988
700.000000	0.070776
701.000000	0.071076
702.000000	0.066511
703.000000	0.063914
704.000000	0.064333
705.000000	0.055446
706.000000	0.061600
707.000000	0.056767
708.000000	0.057945
709.000000	0.057599
710.000000	0.053068
711.000000	0.051864
712.000000	0.050683
713.000000	0.048046
714.000000	0.051207
715.000000	0.047010
716.000000	0.050332
717.000000	0.045610
718.000000	0.044836
719.000000	0.044117
720.000000	0.040570
721.000000	0.036882
722.000000	0.035848
723.000000	0.035283
724.000000	0.035662
725.000000	0.036504
