#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.3868	0.3945	0.4660
#xyY coordinates: 0.3101	0.3136	0.3945
#sRGB: 106	98	111
#CCT Lindbloom (K):	6770
#CCT McCamy (K):	6766
#CCT Hernández-Andrés (K):	6770
#Melatonin: 0.784
#Chlorophyll a: 0.092
#Chlorophyll b: 1.195
#Beta Carotene: 0.092
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Madrid streetlamp at Faro de Moncloa
#Begin Processed Spectral Data
W	S
475.000000	0.295133
476.000000	0.275695
477.000000	0.255047
478.000000	0.234389
479.000000	0.216723
480.000000	0.209882
481.000000	0.196657
482.000000	0.189176
483.000000	0.181061
484.000000	0.173675
485.000000	0.172238
486.000000	0.163664
487.000000	0.159641
488.000000	0.156494
489.000000	0.156022
490.000000	0.156582
491.000000	0.158613
492.000000	0.161057
493.000000	0.164079
494.000000	0.168554
495.000000	0.176803
496.000000	0.182762
497.000000	0.194756
498.000000	0.206043
499.000000	0.214946
500.000000	0.227138
501.000000	0.242313
502.000000	0.253249
503.000000	0.274436
504.000000	0.287452
505.000000	0.306318
506.000000	0.318697
507.000000	0.342398
508.000000	0.362400
509.000000	0.384430
510.000000	0.401146
511.000000	0.427188
512.000000	0.447223
513.000000	0.460876
514.000000	0.484992
515.000000	0.504403
516.000000	0.523567
517.000000	0.539083
518.000000	0.552426
519.000000	0.575006
520.000000	0.585410
521.000000	0.600448
522.000000	0.617768
523.000000	0.631298
524.000000	0.649203
525.000000	0.657163
526.000000	0.668155
527.000000	0.687417
528.000000	0.695649
529.000000	0.703905
530.000000	0.711399
531.000000	0.717882
532.000000	0.723213
533.000000	0.731950
534.000000	0.730001
535.000000	0.738563
536.000000	0.736662
537.000000	0.747092
538.000000	0.748177
539.000000	0.758678
540.000000	0.759819
541.000000	0.767361
542.000000	0.762143
543.000000	0.770192
544.000000	0.768549
545.000000	0.770962
546.000000	0.764167
547.000000	0.770337
548.000000	0.773558
549.000000	0.773701
550.000000	0.769065
551.000000	0.770908
552.000000	0.775584
553.000000	0.775768
554.000000	0.772395
555.000000	0.777117
556.000000	0.781981
557.000000	0.776738
558.000000	0.778316
559.000000	0.773842
560.000000	0.777077
561.000000	0.777371
562.000000	0.774173
563.000000	0.777945
564.000000	0.772285
565.000000	0.772228
566.000000	0.779083
567.000000	0.771084
568.000000	0.768947
569.000000	0.767861
570.000000	0.753185
571.000000	0.749102
572.000000	0.746433
573.000000	0.749288
574.000000	0.739526
575.000000	0.738641
576.000000	0.732875
577.000000	0.730765
578.000000	0.726564
579.000000	0.712681
580.000000	0.706327
581.000000	0.705929
582.000000	0.699792
583.000000	0.695363
584.000000	0.694157
585.000000	0.701292
586.000000	0.689762
587.000000	0.684921
588.000000	0.678111
589.000000	0.669042
590.000000	0.670989
591.000000	0.659729
592.000000	0.651378
593.000000	0.644523
594.000000	0.638004
595.000000	0.626660
596.000000	0.626382
597.000000	0.618306
598.000000	0.610661
599.000000	0.606839
600.000000	0.596490
601.000000	0.592093
602.000000	0.591266
603.000000	0.581036
604.000000	0.570926
605.000000	0.561145
606.000000	0.553811
607.000000	0.541052
608.000000	0.532696
609.000000	0.520555
610.000000	0.516316
611.000000	0.510053
612.000000	0.499867
613.000000	0.497640
614.000000	0.492995
615.000000	0.485720
616.000000	0.477760
617.000000	0.480391
618.000000	0.472867
619.000000	0.463724
620.000000	0.452982
621.000000	0.447003
622.000000	0.434925
623.000000	0.426568
624.000000	0.428547
625.000000	0.417868
626.000000	0.411362
627.000000	0.401532
628.000000	0.394651
629.000000	0.388317
630.000000	0.376859
631.000000	0.372097
632.000000	0.359915
633.000000	0.353856
634.000000	0.348291
635.000000	0.337732
636.000000	0.329058
637.000000	0.330445
638.000000	0.320811
639.000000	0.314417
640.000000	0.306551
641.000000	0.299051
642.000000	0.293733
643.000000	0.287460
644.000000	0.283011
645.000000	0.278765
646.000000	0.272507
647.000000	0.267064
648.000000	0.260100
649.000000	0.252667
650.000000	0.251555
651.000000	0.243489
652.000000	0.236478
653.000000	0.235936
654.000000	0.224665
655.000000	0.219796
656.000000	0.215638
657.000000	0.208494
658.000000	0.210650
659.000000	0.201971
660.000000	0.195778
661.000000	0.192057
662.000000	0.187936
663.000000	0.188602
664.000000	0.180732
665.000000	0.175408
666.000000	0.168724
667.000000	0.167330
668.000000	0.159942
669.000000	0.159558
670.000000	0.156501
671.000000	0.153776
672.000000	0.148289
673.000000	0.144770
674.000000	0.140701
675.000000	0.139592
676.000000	0.136863
677.000000	0.133019
678.000000	0.128634
679.000000	0.124373
680.000000	0.123550
681.000000	0.115872
682.000000	0.113068
683.000000	0.112770
684.000000	0.109745
685.000000	0.110727
686.000000	0.106722
687.000000	0.101074
688.000000	0.099926
689.000000	0.094578
690.000000	0.094532
691.000000	0.091078
692.000000	0.091640
693.000000	0.090095
694.000000	0.084231
695.000000	0.084379
696.000000	0.080998
