#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.4123	0.3879	0.5153
#xyY coordinates: 0.3135	0.2948	0.3879
#sRGB: 123	89	125
#CCT Lindbloom (K):	6801
#CCT McCamy (K):	6785
#CCT Hernández-Andrés (K):	6816
#Melatonin: 0.885
#Chlorophyll a: 0.115
#Chlorophyll b: 1.266
#Beta Carotene: 0.116
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Madrid streetlamp at Facultad de Farmacia
#Begin Processed Spectral Data
W	S
475.000000	0.208080
476.000000	0.186094
477.000000	0.175445
478.000000	0.168213
479.000000	0.157804
480.000000	0.152350
481.000000	0.141846
482.000000	0.134110
483.000000	0.133390
484.000000	0.127490
485.000000	0.125451
486.000000	0.121216
487.000000	0.118490
488.000000	0.119498
489.000000	0.116456
490.000000	0.119284
491.000000	0.126408
492.000000	0.128422
493.000000	0.135279
494.000000	0.140805
495.000000	0.150647
496.000000	0.155995
497.000000	0.166291
498.000000	0.175385
499.000000	0.184481
500.000000	0.199062
501.000000	0.214707
502.000000	0.227770
503.000000	0.240137
504.000000	0.251208
505.000000	0.266616
506.000000	0.284447
507.000000	0.301746
508.000000	0.332481
509.000000	0.336002
510.000000	0.358031
511.000000	0.380288
512.000000	0.392386
513.000000	0.401940
514.000000	0.435422
515.000000	0.443355
516.000000	0.464620
517.000000	0.474418
518.000000	0.494391
519.000000	0.502150
520.000000	0.516831
521.000000	0.525919
522.000000	0.548378
523.000000	0.560571
524.000000	0.565828
525.000000	0.580527
526.000000	0.597238
527.000000	0.598500
528.000000	0.615392
529.000000	0.631111
530.000000	0.632377
531.000000	0.638956
532.000000	0.646875
533.000000	0.654396
534.000000	0.656014
535.000000	0.666139
536.000000	0.670717
537.000000	0.675846
538.000000	0.683757
539.000000	0.690390
540.000000	0.706309
541.000000	0.699234
542.000000	0.702889
543.000000	0.706586
544.000000	0.711027
545.000000	0.711370
546.000000	0.714197
547.000000	0.721093
548.000000	0.722433
549.000000	0.714302
550.000000	0.719092
551.000000	0.722107
552.000000	0.716038
553.000000	0.735211
554.000000	0.730775
555.000000	0.731935
556.000000	0.741947
557.000000	0.744139
558.000000	0.738966
559.000000	0.748997
560.000000	0.754408
561.000000	0.753204
562.000000	0.749344
563.000000	0.755048
564.000000	0.743106
565.000000	0.749178
566.000000	0.745662
567.000000	0.751166
568.000000	0.745433
569.000000	0.749588
570.000000	0.744024
571.000000	0.733643
572.000000	0.741974
573.000000	0.723063
574.000000	0.736390
575.000000	0.732454
576.000000	0.725469
577.000000	0.720838
578.000000	0.720894
579.000000	0.712861
580.000000	0.710492
581.000000	0.716467
582.000000	0.711012
583.000000	0.713286
584.000000	0.720399
585.000000	0.706671
586.000000	0.711760
587.000000	0.696694
588.000000	0.695167
589.000000	0.685345
590.000000	0.674734
591.000000	0.677904
592.000000	0.680555
593.000000	0.663435
594.000000	0.666369
595.000000	0.644686
596.000000	0.661368
597.000000	0.632166
598.000000	0.635278
599.000000	0.640248
600.000000	0.629244
601.000000	0.630508
602.000000	0.621939
603.000000	0.618736
604.000000	0.615731
605.000000	0.597911
606.000000	0.604180
607.000000	0.589805
608.000000	0.580932
609.000000	0.569322
610.000000	0.562853
611.000000	0.546213
612.000000	0.543550
613.000000	0.538762
614.000000	0.539209
615.000000	0.535767
616.000000	0.527299
617.000000	0.521282
618.000000	0.523951
619.000000	0.519579
620.000000	0.503493
621.000000	0.495210
622.000000	0.475711
623.000000	0.482752
624.000000	0.473691
625.000000	0.473156
626.000000	0.463551
627.000000	0.454510
628.000000	0.441662
629.000000	0.432783
630.000000	0.423829
631.000000	0.424777
632.000000	0.408023
633.000000	0.397855
634.000000	0.394253
635.000000	0.386846
636.000000	0.383878
637.000000	0.368381
638.000000	0.369029
639.000000	0.351802
640.000000	0.357403
641.000000	0.349506
642.000000	0.341988
643.000000	0.336556
644.000000	0.332586
645.000000	0.321479
646.000000	0.322500
647.000000	0.310369
648.000000	0.308243
649.000000	0.300769
650.000000	0.295914
651.000000	0.283830
652.000000	0.284820
653.000000	0.283150
654.000000	0.269349
655.000000	0.264425
656.000000	0.254562
657.000000	0.253067
658.000000	0.244844
659.000000	0.244834
660.000000	0.246595
661.000000	0.235214
662.000000	0.226152
663.000000	0.226651
664.000000	0.224414
665.000000	0.217269
666.000000	0.206117
667.000000	0.200036
668.000000	0.203104
669.000000	0.196886
670.000000	0.190237
671.000000	0.186929
672.000000	0.189026
673.000000	0.177345
674.000000	0.179422
675.000000	0.171014
676.000000	0.170331
677.000000	0.157954
678.000000	0.155989
679.000000	0.147477
680.000000	0.151709
681.000000	0.150829
682.000000	0.156099
683.000000	0.144559
684.000000	0.127750
685.000000	0.130198
686.000000	0.139279
687.000000	0.130281
688.000000	0.135683
689.000000	0.120431
690.000000	0.125765
691.000000	0.114202
692.000000	0.123741
693.000000	0.113228
694.000000	0.108620
695.000000	0.113223
696.000000	0.111964
697.000000	0.102908
698.000000	0.097870
699.000000	0.094365
700.000000	0.099180
701.000000	0.099791
702.000000	0.095902
703.000000	0.096093
704.000000	0.091430
705.000000	0.071435
706.000000	0.081468
707.000000	0.089941
708.000000	0.076024
709.000000	0.075640
710.000000	0.065237
711.000000	0.072127
712.000000	0.074634
713.000000	0.066428
714.000000	0.064920
715.000000	0.060610
716.000000	0.066522
717.000000	0.060971
718.000000	0.060225
719.000000	0.063508
720.000000	0.061273
721.000000	0.055712
722.000000	0.056843
723.000000	0.046095
724.000000	0.049380
725.000000	0.046648
