#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/28
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.3522	0.3674	0.4341
#xyY coordinates: 0.3053	0.3184	0.3674
#sRGB: 92	93	103
#CCT Lindbloom (K):	7043
#CCT McCamy (K):	7041
#CCT Hernández-Andrés (K):	7040
#Melatonin: 0.802
#Chlorophyll a: 0.133
#Chlorophyll b: 1.106
#Beta Carotene: 0.132
#Manufacturer: Deco LED
#Luminance manufacturer: Unknown
#Other data: Cool white.
#Begin Processed Spectral Data
W	S
475.000000	0.808817
476.000000	0.767258
477.000000	0.735384
478.000000	0.694847
479.000000	0.668567
480.000000	0.637304
481.000000	0.610023
482.000000	0.570969
483.000000	0.539344
484.000000	0.510335
485.000000	0.483532
486.000000	0.462696
487.000000	0.434720
488.000000	0.413043
489.000000	0.397970
490.000000	0.384326
491.000000	0.369134
492.000000	0.359842
493.000000	0.351962
494.000000	0.347651
495.000000	0.340843
496.000000	0.338738
497.000000	0.338555
498.000000	0.335269
499.000000	0.336480
500.000000	0.334530
501.000000	0.337757
502.000000	0.339000
503.000000	0.344759
504.000000	0.347465
505.000000	0.353772
506.000000	0.359762
507.000000	0.366722
508.000000	0.376394
509.000000	0.385939
510.000000	0.394936
511.000000	0.408246
512.000000	0.420276
513.000000	0.429879
514.000000	0.440867
515.000000	0.454159
516.000000	0.463466
517.000000	0.472461
518.000000	0.481288
519.000000	0.489251
520.000000	0.501609
521.000000	0.509470
522.000000	0.520456
523.000000	0.529322
524.000000	0.542039
525.000000	0.549714
526.000000	0.557866
527.000000	0.565660
528.000000	0.572515
529.000000	0.583063
530.000000	0.588693
531.000000	0.592616
532.000000	0.600959
533.000000	0.602709
534.000000	0.605999
535.000000	0.614253
536.000000	0.618080
537.000000	0.619496
538.000000	0.626089
539.000000	0.628403
540.000000	0.633408
541.000000	0.639100
542.000000	0.638714
543.000000	0.643371
544.000000	0.642300
545.000000	0.647802
546.000000	0.644066
547.000000	0.644625
548.000000	0.649421
549.000000	0.648943
550.000000	0.649989
551.000000	0.653546
552.000000	0.655039
553.000000	0.654435
554.000000	0.655271
555.000000	0.654904
556.000000	0.659187
557.000000	0.658902
558.000000	0.662123
559.000000	0.661214
560.000000	0.663264
561.000000	0.666191
562.000000	0.661677
563.000000	0.657786
564.000000	0.655090
565.000000	0.651653
566.000000	0.654980
567.000000	0.655372
568.000000	0.650642
569.000000	0.647617
570.000000	0.644904
571.000000	0.641711
572.000000	0.643057
573.000000	0.640337
574.000000	0.635251
575.000000	0.632752
576.000000	0.629566
577.000000	0.628845
578.000000	0.627872
579.000000	0.622086
580.000000	0.618383
581.000000	0.617338
582.000000	0.615181
583.000000	0.614487
584.000000	0.613605
585.000000	0.615323
586.000000	0.609307
587.000000	0.610169
588.000000	0.603069
589.000000	0.598075
590.000000	0.592205
591.000000	0.588127
592.000000	0.584800
593.000000	0.580162
594.000000	0.573945
595.000000	0.571399
596.000000	0.563322
597.000000	0.558916
598.000000	0.556698
599.000000	0.553174
600.000000	0.547737
601.000000	0.541917
602.000000	0.538521
603.000000	0.534227
604.000000	0.527974
605.000000	0.518859
606.000000	0.513611
607.000000	0.504579
608.000000	0.500771
609.000000	0.492935
610.000000	0.487459
611.000000	0.481186
612.000000	0.473759
613.000000	0.470541
614.000000	0.467730
615.000000	0.464843
616.000000	0.461196
617.000000	0.456035
618.000000	0.454601
619.000000	0.445792
620.000000	0.443236
621.000000	0.434863
622.000000	0.428060
623.000000	0.421946
624.000000	0.416546
625.000000	0.410980
626.000000	0.406175
627.000000	0.399338
628.000000	0.394706
629.000000	0.389698
630.000000	0.383009
631.000000	0.376291
632.000000	0.370022
633.000000	0.365340
634.000000	0.360040
635.000000	0.354038
636.000000	0.347117
637.000000	0.341161
638.000000	0.336423
639.000000	0.329909
640.000000	0.325675
641.000000	0.318905
642.000000	0.315541
643.000000	0.306930
644.000000	0.304724
645.000000	0.299300
646.000000	0.293356
647.000000	0.287908
648.000000	0.280455
649.000000	0.279834
650.000000	0.270827
651.000000	0.266674
652.000000	0.262535
653.000000	0.257371
654.000000	0.252691
655.000000	0.245974
656.000000	0.242248
657.000000	0.236372
658.000000	0.229446
659.000000	0.226985
660.000000	0.221712
661.000000	0.217689
662.000000	0.214016
663.000000	0.210230
664.000000	0.204299
665.000000	0.200000
666.000000	0.195173
667.000000	0.192512
668.000000	0.187132
669.000000	0.183867
670.000000	0.180510
671.000000	0.177168
672.000000	0.171791
673.000000	0.170073
674.000000	0.166091
675.000000	0.162800
676.000000	0.158601
677.000000	0.154722
678.000000	0.149452
679.000000	0.148823
680.000000	0.145700
681.000000	0.140503
682.000000	0.138331
683.000000	0.136068
684.000000	0.131555
685.000000	0.130194
686.000000	0.125777
687.000000	0.124512
688.000000	0.120297
689.000000	0.116070
690.000000	0.115282
691.000000	0.111420
692.000000	0.111169
693.000000	0.107520
694.000000	0.103548
695.000000	0.101787
696.000000	0.099475
697.000000	0.098560
698.000000	0.095703
699.000000	0.093155
700.000000	0.091630
701.000000	0.090724
702.000000	0.088188
703.000000	0.084503
704.000000	0.083221
705.000000	0.082041
706.000000	0.079886
707.000000	0.077780
708.000000	0.074881
709.000000	0.074399
710.000000	0.072822
711.000000	0.070452
712.000000	0.067657
713.000000	0.068312
714.000000	0.066474
715.000000	0.064340
716.000000	0.065301
717.000000	0.061443
718.000000	0.060643
719.000000	0.058854
720.000000	0.056748
721.000000	0.055954
722.000000	0.054955
723.000000	0.053841
724.000000	0.051719
725.000000	0.050369
