#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/18
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.3440	0.3275	0.5018
#xyY coordinates: 0.2932	0.2792	0.3275
#sRGB: 92	77	123
#CCT Lindbloom (K):	9086
#CCT McCamy (K):	9000
#CCT Hernández-Andrés (K):	9041
#Melathonin: 0.983
#Chlorophil a: 0.120
#Chlorophil b: 1.481
#Beta Carotene: 0.120
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.000000	0.492234
476.000000	0.455138
477.000000	0.422001
478.000000	0.390752
479.000000	0.366562
480.000000	0.345035
481.000000	0.328346
482.000000	0.305201
483.000000	0.294528
484.000000	0.273198
485.000000	0.273805
486.000000	0.260457
487.000000	0.249932
488.000000	0.247038
489.000000	0.240488
490.000000	0.232008
491.000000	0.232477
492.000000	0.231628
493.000000	0.227349
494.000000	0.227628
495.000000	0.230803
496.000000	0.235911
497.000000	0.246519
498.000000	0.255631
499.000000	0.262834
500.000000	0.269459
501.000000	0.279903
502.000000	0.292509
503.000000	0.306138
504.000000	0.316709
505.000000	0.328276
506.000000	0.343311
507.000000	0.351550
508.000000	0.367775
509.000000	0.383523
510.000000	0.399292
511.000000	0.414737
512.000000	0.432815
513.000000	0.445188
514.000000	0.460419
515.000000	0.473402
516.000000	0.484766
517.000000	0.494539
518.000000	0.510483
519.000000	0.521319
520.000000	0.532061
521.000000	0.540819
522.000000	0.551906
523.000000	0.568675
524.000000	0.584105
525.000000	0.586060
526.000000	0.598858
527.000000	0.610163
528.000000	0.614610
529.000000	0.632051
530.000000	0.636090
531.000000	0.634658
532.000000	0.642849
533.000000	0.644479
534.000000	0.655115
535.000000	0.659618
536.000000	0.660299
537.000000	0.673309
538.000000	0.674498
539.000000	0.675972
540.000000	0.677911
541.000000	0.684377
542.000000	0.682700
543.000000	0.700865
544.000000	0.694626
545.000000	0.700443
546.000000	0.694726
547.000000	0.703703
548.000000	0.699003
