#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0661	0.0408	0.4123
#xyY coordinates: 0.1273	0.0786	0.0408
#sRGB: 0	8	110
#CCT Lindbloom (K):	0
#CCT McCamy (K):	2216
#CCT Hernández-Andrés (K):	0
#Melatonin: 6.093
#Chlorophyll a: -0.003
#Chlorophyll b: 6.746
#Beta Carotene: -0.021
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.000000	7.022385
476.000000	6.676424
477.000000	6.423802
478.000000	6.019564
479.000000	5.694033
480.000000	5.352503
481.000000	4.988050
482.000000	4.674817
483.000000	4.385668
484.000000	4.041398
485.000000	3.763939
486.000000	3.514653
487.000000	3.238096
488.000000	3.011610
489.000000	2.784460
490.000000	2.546794
491.000000	2.355424
492.000000	2.142616
493.000000	1.997656
494.000000	1.826045
495.000000	1.683531
496.000000	1.554822
497.000000	1.450644
498.000000	1.312748
499.000000	1.208140
500.000000	1.116099
501.000000	1.020615
502.000000	0.932168
503.000000	0.853840
504.000000	0.789333
505.000000	0.732942
506.000000	0.673060
507.000000	0.612737
508.000000	0.567872
509.000000	0.513856
510.000000	0.474648
511.000000	0.427735
512.000000	0.392357
513.000000	0.366824
514.000000	0.335035
515.000000	0.311669
516.000000	0.289396
517.000000	0.265076
518.000000	0.236865
519.000000	0.220900
520.000000	0.204916
521.000000	0.185621
522.000000	0.170675
523.000000	0.154858
524.000000	0.142117
525.000000	0.130356
526.000000	0.119026
527.000000	0.111384
528.000000	0.106054
529.000000	0.092672
530.000000	0.083032
531.000000	0.078391
532.000000	0.073195
533.000000	0.070322
534.000000	0.066011
535.000000	0.054803
536.000000	0.055428
537.000000	0.052202
538.000000	0.045239
539.000000	0.044879
540.000000	0.038872
541.000000	0.035361
542.000000	0.033073
543.000000	0.033210
544.000000	0.025854
545.000000	0.026783
546.000000	0.021854
547.000000	0.022724
548.000000	0.020854
549.000000	0.014304
550.000000	0.025101
551.000000	0.014364
552.000000	0.014096
553.000000	0.011986
554.000000	0.012880
555.000000	0.014761
556.000000	0.010949
557.000000	0.009389
558.000000	0.008507
559.000000	0.011012
560.000000	0.008572
561.000000	0.007390
562.000000	0.007131
563.000000	0.006122
564.000000	0.007241
565.000000	0.006849
566.000000	0.008469
567.000000	0.006976
568.000000	0.006185
569.000000	0.000588
570.000000	0.007222
571.000000	0.007981
572.000000	0.000751
573.000000	0.006387
574.000000	0.001903
575.000000	0.004696
576.000000	0.007546
577.000000	0.003369
578.000000	0.005101
579.000000	0.000370
580.000000	0.000421
581.000000	0.000263
582.000000	0.003052
583.000000	0.001965
584.000000	0.000698
585.000000	0.001939
586.000000	0.000000
587.000000	0.000000
588.000000	0.001458
589.000000	0.000257
590.000000	0.005849
591.000000	0.001768
592.000000	0.000083
593.000000	0.000426
594.000000	0.000000
595.000000	0.000000
596.000000	0.001141
597.000000	0.000976
598.000000	0.005269
599.000000	0.001791
600.000000	0.003301
601.000000	0.000000
602.000000	0.001785
603.000000	0.000033
604.000000	0.000271
605.000000	0.000082
606.000000	0.000000
607.000000	0.000000
608.000000	0.001113
609.000000	0.003800
610.000000	0.000000
611.000000	0.002296
612.000000	0.000001
613.000000	0.000105
614.000000	0.000000
615.000000	0.000001
616.000000	0.001371
617.000000	0.000060
618.000000	0.002772
619.000000	0.000067
620.000000	0.000000
621.000000	0.000000
