#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/01/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0204	0.1596	0.0946
#xyY coordinates: 0.0744	0.5811	0.1596
#sRGB: 0	72	17
#CCT Lindbloom (K):	11869
#CCT McCamy (K):	11589
#CCT Hernández-Andrés (K):	12332
#Melatonin: 1.006
#Chlorophyll a: 0.000
#Chlorophyll b: 0.156
#Beta Carotene: 0.000
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Traffic light in Spain
#Begin Processed Spectral Data
W	S
475.000000	0.227457
476.000000	0.271398
477.000000	0.315553
478.000000	0.383145
479.000000	0.430136
480.000000	0.504062
481.000000	0.583536
482.000000	0.651343
483.000000	0.766086
484.000000	0.875438
485.000000	1.009906
486.000000	1.146801
487.000000	1.284138
488.000000	1.424229
489.000000	1.581380
490.000000	1.735673
491.000000	1.901414
492.000000	2.069796
493.000000	2.229862
494.000000	2.351776
495.000000	2.506921
496.000000	2.631551
497.000000	2.721553
498.000000	2.764562
499.000000	2.828343
500.000000	2.859950
501.000000	2.868949
502.000000	2.868803
503.000000	2.863347
504.000000	2.848461
505.000000	2.814100
506.000000	2.749486
507.000000	2.680991
508.000000	2.604500
509.000000	2.517832
510.000000	2.402114
511.000000	2.287933
512.000000	2.156505
513.000000	2.007081
514.000000	1.913140
515.000000	1.805566
516.000000	1.707962
517.000000	1.613305
518.000000	1.493815
519.000000	1.407982
520.000000	1.333117
521.000000	1.241585
522.000000	1.161174
523.000000	1.093831
524.000000	1.007021
525.000000	0.952819
526.000000	0.868816
527.000000	0.800872
528.000000	0.741597
529.000000	0.705758
530.000000	0.643607
531.000000	0.597309
532.000000	0.536402
533.000000	0.503189
534.000000	0.460259
535.000000	0.429812
536.000000	0.402078
537.000000	0.358973
538.000000	0.342176
539.000000	0.308749
540.000000	0.278802
541.000000	0.263547
542.000000	0.233960
543.000000	0.231056
544.000000	0.218124
545.000000	0.194277
546.000000	0.177045
547.000000	0.165353
548.000000	0.154294
549.000000	0.144357
550.000000	0.129594
551.000000	0.119650
552.000000	0.114635
553.000000	0.109430
554.000000	0.093259
555.000000	0.083702
556.000000	0.085941
557.000000	0.078763
558.000000	0.070266
559.000000	0.067337
560.000000	0.064020
561.000000	0.059640
562.000000	0.052185
563.000000	0.051678
564.000000	0.042404
565.000000	0.041806
566.000000	0.038937
567.000000	0.039488
568.000000	0.032821
569.000000	0.037418
570.000000	0.028172
571.000000	0.023922
572.000000	0.022707
573.000000	0.020473
574.000000	0.016917
575.000000	0.022833
576.000000	0.014864
577.000000	0.015499
578.000000	0.015987
579.000000	0.010976
580.000000	0.012763
581.000000	0.009149
582.000000	0.012058
583.000000	0.007363
584.000000	0.010223
585.000000	0.006813
586.000000	0.011297
587.000000	0.006385
588.000000	0.008054
589.000000	0.009199
590.000000	0.005140
591.000000	0.007022
592.000000	0.005543
593.000000	0.006097
594.000000	0.005883
595.000000	0.004116
596.000000	0.002850
597.000000	0.000060
598.000000	0.002890
599.000000	0.003936
600.000000	0.000938
601.000000	0.005105
602.000000	0.004758
603.000000	0.000125
604.000000	0.000466
605.000000	0.000611
606.000000	0.005563
607.000000	0.002813
608.000000	0.006199
609.000000	0.002858
610.000000	0.004036
611.000000	0.000205
612.000000	0.000008
613.000000	0.002329
614.000000	0.003166
615.000000	0.000954
616.000000	0.000000
617.000000	0.001070
618.000000	0.000000
619.000000	0.004284
620.000000	0.000705
621.000000	0.000412
622.000000	0.000000
623.000000	0.000693
624.000000	0.004707
625.000000	0.004726
626.000000	0.001357
627.000000	0.000000
628.000000	0.004564
629.000000	0.002190
630.000000	0.000010
631.000000	0.001624
632.000000	0.000000
633.000000	0.000116
634.000000	0.003617
635.000000	0.003459
636.000000	0.000000
637.000000	0.001397
638.000000	0.000129
639.000000	0.000000
640.000000	0.001953
641.000000	0.000738
642.000000	0.000536
643.000000	0.001922
644.000000	0.000693
645.000000	0.000000
646.000000	0.001995
647.000000	0.001715
648.000000	0.000037
649.000000	0.000690
650.000000	0.002321
651.000000	0.000693
652.000000	0.001029
653.000000	0.000000
654.000000	0.000320
655.000000	0.000985
656.000000	0.000000
657.000000	0.000792
658.000000	0.000035
659.000000	0.000698
660.000000	0.000155
661.000000	0.000353
662.000000	0.000000
663.000000	0.000000
664.000000	0.001872
665.000000	0.002086
666.000000	0.000365
667.000000	0.001961
668.000000	0.000108
669.000000	0.000838
670.000000	0.006922
671.000000	0.000943
672.000000	0.000000
673.000000	0.002367
674.000000	0.001359
675.000000	0.000851
676.000000	0.002913
677.000000	0.000082
678.000000	0.001136
679.000000	0.000000
680.000000	0.000722
681.000000	0.001218
682.000000	0.000000
683.000000	0.000000
684.000000	0.001031
685.000000	0.000000
686.000000	0.000407
687.000000	0.000065
688.000000	0.001504
689.000000	0.000000
690.000000	0.001532
691.000000	0.000000
692.000000	0.000302
693.000000	0.000934
694.000000	0.000480
695.000000	0.000544
696.000000	0.000124
697.000000	0.000000
698.000000	0.001645
699.000000	0.000772
700.000000	0.002657
701.000000	0.000000
702.000000	0.001303
703.000000	0.000036
704.000000	0.000000
705.000000	0.004982
706.000000	0.001669
707.000000	0.000000
708.000000	0.000202
709.000000	0.000000
710.000000	0.000095
711.000000	0.003633
712.000000	0.001112
713.000000	0.002889
714.000000	0.000000
715.000000	0.000000
716.000000	0.000432
717.000000	0.002365
718.000000	0.000350
719.000000	0.000338
720.000000	0.001066
721.000000	0.000000
722.000000	0.002102
723.000000	0.000000
724.000000	0.000557
725.000000	0.000000
