#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.2801	0.1813	0.0005
#xyY coordinates: 0.6065	0.3926	0.1813
#sRGB: 160	18	0
#CCT Lindbloom (K):	0
#CCT McCamy (K):	1624
#CCT Hernández-Andrés (K):	693
#Melatonin: 0.018
#Chlorophyll a: 0.001
#Chlorophyll b: 0.217
#Beta Carotene: 0.003
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.000000	0.000000
476.000000	0.001051
477.000000	0.000215
478.000000	0.000231
479.000000	0.001410
480.000000	0.000000
481.000000	0.000375
482.000000	0.000000
483.000000	0.000000
484.000000	0.000000
485.000000	0.000000
486.000000	0.000000
487.000000	0.000000
488.000000	0.000496
489.000000	0.002792
490.000000	0.000000
491.000000	0.002146
492.000000	0.000273
493.000000	0.001510
494.000000	0.000000
495.000000	0.000000
496.000000	0.002564
497.000000	0.001182
498.000000	0.000000
499.000000	0.000000
500.000000	0.000000
501.000000	0.000000
502.000000	0.000000
503.000000	0.000000
504.000000	0.000000
505.000000	0.000000
506.000000	0.000000
507.000000	0.000000
508.000000	0.000000
509.000000	0.000473
510.000000	0.000376
511.000000	0.000000
512.000000	0.000000
513.000000	0.000000
514.000000	0.000000
515.000000	0.000000
516.000000	0.000000
517.000000	0.000000
518.000000	0.002324
519.000000	0.000000
520.000000	0.000000
521.000000	0.000000
522.000000	0.000650
523.000000	0.001858
524.000000	0.000000
525.000000	0.000000
526.000000	0.000800
527.000000	0.000000
528.000000	0.000000
529.000000	0.001593
530.000000	0.000000
531.000000	0.000000
532.000000	0.000250
533.000000	0.001700
534.000000	0.001023
535.000000	0.000246
536.000000	0.000715
537.000000	0.003744
538.000000	0.000000
539.000000	0.004203
540.000000	0.003331
541.000000	0.003547
542.000000	0.006009
543.000000	0.010549
544.000000	0.007806
545.000000	0.010374
546.000000	0.015477
547.000000	0.012493
548.000000	0.013436
549.000000	0.019260
550.000000	0.018771
551.000000	0.022656
552.000000	0.025447
553.000000	0.027773
554.000000	0.031432
555.000000	0.036936
556.000000	0.045561
557.000000	0.051108
558.000000	0.058482
559.000000	0.067332
560.000000	0.081368
561.000000	0.089897
562.000000	0.105501
563.000000	0.119777
564.000000	0.138715
565.000000	0.151746
566.000000	0.171824
567.000000	0.193649
568.000000	0.223120
569.000000	0.245548
570.000000	0.277946
571.000000	0.301524
572.000000	0.346573
573.000000	0.379843
574.000000	0.423552
575.000000	0.470745
576.000000	0.535695
577.000000	0.574390
578.000000	0.648438
579.000000	0.718046
580.000000	0.781274
581.000000	0.868978
582.000000	0.968529
583.000000	1.088223
584.000000	1.212980
585.000000	1.362874
586.000000	1.510200
587.000000	1.705743
588.000000	1.906812
589.000000	2.109177
590.000000	2.367508
591.000000	2.630727
592.000000	2.903918
593.000000	3.135820
594.000000	3.342911
595.000000	3.465628
596.000000	3.567171
597.000000	3.568759
598.000000	3.539958
599.000000	3.465438
600.000000	3.407044
601.000000	3.312121
602.000000	3.286331
603.000000	3.306064
604.000000	3.318916
605.000000	3.288850
606.000000	3.263162
607.000000	3.094000
608.000000	2.880956
609.000000	2.622654
610.000000	2.343741
611.000000	2.048251
612.000000	1.762223
613.000000	1.499905
614.000000	1.257160
615.000000	1.092919
616.000000	0.905442
617.000000	0.754788
618.000000	0.648722
619.000000	0.535739
620.000000	0.459875
621.000000	0.383389
622.000000	0.329193
623.000000	0.274033
624.000000	0.229529
625.000000	0.194463
626.000000	0.161869
627.000000	0.143511
628.000000	0.121514
629.000000	0.105202
630.000000	0.089722
631.000000	0.074820
632.000000	0.066941
633.000000	0.047889
634.000000	0.040174
635.000000	0.039637
636.000000	0.036640
637.000000	0.028996
638.000000	0.023188
639.000000	0.019226
640.000000	0.017880
641.000000	0.023381
642.000000	0.011264
