#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/17
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1937	0.1307	0.0004
#xyY coordinates: 0.5965	0.4024	0.1307
#sRGB: 109	15	0
#CCT Lindbloom (K):	0
#CCT McCamy (K):	1627
#CCT Hernández-Andrés (K):	874
#Melatonin: 0.018
#Chlorophyll a: 0.004
#Chlorophyll b: 0.213
#Beta Carotene: 0.006
#Manufacturer: Kingbright
#Luminance manufacturer: 600mc
#Other data: Kingbright Yellow 590nm
#Begin Processed Spectral Data
W	S
475.000000	0.000000
476.000000	0.002651
477.000000	0.000004
478.000000	0.000023
479.000000	0.000389
480.000000	0.000096
481.000000	0.002204
482.000000	0.000000
483.000000	0.000000
484.000000	0.000004
485.000000	0.003938
486.000000	0.000000
487.000000	0.000132
488.000000	0.000030
489.000000	0.000000
490.000000	0.001504
491.000000	0.000000
492.000000	0.001248
493.000000	0.000325
494.000000	0.000797
495.000000	0.000618
496.000000	0.000208
497.000000	0.000094
498.000000	0.000000
499.000000	0.001537
500.000000	0.000411
501.000000	0.000914
502.000000	0.000000
503.000000	0.000000
504.000000	0.000104
505.000000	0.003396
506.000000	0.000001
507.000000	0.000401
508.000000	0.000000
509.000000	0.000000
510.000000	0.000000
511.000000	0.000000
512.000000	0.000460
513.000000	0.000153
514.000000	0.000000
515.000000	0.002570
516.000000	0.000662
517.000000	0.000000
518.000000	0.000005
519.000000	0.000927
520.000000	0.001205
521.000000	0.003426
522.000000	0.000005
523.000000	0.000659
524.000000	0.000025
525.000000	0.001101
526.000000	0.001798
527.000000	0.000040
528.000000	0.000254
529.000000	0.002148
530.000000	0.000004
531.000000	0.000000
532.000000	0.003838
533.000000	0.003858
534.000000	0.001318
535.000000	0.001495
536.000000	0.000770
537.000000	0.004957
538.000000	0.005789
539.000000	0.005749
540.000000	0.006144
541.000000	0.007447
542.000000	0.009004
543.000000	0.008264
544.000000	0.004229
545.000000	0.009565
546.000000	0.010518
547.000000	0.008707
548.000000	0.013329
549.000000	0.018869
550.000000	0.015023
551.000000	0.023512
552.000000	0.023025
553.000000	0.023689
554.000000	0.029065
555.000000	0.032523
556.000000	0.040450
557.000000	0.046608
558.000000	0.049996
559.000000	0.061020
560.000000	0.069128
561.000000	0.081237
562.000000	0.089887
563.000000	0.108557
564.000000	0.119229
565.000000	0.137815
566.000000	0.158929
567.000000	0.168966
568.000000	0.201913
569.000000	0.229531
570.000000	0.259244
571.000000	0.282770
572.000000	0.341240
573.000000	0.368901
574.000000	0.410721
575.000000	0.456991
576.000000	0.519593
577.000000	0.607793
578.000000	0.678484
579.000000	0.768989
580.000000	0.861559
581.000000	0.977494
582.000000	1.109154
583.000000	1.295434
584.000000	1.488718
585.000000	1.680289
586.000000	1.928006
587.000000	2.155573
588.000000	2.463367
589.000000	2.782549
590.000000	3.147955
591.000000	3.505406
592.000000	3.922402
593.000000	4.266755
594.000000	4.670079
595.000000	5.025979
596.000000	5.192464
597.000000	5.204698
598.000000	4.958994
599.000000	4.588090
600.000000	4.032105
601.000000	3.435049
602.000000	2.927841
603.000000	2.512192
604.000000	2.134524
605.000000	1.906327
606.000000	1.717771
607.000000	1.595615
608.000000	1.466977
609.000000	1.340752
610.000000	1.230419
611.000000	1.093835
612.000000	0.965677
613.000000	0.816243
614.000000	0.716571
615.000000	0.603719
616.000000	0.525653
617.000000	0.431043
618.000000	0.368432
619.000000	0.322276
620.000000	0.282517
621.000000	0.238485
622.000000	0.207301
623.000000	0.173877
624.000000	0.144139
625.000000	0.128412
626.000000	0.106259
627.000000	0.091687
628.000000	0.083103
629.000000	0.067166
630.000000	0.056699
631.000000	0.048956
632.000000	0.044573
633.000000	0.035330
634.000000	0.029987
635.000000	0.027135
636.000000	0.022598
637.000000	0.023453
638.000000	0.019806
639.000000	0.014153
640.000000	0.017002
641.000000	0.006010
642.000000	0.005126
643.000000	0.010452
644.000000	0.002453
645.000000	0.007383
646.000000	0.006533
647.000000	0.008074
648.000000	0.001850
649.000000	0.005310
650.000000	0.006489
651.000000	0.001416
652.000000	0.000694
653.000000	0.002645
654.000000	0.008975
655.000000	0.001574
656.000000	0.008670
657.000000	0.000000
658.000000	0.007254
659.000000	0.003507
660.000000	0.005308
661.000000	0.001558
662.000000	0.001003
663.000000	0.003354
664.000000	0.002913
665.000000	0.001435
666.000000	0.000927
667.000000	0.000177
668.000000	0.000013
669.000000	0.000609
670.000000	0.000000
671.000000	0.009655
672.000000	0.004041
673.000000	0.000000
674.000000	0.000004
675.000000	0.000015
676.000000	0.002161
677.000000	0.000000
678.000000	0.000293
679.000000	0.002067
680.000000	0.000909
681.000000	0.003732
682.000000	0.000016
683.000000	0.000000
684.000000	0.000000
685.000000	0.004080
686.000000	0.000000
687.000000	0.007178
688.000000	0.004057
689.000000	0.000001
690.000000	0.000000
691.000000	0.005417
692.000000	0.000000
693.000000	0.000000
694.000000	0.000172
695.000000	0.000000
696.000000	0.000018
697.000000	0.000000
698.000000	0.000000
699.000000	0.000002
700.000000	0.008321
701.000000	0.000013
702.000000	0.000000
703.000000	0.000497
704.000000	0.004696
705.000000	0.000004
706.000000	0.005631
707.000000	0.000000
708.000000	0.001431
709.000000	0.000053
710.000000	0.000000
711.000000	0.000000
712.000000	0.000000
713.000000	0.001126
714.000000	0.000000
715.000000	0.006305
716.000000	0.000736
717.000000	0.000000
718.000000	0.009458
719.000000	0.000033
720.000000	0.000000
721.000000	0.000044
722.000000	0.000000
723.000000	0.010352
724.000000	0.000000
725.000000	0.000000
