#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/01/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1734	0.0751	0.0004
#xyY coordinates: 0.6967	0.3018	0.0751
#sRGB: 114	0	0
#CCT Lindbloom (K):	0
#CCT McCamy (K):	4957
#CCT Hernández-Andrés (K):	0
#Melatonin: 0.014
#Chlorophyll a: -0.002
#Chlorophyll b: 1.312
#Beta Carotene: 0.004
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Traffic light in Spain
#Begin Processed Spectral Data
W	S
475.000000	0.000000
476.000000	0.000000
477.000000	0.001929
478.000000	0.000000
479.000000	0.003309
480.000000	0.001072
481.000000	0.001103
482.000000	0.000000
483.000000	0.003225
484.000000	0.000259
485.000000	0.000000
486.000000	0.005276
487.000000	0.000416
488.000000	0.001427
489.000000	0.001982
490.000000	0.000809
491.000000	0.000000
492.000000	0.002572
493.000000	0.000000
494.000000	0.000653
495.000000	0.000019
496.000000	0.004547
497.000000	0.001130
498.000000	0.000000
499.000000	0.000000
500.000000	0.004786
501.000000	0.000000
502.000000	0.000000
503.000000	0.000000
504.000000	0.000157
505.000000	0.000000
506.000000	0.001170
507.000000	0.000000
508.000000	0.000055
509.000000	0.000260
510.000000	0.000438
511.000000	0.003697
512.000000	0.000000
513.000000	0.001561
514.000000	0.000000
515.000000	0.001996
516.000000	0.001052
517.000000	0.000910
518.000000	0.002094
519.000000	0.001995
520.000000	0.000000
521.000000	0.000002
522.000000	0.004151
523.000000	0.000000
524.000000	0.002797
525.000000	0.000986
526.000000	0.000118
527.000000	0.000908
528.000000	0.000000
529.000000	0.003104
530.000000	0.000000
531.000000	0.003309
532.000000	0.000000
533.000000	0.001658
534.000000	0.002708
535.000000	0.000238
536.000000	0.005196
537.000000	0.000072
538.000000	0.002210
539.000000	0.000000
540.000000	0.000020
541.000000	0.000142
542.000000	0.004100
543.000000	0.000435
544.000000	0.003487
545.000000	0.005000
546.000000	0.000006
547.000000	0.000021
548.000000	0.005235
549.000000	0.003116
550.000000	0.000134
551.000000	0.002570
552.000000	0.004194
553.000000	0.000806
554.000000	0.000551
555.000000	0.002438
556.000000	0.001753
557.000000	0.000546
558.000000	0.000000
559.000000	0.003637
560.000000	0.003370
561.000000	0.000035
562.000000	0.000000
563.000000	0.000378
564.000000	0.002230
565.000000	0.000000
566.000000	0.003430
567.000000	0.004824
568.000000	0.000909
569.000000	0.001843
570.000000	0.002442
571.000000	0.001154
572.000000	0.000147
573.000000	0.004135
574.000000	0.000084
575.000000	0.004200
576.000000	0.002560
577.000000	0.000472
578.000000	0.001493
579.000000	0.002141
580.000000	0.002450
581.000000	0.004188
582.000000	0.005499
583.000000	0.004710
584.000000	0.006376
585.000000	0.001095
586.000000	0.011094
587.000000	0.003391
588.000000	0.012594
589.000000	0.016409
590.000000	0.023398
591.000000	0.026971
592.000000	0.033308
593.000000	0.049701
594.000000	0.058177
595.000000	0.073838
596.000000	0.085670
597.000000	0.108864
598.000000	0.132447
599.000000	0.155884
600.000000	0.177443
601.000000	0.213029
602.000000	0.238602
603.000000	0.280921
604.000000	0.310531
605.000000	0.349643
606.000000	0.394798
607.000000	0.444913
608.000000	0.514661
609.000000	0.591540
610.000000	0.651777
611.000000	0.741628
612.000000	0.843071
613.000000	0.936640
614.000000	1.042768
615.000000	1.173555
616.000000	1.296454
617.000000	1.453866
618.000000	1.611539
619.000000	1.800207
620.000000	1.971222
621.000000	2.149091
622.000000	2.371470
623.000000	2.572468
624.000000	2.774982
625.000000	2.975621
626.000000	3.115348
627.000000	3.254427
628.000000	3.351593
629.000000	3.444007
630.000000	3.517038
631.000000	3.570125
632.000000	3.613758
633.000000	3.646988
634.000000	3.661661
635.000000	3.649451
636.000000	3.619116
637.000000	3.558511
638.000000	3.456965
639.000000	3.324494
640.000000	3.123176
641.000000	2.834372
642.000000	2.451595
643.000000	2.102500
644.000000	1.744926
645.000000	1.421674
646.000000	1.173410
647.000000	0.966042
648.000000	0.773717
649.000000	0.649212
650.000000	0.528275
651.000000	0.431313
652.000000	0.362080
653.000000	0.289969
654.000000	0.245444
655.000000	0.200933
656.000000	0.166404
657.000000	0.133272
658.000000	0.109929
659.000000	0.095716
660.000000	0.079069
661.000000	0.065632
662.000000	0.054162
663.000000	0.040383
664.000000	0.037726
665.000000	0.032504
666.000000	0.030349
667.000000	0.026573
668.000000	0.018566
669.000000	0.020709
670.000000	0.019561
671.000000	0.013798
672.000000	0.004704
673.000000	0.011279
674.000000	0.009688
675.000000	0.005122
676.000000	0.006186
677.000000	0.009211
678.000000	0.003507
679.000000	0.003001
680.000000	0.001215
681.000000	0.002427
682.000000	0.001225
683.000000	0.002763
684.000000	0.005938
685.000000	0.005452
686.000000	0.002843
687.000000	0.001532
688.000000	0.001604
689.000000	0.000000
690.000000	0.003710
691.000000	0.002671
692.000000	0.001126
693.000000	0.000251
694.000000	0.004903
695.000000	0.001262
696.000000	0.000000
697.000000	0.000379
698.000000	0.000312
699.000000	0.000088
700.000000	0.004267
701.000000	0.005262
702.000000	0.000153
703.000000	0.000004
704.000000	0.004448
705.000000	0.001335
706.000000	0.000477
707.000000	0.000166
708.000000	0.000081
709.000000	0.000000
710.000000	0.000056
711.000000	0.003092
712.000000	0.000264
713.000000	0.003238
714.000000	0.000112
715.000000	0.000000
716.000000	0.001290
717.000000	0.001450
718.000000	0.000744
719.000000	0.002329
720.000000	0.000000
721.000000	0.000000
722.000000	0.001349
723.000000	0.000000
724.000000	0.000000
725.000000	0.002223
