#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0180	0.0068	0.0000
#xyY coordinates: 0.7235	0.2754	0.0068
#sRGB: 12	0	0
#CCT Lindbloom (K):	---
#CCT McCamy (K):	5554
#CCT Hernández-Andrés (K):	---
#Melatonin: 0.015
#Chlorophyll a: 22.070
#Chlorophyll b: 1.691
#Beta Carotene: 21.681
#Manufacturer: Umknowm
#Luminance manufacturer: Unknown
#Other data: 
#Begin Processed Spectral Data
W	S
475.000000	0.000000
476.000000	0.000000
477.000000	0.000000
478.000000	0.000000
479.000000	0.000000
480.000000	0.000000
481.000000	0.000000
482.000000	0.000430
483.000000	0.000000
484.000000	0.000000
485.000000	0.000000
486.000000	0.000000
487.000000	0.000000
488.000000	0.000000
489.000000	0.000456
490.000000	0.000000
491.000000	0.000000
492.000000	0.001151
493.000000	0.000000
494.000000	0.000000
495.000000	0.001217
496.000000	0.000000
497.000000	0.000331
498.000000	0.000000
499.000000	0.000000
500.000000	0.000000
501.000000	0.000118
502.000000	0.000000
503.000000	0.000000
504.000000	0.000000
505.000000	0.000754
506.000000	0.000500
507.000000	0.000000
508.000000	0.000311
509.000000	0.000000
510.000000	0.001019
511.000000	0.000000
512.000000	0.000000
513.000000	0.000000
514.000000	0.000000
515.000000	0.000000
516.000000	0.000000
517.000000	0.000000
518.000000	0.000204
519.000000	0.000000
520.000000	0.000000
521.000000	0.001367
522.000000	0.000000
523.000000	0.000000
524.000000	0.001108
525.000000	0.000000
526.000000	0.000000
527.000000	0.000292
528.000000	0.000000
529.000000	0.000053
530.000000	0.000000
531.000000	0.000000
532.000000	0.000085
533.000000	0.000072
534.000000	0.000000
535.000000	0.000000
536.000000	0.000754
537.000000	0.000000
538.000000	0.000165
539.000000	0.000297
540.000000	0.000000
541.000000	0.000000
542.000000	0.000000
543.000000	0.002324
544.000000	0.000000
545.000000	0.000000
546.000000	0.001202
547.000000	0.000000
548.000000	0.000000
549.000000	0.000000
550.000000	0.000000
551.000000	0.000000
552.000000	0.000000
553.000000	0.000000
554.000000	0.000000
555.000000	0.000000
556.000000	0.000000
557.000000	0.000000
558.000000	0.000000
559.000000	0.000000
560.000000	0.000000
561.000000	0.000000
562.000000	0.000000
563.000000	0.000000
564.000000	0.000306
565.000000	0.000000
566.000000	0.000000
567.000000	0.000000
568.000000	0.000000
569.000000	0.000000
570.000000	0.000829
571.000000	0.000000
572.000000	0.000000
573.000000	0.000797
574.000000	0.000000
575.000000	0.000731
576.000000	0.001649
577.000000	0.000000
578.000000	0.000065
579.000000	0.000000
580.000000	0.000000
581.000000	0.000000
582.000000	0.000000
583.000000	0.000000
584.000000	0.000000
585.000000	0.000000
586.000000	0.000000
587.000000	0.000917
588.000000	0.000000
589.000000	0.001404
590.000000	0.001670
591.000000	0.000922
592.000000	0.001095
593.000000	0.001020
594.000000	0.001060
595.000000	0.000000
596.000000	0.000662
597.000000	0.000776
598.000000	0.002762
599.000000	0.002432
600.000000	0.002197
601.000000	0.005307
602.000000	0.001905
603.000000	0.003584
604.000000	0.004436
605.000000	0.004074
606.000000	0.003364
607.000000	0.006409
608.000000	0.008034
609.000000	0.003884
610.000000	0.008029
611.000000	0.006960
612.000000	0.007894
613.000000	0.011209
614.000000	0.013266
615.000000	0.012402
616.000000	0.014444
617.000000	0.014210
618.000000	0.015368
619.000000	0.021009
620.000000	0.021556
621.000000	0.020743
622.000000	0.023805
623.000000	0.029349
624.000000	0.027837
625.000000	0.029713
626.000000	0.035884
627.000000	0.036274
628.000000	0.042309
629.000000	0.042716
630.000000	0.048010
631.000000	0.053329
632.000000	0.058302
633.000000	0.060003
634.000000	0.064184
635.000000	0.070011
636.000000	0.080867
637.000000	0.086818
638.000000	0.087432
639.000000	0.098761
640.000000	0.106278
641.000000	0.111500
642.000000	0.118610
643.000000	0.129021
644.000000	0.137162
645.000000	0.147347
646.000000	0.165735
647.000000	0.177565
648.000000	0.188159
649.000000	0.204388
650.000000	0.214992
651.000000	0.227706
652.000000	0.245884
653.000000	0.268835
654.000000	0.284661
655.000000	0.309352
656.000000	0.328031
657.000000	0.356655
658.000000	0.372918
659.000000	0.405663
660.000000	0.441651
661.000000	0.471946
662.000000	0.497502
663.000000	0.537508
664.000000	0.573048
665.000000	0.623836
666.000000	0.665613
667.000000	0.720127
668.000000	0.770003
669.000000	0.828774
670.000000	0.887199
671.000000	0.956365
672.000000	1.023103
673.000000	1.098385
674.000000	1.169792
675.000000	1.252768
676.000000	1.333238
677.000000	1.442170
678.000000	1.536703
679.000000	1.646478
680.000000	1.743169
681.000000	1.872376
682.000000	1.989601
683.000000	2.122074
684.000000	2.219459
685.000000	2.351515
686.000000	2.442388
687.000000	2.518174
688.000000	2.590457
689.000000	2.678139
690.000000	2.690133
691.000000	2.723226
692.000000	2.736332
693.000000	2.756802
694.000000	2.747080
695.000000	2.697555
696.000000	2.656871
697.000000	2.612795
698.000000	2.537769
699.000000	2.460724
700.000000	2.380368
701.000000	2.286224
702.000000	2.159568
703.000000	2.022989
704.000000	1.873887
705.000000	1.745569
706.000000	1.596568
707.000000	1.457776
708.000000	1.337355
709.000000	1.217189
710.000000	1.095831
711.000000	1.000205
712.000000	0.901104
713.000000	0.806371
714.000000	0.695468
715.000000	0.638629
716.000000	0.572623
717.000000	0.504634
718.000000	0.449125
719.000000	0.406629
720.000000	0.354419
721.000000	0.318299
722.000000	0.283346
723.000000	0.237924
724.000000	0.214728
725.000000	0.201349
