#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/17
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.6250	0.4680	0.0054
#xyY coordinates: 0.5690	0.4261	0.4680
#sRGB: 255	53	0
#CCT Lindbloom (K):	1766
#CCT McCamy (K):	1789
#CCT Hernández-Andrés (K):	1354
#Melatonin: 0.037
#Chlorophyll a: 0.142
#Chlorophyll b: 0.337
#Beta Carotene: 0.143
#Manufacturer: Wave Tecnica Canaria
#Luminance manufacturer: Unknown
#Other data: La Palma streetlight
#Begin Processed Spectral Data
W	S
475.000000	0.003924
476.000000	0.003948
477.000000	0.004084
478.000000	0.002441
479.000000	0.002268
480.000000	0.000786
481.000000	0.001719
482.000000	0.002570
483.000000	0.002021
484.000000	0.002311
485.000000	0.000672
486.000000	0.002487
487.000000	0.001494
488.000000	0.002273
489.000000	0.001207
490.000000	0.000692
491.000000	0.001686
492.000000	0.000758
493.000000	0.000691
494.000000	0.001186
495.000000	0.001224
496.000000	0.001514
497.000000	0.001466
498.000000	0.002039
499.000000	0.001411
500.000000	0.001742
501.000000	0.001722
502.000000	0.001640
503.000000	0.002330
504.000000	0.002214
505.000000	0.002436
506.000000	0.002697
507.000000	0.003190
508.000000	0.003597
509.000000	0.003337
510.000000	0.004227
511.000000	0.004646
512.000000	0.004685
513.000000	0.005276
514.000000	0.005962
515.000000	0.006639
516.000000	0.008295
517.000000	0.009234
518.000000	0.011424
519.000000	0.011979
520.000000	0.013355
521.000000	0.014805
522.000000	0.016616
523.000000	0.019016
524.000000	0.021521
525.000000	0.023492
526.000000	0.027325
527.000000	0.029498
528.000000	0.032704
529.000000	0.037083
530.000000	0.040987
531.000000	0.045718
532.000000	0.052473
533.000000	0.056075
534.000000	0.062664
535.000000	0.069543
536.000000	0.075199
537.000000	0.084895
538.000000	0.091752
539.000000	0.103260
540.000000	0.108499
541.000000	0.122194
542.000000	0.136819
543.000000	0.147815
544.000000	0.160216
545.000000	0.176547
546.000000	0.188765
547.000000	0.206095
548.000000	0.221810
549.000000	0.238809
550.000000	0.259285
551.000000	0.278728
552.000000	0.299270
553.000000	0.322206
554.000000	0.348269
555.000000	0.370208
556.000000	0.394578
557.000000	0.424801
558.000000	0.446519
559.000000	0.481187
560.000000	0.502701
561.000000	0.537413
562.000000	0.559743
563.000000	0.585943
564.000000	0.610672
565.000000	0.633073
566.000000	0.662192
567.000000	0.695044
568.000000	0.714908
569.000000	0.747033
570.000000	0.773274
571.000000	0.795589
572.000000	0.819876
573.000000	0.846374
574.000000	0.870002
575.000000	0.899394
576.000000	0.916732
577.000000	0.931245
578.000000	0.954739
579.000000	0.980199
580.000000	0.999678
581.000000	1.019409
582.000000	1.039483
583.000000	1.049066
584.000000	1.053332
585.000000	1.075738
586.000000	1.088948
587.000000	1.108824
588.000000	1.116775
589.000000	1.122414
590.000000	1.121881
591.000000	1.126872
592.000000	1.132121
593.000000	1.144499
594.000000	1.137536
595.000000	1.141568
596.000000	1.137535
597.000000	1.138781
598.000000	1.130298
599.000000	1.134966
600.000000	1.128088
601.000000	1.123720
602.000000	1.118309
603.000000	1.119835
604.000000	1.123515
605.000000	1.100253
606.000000	1.088454
607.000000	1.074326
608.000000	1.065809
609.000000	1.051487
610.000000	1.038391
611.000000	1.039572
612.000000	1.018460
613.000000	0.999066
614.000000	0.987897
615.000000	0.984419
616.000000	0.970053
617.000000	0.953568
618.000000	0.950141
619.000000	0.938948
620.000000	0.922462
621.000000	0.904617
622.000000	0.887127
623.000000	0.875564
624.000000	0.863489
625.000000	0.844040
626.000000	0.830960
627.000000	0.817922
628.000000	0.804552
629.000000	0.786430
630.000000	0.765610
631.000000	0.752961
632.000000	0.740317
633.000000	0.719464
634.000000	0.700683
635.000000	0.686003
636.000000	0.675211
637.000000	0.662783
638.000000	0.641514
639.000000	0.626643
640.000000	0.605533
641.000000	0.596766
642.000000	0.584182
643.000000	0.572598
644.000000	0.560131
645.000000	0.549137
646.000000	0.530638
647.000000	0.518381
648.000000	0.509117
649.000000	0.490987
650.000000	0.477974
651.000000	0.468133
652.000000	0.456257
653.000000	0.447449
654.000000	0.434361
655.000000	0.415846
656.000000	0.407103
657.000000	0.390694
658.000000	0.383180
659.000000	0.373417
660.000000	0.364995
661.000000	0.353021
662.000000	0.345144
663.000000	0.328725
664.000000	0.325307
665.000000	0.317035
666.000000	0.306373
667.000000	0.298466
668.000000	0.287599
669.000000	0.279370
670.000000	0.272659
671.000000	0.263317
672.000000	0.251710
673.000000	0.248299
674.000000	0.240726
675.000000	0.234756
676.000000	0.226526
677.000000	0.218476
678.000000	0.212528
679.000000	0.209259
680.000000	0.197640
681.000000	0.195297
682.000000	0.186863
683.000000	0.181620
684.000000	0.176190
685.000000	0.169821
686.000000	0.161346
687.000000	0.155274
688.000000	0.153772
689.000000	0.150515
690.000000	0.141582
691.000000	0.140936
692.000000	0.132397
693.000000	0.133530
694.000000	0.126151
695.000000	0.125820
696.000000	0.118062
697.000000	0.114732
698.000000	0.110700
699.000000	0.108330
700.000000	0.103883
701.000000	0.099679
702.000000	0.098495
703.000000	0.096946
704.000000	0.092186
705.000000	0.085989
706.000000	0.085013
707.000000	0.085878
708.000000	0.080629
709.000000	0.074556
710.000000	0.077200
711.000000	0.072171
712.000000	0.067312
713.000000	0.068649
714.000000	0.066589
715.000000	0.062067
716.000000	0.061652
717.000000	0.060076
718.000000	0.060051
719.000000	0.056906
720.000000	0.053502
721.000000	0.049635
722.000000	0.050554
723.000000	0.052259
724.000000	0.046936
725.000000	0.046234
