#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/11
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.6497	0.5089	0.0060
#xyY coordinates: 0.5579	0.4370	0.5089
#sRGB: 255	63	0
#CCT Lindbloom (K):	1901
#CCT McCamy (K):	1909
#CCT Hernández-Andrés (K):	1565
#Melatonin: 0.044
#Chlorophyll a: 0.165
#Chlorophyll b: 0.324
#Beta Carotene: 0.167
#Manufacturer: Wave Tecnica Canaria
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.000000	0.002070
476.000000	0.003106
477.000000	0.001832
478.000000	0.001753
479.000000	0.002471
480.000000	0.002330
481.000000	0.003033
482.000000	0.000951
483.000000	0.002845
484.000000	0.002120
485.000000	0.004006
486.000000	0.003114
487.000000	0.003712
488.000000	0.003021
489.000000	0.001947
490.000000	0.003345
491.000000	0.003306
492.000000	0.005283
493.000000	0.004291
494.000000	0.004564
495.000000	0.004996
496.000000	0.005668
497.000000	0.006110
498.000000	0.006164
499.000000	0.008171
500.000000	0.008516
501.000000	0.010475
502.000000	0.009650
503.000000	0.012244
504.000000	0.013577
505.000000	0.013217
506.000000	0.014111
507.000000	0.015161
508.000000	0.017740
509.000000	0.017511
510.000000	0.019659
511.000000	0.021714
512.000000	0.022277
513.000000	0.025301
514.000000	0.026840
515.000000	0.029018
516.000000	0.030216
517.000000	0.033317
518.000000	0.036086
519.000000	0.037548
520.000000	0.040003
521.000000	0.044127
522.000000	0.047467
523.000000	0.049953
524.000000	0.054308
525.000000	0.056332
526.000000	0.060733
527.000000	0.064440
528.000000	0.070210
529.000000	0.076886
530.000000	0.082410
531.000000	0.087762
532.000000	0.094920
533.000000	0.097984
534.000000	0.107512
535.000000	0.116106
536.000000	0.122697
537.000000	0.133532
538.000000	0.142554
539.000000	0.155244
540.000000	0.164676
541.000000	0.178414
542.000000	0.190994
543.000000	0.203379
544.000000	0.218799
545.000000	0.236399
546.000000	0.248072
547.000000	0.263434
548.000000	0.285019
549.000000	0.298561
550.000000	0.318702
551.000000	0.348623
552.000000	0.365526
553.000000	0.385506
554.000000	0.408880
555.000000	0.432419
556.000000	0.463853
557.000000	0.486557
558.000000	0.517771
559.000000	0.541492
560.000000	0.568332
561.000000	0.602014
562.000000	0.619329
563.000000	0.639272
564.000000	0.666951
565.000000	0.691771
566.000000	0.710476
567.000000	0.740011
568.000000	0.760234
569.000000	0.789218
570.000000	0.802836
571.000000	0.827183
572.000000	0.848394
573.000000	0.859129
574.000000	0.883752
575.000000	0.894361
576.000000	0.909356
577.000000	0.930374
578.000000	0.946953
579.000000	0.954219
580.000000	0.966764
581.000000	0.979238
582.000000	0.996876
583.000000	1.008844
584.000000	1.014059
585.000000	1.037047
586.000000	1.037677
587.000000	1.043306
588.000000	1.048727
589.000000	1.054646
590.000000	1.053270
591.000000	1.051231
592.000000	1.059658
593.000000	1.057727
594.000000	1.059728
595.000000	1.067220
596.000000	1.059093
597.000000	1.055203
598.000000	1.050736
599.000000	1.055691
600.000000	1.054314
601.000000	1.045195
602.000000	1.037273
603.000000	1.032372
604.000000	1.032429
605.000000	1.019707
606.000000	1.001327
607.000000	0.999061
608.000000	0.985486
609.000000	0.973253
610.000000	0.964106
611.000000	0.961607
612.000000	0.936966
613.000000	0.932321
614.000000	0.923514
615.000000	0.920963
616.000000	0.912232
617.000000	0.900573
618.000000	0.896888
619.000000	0.882268
620.000000	0.882370
621.000000	0.853188
