#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/06/28
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.6386	0.4573	0.0065
#xyY coordinates: 0.5792	0.4149	0.4573
#sRGB: 255	45	0
#CCT Lindbloom (K):	---
#CCT McCamy (K):	1698
#CCT Hernández-Andrés (K):	1151
#Melatonin: 0.050
#Chlorophyll a: 0.424
#Chlorophyll b: 0.418
#Beta Carotene: 0.424
#Manufacturer: Ignialight
#Luminance manufacturer: Unknown
#Other data: Áger streetlight.
#Begin Processed Spectral Data
W	S
475.000000	0.000936
476.000000	0.001215
477.000000	0.001532
478.000000	0.001297
479.000000	0.001504
480.000000	0.001570
481.000000	0.001300
482.000000	0.002021
483.000000	0.001515
484.000000	0.002066
485.000000	0.002306
486.000000	0.002363
487.000000	0.002366
488.000000	0.002850
489.000000	0.003044
490.000000	0.003406
491.000000	0.003797
492.000000	0.004319
493.000000	0.004928
494.000000	0.005590
495.000000	0.006317
496.000000	0.007100
497.000000	0.008023
498.000000	0.009275
499.000000	0.010075
500.000000	0.011683
501.000000	0.013036
502.000000	0.014390
503.000000	0.016387
504.000000	0.018507
505.000000	0.020094
506.000000	0.022245
507.000000	0.024824
508.000000	0.027132
509.000000	0.030073
510.000000	0.032676
511.000000	0.036007
512.000000	0.038658
513.000000	0.041810
514.000000	0.045569
515.000000	0.048474
516.000000	0.051682
517.000000	0.055478
518.000000	0.058569
519.000000	0.061540
520.000000	0.065700
521.000000	0.069131
522.000000	0.073249
523.000000	0.077150
524.000000	0.080875
525.000000	0.084829
526.000000	0.089193
527.000000	0.093156
528.000000	0.097128
529.000000	0.101456
530.000000	0.106233
531.000000	0.109541
532.000000	0.113797
533.000000	0.116985
534.000000	0.122051
535.000000	0.127576
536.000000	0.130995
537.000000	0.136059
538.000000	0.140492
539.000000	0.146146
540.000000	0.151403
541.000000	0.158989
542.000000	0.163341
543.000000	0.170237
544.000000	0.174733
545.000000	0.181311
546.000000	0.187132
547.000000	0.195102
548.000000	0.203178
549.000000	0.209072
550.000000	0.217532
551.000000	0.227066
552.000000	0.235897
553.000000	0.244582
