#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/06/28
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7072	0.5759	0.1032
#xyY coordinates: 0.5101	0.4154	0.5759
#sRGB: 255	75	6
#CCT Lindbloom (K):	2159
#CCT McCamy (K):	2139
#CCT Hernández-Andrés (K):	1922
#Melatonin: 0.181
#Chlorophyll a: 0.612
#Chlorophyll b: 0.519
#Beta Carotene: 0.611
#Manufacturer: Ignialight
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.000000	0.026612
476.000000	0.026030
477.000000	0.025881
478.000000	0.025725
479.000000	0.026024
480.000000	0.026290
481.000000	0.027132
482.000000	0.027729
483.000000	0.028269
484.000000	0.028893
485.000000	0.030004
486.000000	0.031678
487.000000	0.032612
488.000000	0.034211
489.000000	0.036084
490.000000	0.037962
491.000000	0.040437
492.000000	0.042561
493.000000	0.045904
494.000000	0.049201
495.000000	0.052438
496.000000	0.056213
497.000000	0.060438
498.000000	0.064573
499.000000	0.069173
500.000000	0.073831
501.000000	0.079039
502.000000	0.084051
503.000000	0.089660
504.000000	0.094071
505.000000	0.099821
506.000000	0.105150
507.000000	0.110705
508.000000	0.116551
509.000000	0.122098
510.000000	0.128466
511.000000	0.135141
512.000000	0.141393
513.000000	0.146362
514.000000	0.152850
515.000000	0.158148
516.000000	0.163909
517.000000	0.168992
518.000000	0.174248
519.000000	0.178851
520.000000	0.184336
521.000000	0.188729
522.000000	0.194567
523.000000	0.200180
524.000000	0.207071
525.000000	0.210803
526.000000	0.216462
527.000000	0.221277
528.000000	0.227825
529.000000	0.231978
530.000000	0.235195
531.000000	0.240527
532.000000	0.245510
533.000000	0.248630
534.000000	0.252704
535.000000	0.258420
536.000000	0.262521
537.000000	0.266580
538.000000	0.271751
539.000000	0.275831
540.000000	0.280458
541.000000	0.287115
542.000000	0.290478
543.000000	0.297153
544.000000	0.299770
545.000000	0.304838
546.000000	0.309012
547.000000	0.315293
548.000000	0.320089
549.000000	0.323138
550.000000	0.329146
551.000000	0.335256
552.000000	0.341246
553.000000	0.347328
554.000000	0.351738
555.000000	0.357137
556.000000	0.365384
557.000000	0.372515
558.000000	0.379805
559.000000	0.383534
560.000000	0.391911
561.000000	0.399433
562.000000	0.403442
563.000000	0.408380
564.000000	0.415053
565.000000	0.421002
566.000000	0.428992
567.000000	0.436353
568.000000	0.441151
569.000000	0.448778
570.000000	0.451537
571.000000	0.458509
572.000000	0.466150
573.000000	0.472246
574.000000	0.477302
575.000000	0.483740
576.000000	0.490045
577.000000	0.498332
578.000000	0.505112
579.000000	0.510954
580.000000	0.517717
581.000000	0.525453
582.000000	0.533059
583.000000	0.542813
584.000000	0.552044
585.000000	0.561523
586.000000	0.568765
587.000000	0.575267
588.000000	0.581887
589.000000	0.587018
590.000000	0.595821
591.000000	0.602648
592.000000	0.606650
593.000000	0.616327
594.000000	0.620612
595.000000	0.629363
596.000000	0.633945
597.000000	0.638166
598.000000	0.647891
599.000000	0.654192
600.000000	0.662112
601.000000	0.665274
602.000000	0.673856
603.000000	0.681259
604.000000	0.686264
605.000000	0.687630
606.000000	0.691874
607.000000	0.690937
608.000000	0.694279
609.000000	0.694154
610.000000	0.697723
611.000000	0.704617
612.000000	0.704299
613.000000	0.707194
614.000000	0.711492
615.000000	0.719140
616.000000	0.722522
617.000000	0.726661
618.000000	0.735791
619.000000	0.736613
620.000000	0.740813
621.000000	0.736862
622.000000	0.736326
623.000000	0.736653
624.000000	0.736783
625.000000	0.738653
626.000000	0.738060
627.000000	0.737643
628.000000	0.736954
629.000000	0.735370
630.000000	0.731405
631.000000	0.730353
632.000000	0.723914
633.000000	0.722207
634.000000	0.723380
635.000000	0.719091
636.000000	0.711291
637.000000	0.708822
638.000000	0.706718
639.000000	0.699899
640.000000	0.693527
641.000000	0.691079
642.000000	0.689009
643.000000	0.680734
644.000000	0.677192
645.000000	0.672735
646.000000	0.669292
647.000000	0.660836
648.000000	0.658977
649.000000	0.653646
650.000000	0.645740
651.000000	0.638353
652.000000	0.633361
653.000000	0.623600
654.000000	0.618207
655.000000	0.609839
656.000000	0.601848
657.000000	0.595726
658.000000	0.587980
659.000000	0.582959
660.000000	0.574311
661.000000	0.568308
662.000000	0.562228
663.000000	0.554486
664.000000	0.543135
665.000000	0.539121
666.000000	0.530044
667.000000	0.521894
668.000000	0.513970
669.000000	0.509692
670.000000	0.502011
671.000000	0.494952
672.000000	0.487591
673.000000	0.482119
674.000000	0.472007
675.000000	0.463937
676.000000	0.458132
677.000000	0.450748
678.000000	0.441545
679.000000	0.435977
680.000000	0.429491
681.000000	0.421632
682.000000	0.413573
683.000000	0.406518
684.000000	0.399089
685.000000	0.392311
686.000000	0.384697
687.000000	0.377500
688.000000	0.369683
689.000000	0.361474
690.000000	0.357371
691.000000	0.349558
692.000000	0.345048
693.000000	0.338467
694.000000	0.329874
695.000000	0.325217
696.000000	0.318272
697.000000	0.311166
698.000000	0.304321
699.000000	0.299257
700.000000	0.295190
701.000000	0.290948
702.000000	0.284653
703.000000	0.277123
704.000000	0.269423
705.000000	0.265307
706.000000	0.258306
707.000000	0.251827
708.000000	0.245474
709.000000	0.239792
710.000000	0.236145
711.000000	0.229326
712.000000	0.222945
713.000000	0.216908
714.000000	0.212081
715.000000	0.207962
716.000000	0.201387
717.000000	0.197256
718.000000	0.192936
719.000000	0.188753
720.000000	0.183628
721.000000	0.179515
722.000000	0.175306
723.000000	0.169028
724.000000	0.165079
725.000000	0.160857
