#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.8060	0.7209	0.4103
#xyY coordinates: 0.4160	0.3722	0.7209
#sRGB: 255	116	65
#CCT Lindbloom (K):	2973
#CCT McCamy (K):	3119
#CCT Hernández-Andrés (K):	3106
#Melatonin: 0.414
#Chlorophyll a: 0.175
#Chlorophyll b: 0.731
#Beta Carotene: 0.176
#Manufacturer: Philips
#Luminance manufacturer: Unknown
#Other data: Madrid streetlamp tested in laboratory
#Begin Processed Spectral Data
W	S
475.000000	0.094939
476.000000	0.089329
477.000000	0.088955
478.000000	0.081997
479.000000	0.080904
480.000000	0.079964
481.000000	0.081180
482.000000	0.077933
483.000000	0.080133
484.000000	0.078037
485.000000	0.079766
486.000000	0.080611
487.000000	0.080199
488.000000	0.082583
489.000000	0.084374
490.000000	0.085688
491.000000	0.089162
492.000000	0.095176
493.000000	0.097957
494.000000	0.106086
495.000000	0.105195
496.000000	0.113160
497.000000	0.123685
498.000000	0.126490
499.000000	0.137047
500.000000	0.144897
501.000000	0.152593
502.000000	0.162367
503.000000	0.169924
504.000000	0.177319
505.000000	0.189802
506.000000	0.192661
507.000000	0.204440
508.000000	0.214365
509.000000	0.222278
510.000000	0.229911
511.000000	0.239622
512.000000	0.251424
513.000000	0.254660
514.000000	0.268592
515.000000	0.279150
516.000000	0.285616
517.000000	0.292406
518.000000	0.297465
519.000000	0.307447
520.000000	0.312934
521.000000	0.322981
522.000000	0.332398
523.000000	0.340291
524.000000	0.345724
525.000000	0.355493
526.000000	0.363872
527.000000	0.367382
528.000000	0.374707
529.000000	0.383610
530.000000	0.388496
531.000000	0.393461
532.000000	0.402620
533.000000	0.404516
534.000000	0.410266
535.000000	0.416454
536.000000	0.425202
537.000000	0.428830
538.000000	0.433570
539.000000	0.442176
540.000000	0.447879
541.000000	0.456381
542.000000	0.461571
543.000000	0.468181
544.000000	0.469836
545.000000	0.482787
546.000000	0.485050
547.000000	0.493869
548.000000	0.497413
549.000000	0.509295
550.000000	0.515781
551.000000	0.523027
552.000000	0.529416
553.000000	0.539513
554.000000	0.540751
555.000000	0.555790
556.000000	0.560950
557.000000	0.571772
558.000000	0.579217
559.000000	0.592655
560.000000	0.602476
561.000000	0.611368
562.000000	0.615777
563.000000	0.620167
564.000000	0.625775
565.000000	0.635697
566.000000	0.643833
567.000000	0.656387
568.000000	0.659469
569.000000	0.671660
570.000000	0.674564
571.000000	0.679636
572.000000	0.684843
573.000000	0.692440
574.000000	0.699826
575.000000	0.706431
576.000000	0.706691
577.000000	0.718833
578.000000	0.720957
579.000000	0.723526
580.000000	0.728706
581.000000	0.733420
582.000000	0.740326
583.000000	0.750303
584.000000	0.755058
585.000000	0.764866
586.000000	0.767235
587.000000	0.775976
588.000000	0.770991
589.000000	0.774076
590.000000	0.776487
591.000000	0.776792
592.000000	0.779243
593.000000	0.787292
594.000000	0.783865
595.000000	0.780114
596.000000	0.775368
597.000000	0.778222
598.000000	0.783087
599.000000	0.787591
600.000000	0.782103
601.000000	0.776010
602.000000	0.779762
603.000000	0.784579
604.000000	0.775826
605.000000	0.764421
606.000000	0.763732
607.000000	0.752630
608.000000	0.742528
609.000000	0.735166
610.000000	0.734012
611.000000	0.725908
612.000000	0.726333
613.000000	0.720669
614.000000	0.719672
615.000000	0.714625
616.000000	0.711529
617.000000	0.707225
618.000000	0.708467
619.000000	0.703803
620.000000	0.698394
621.000000	0.686653
622.000000	0.678326
623.000000	0.670211
624.000000	0.659895
625.000000	0.649459
626.000000	0.643185
627.000000	0.635069
628.000000	0.626948
629.000000	0.617618
630.000000	0.609707
631.000000	0.597206
632.000000	0.581954
633.000000	0.578580
634.000000	0.570977
635.000000	0.561200
636.000000	0.545937
637.000000	0.540177
638.000000	0.533518
639.000000	0.518627
640.000000	0.509568
641.000000	0.499988
642.000000	0.494004
643.000000	0.478143
644.000000	0.472466
645.000000	0.463406
646.000000	0.459850
647.000000	0.443427
648.000000	0.432537
649.000000	0.428443
650.000000	0.417042
651.000000	0.407027
652.000000	0.404514
653.000000	0.392122
654.000000	0.384962
655.000000	0.376847
656.000000	0.370401
657.000000	0.364321
658.000000	0.346796
659.000000	0.346927
660.000000	0.334119
661.000000	0.331337
662.000000	0.322333
663.000000	0.312731
664.000000	0.308723
665.000000	0.303289
666.000000	0.292985
667.000000	0.287139
668.000000	0.277741
669.000000	0.274905
670.000000	0.266878
671.000000	0.264096
672.000000	0.259211
673.000000	0.250783
674.000000	0.238486
675.000000	0.237683
676.000000	0.232191
677.000000	0.222603
678.000000	0.216651
679.000000	0.213105
680.000000	0.208760
681.000000	0.201505
682.000000	0.199911
683.000000	0.186217
684.000000	0.188838
685.000000	0.185417
686.000000	0.174682
687.000000	0.175915
688.000000	0.167452
689.000000	0.162600
690.000000	0.162238
691.000000	0.157321
692.000000	0.155434
693.000000	0.148281
694.000000	0.145604
695.000000	0.138298
696.000000	0.137192
697.000000	0.129314
698.000000	0.129587
699.000000	0.125445
700.000000	0.122629
701.000000	0.123265
702.000000	0.117183
703.000000	0.115441
704.000000	0.108119
705.000000	0.109467
706.000000	0.106129
707.000000	0.100664
708.000000	0.098637
709.000000	0.094105
710.000000	0.095076
711.000000	0.091737
712.000000	0.087911
713.000000	0.083649
714.000000	0.082595
715.000000	0.082865
716.000000	0.078539
717.000000	0.075212
718.000000	0.073121
719.000000	0.071480
720.000000	0.073488
721.000000	0.069820
722.000000	0.069652
723.000000	0.065926
724.000000	0.064236
725.000000	0.062215
