#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7866	0.7148	0.3125
#xyY coordinates: 0.4337	0.3941	0.7148
#sRGB: 255	116	45
#CCT Lindbloom (K):	3107
#CCT McCamy (K):	2977
#CCT Hernández-Andrés (K):	2932
#Melatonin: 0.341
#Chlorophyll a: 0.174
#Chlorophyll b: 0.617
#Beta Carotene: 0.175
#Manufacturer: Philips
#Luminance manufacturer: Unknown
#Other data: Madrid streetlamp tested in laboratory
#Begin Processed Spectral Data
W	S
475.000000	0.076643
476.000000	0.077635
477.000000	0.071566
478.000000	0.070019
479.000000	0.067228
480.000000	0.067312
481.000000	0.066100
482.000000	0.068839
483.000000	0.066719
484.000000	0.068912
485.000000	0.069474
486.000000	0.070818
487.000000	0.071721
488.000000	0.075686
489.000000	0.076132
490.000000	0.079907
491.000000	0.083800
492.000000	0.088889
493.000000	0.091837
494.000000	0.096439
495.000000	0.103876
496.000000	0.110303
497.000000	0.116772
498.000000	0.123968
499.000000	0.132756
500.000000	0.141260
501.000000	0.148013
502.000000	0.153980
503.000000	0.165150
504.000000	0.171211
505.000000	0.183698
506.000000	0.188445
507.000000	0.199329
508.000000	0.205414
509.000000	0.216950
510.000000	0.226401
511.000000	0.237321
512.000000	0.246048
513.000000	0.252258
514.000000	0.262435
515.000000	0.273961
516.000000	0.280618
517.000000	0.287486
518.000000	0.294169
519.000000	0.305358
520.000000	0.309805
521.000000	0.318618
522.000000	0.326648
523.000000	0.334897
524.000000	0.344990
525.000000	0.353198
526.000000	0.356397
527.000000	0.368813
528.000000	0.373143
529.000000	0.380546
530.000000	0.386219
531.000000	0.391153
532.000000	0.396833
533.000000	0.400452
534.000000	0.405580
535.000000	0.415644
536.000000	0.421162
537.000000	0.429406
538.000000	0.433590
539.000000	0.442566
540.000000	0.444712
541.000000	0.455937
542.000000	0.459629
543.000000	0.470681
544.000000	0.471507
545.000000	0.478758
546.000000	0.486983
547.000000	0.492743
548.000000	0.500208
549.000000	0.505910
550.000000	0.511527
551.000000	0.519166
552.000000	0.526843
553.000000	0.539596
554.000000	0.547994
555.000000	0.551643
556.000000	0.563246
557.000000	0.573386
558.000000	0.587164
559.000000	0.586087
560.000000	0.599876
561.000000	0.605720
562.000000	0.613709
563.000000	0.623524
564.000000	0.630355
