# LED streetlamp
# average spectrum 
# W	S
475.000000	0.085822
476.000000	0.083502
477.000000	0.080290
478.000000	0.076028
479.000000	0.074088
480.000000	0.073659
481.000000	0.073665
482.000000	0.073401
483.000000	0.073449
484.000000	0.073489
485.000000	0.074637
486.000000	0.075731
487.000000	0.075974
488.000000	0.079146
489.000000	0.080267
490.000000	0.082807
491.000000	0.086490
492.000000	0.092043
493.000000	0.094907
494.000000	0.101279
495.000000	0.104538
496.000000	0.111736
497.000000	0.120240
498.000000	0.125233
499.000000	0.134909
500.000000	0.143085
501.000000	0.150311
502.000000	0.158187
503.000000	0.167545
504.000000	0.174275
505.000000	0.186760
506.000000	0.190560
507.000000	0.201893
508.000000	0.209904
509.000000	0.219623
510.000000	0.228162
511.000000	0.238475
512.000000	0.248745
513.000000	0.253463
514.000000	0.265524
515.000000	0.276564
516.000000	0.283125
517.000000	0.289954
518.000000	0.295822
519.000000	0.306406
520.000000	0.311375
521.000000	0.320807
522.000000	0.329533
523.000000	0.337603
524.000000	0.345358
525.000000	0.354350
526.000000	0.360147
527.000000	0.368095
528.000000	0.373927
529.000000	0.382083
530.000000	0.387362
531.000000	0.392311
532.000000	0.399736
533.000000	0.402491
534.000000	0.407931
535.000000	0.416050
536.000000	0.423189
537.000000	0.429117
538.000000	0.433580
539.000000	0.442370
540.000000	0.446301
541.000000	0.456160
542.000000	0.460603
543.000000	0.469427
544.000000	0.470669
545.000000	0.480779
546.000000	0.486013
547.000000	0.493308
548.000000	0.498806
549.000000	0.507609
550.000000	0.513661
551.000000	0.521103
552.000000	0.528134
553.000000	0.539554
554.000000	0.544360
555.000000	0.553724
556.000000	0.562094
557.000000	0.572576
558.000000	0.583177
559.000000	0.589382
560.000000	0.601181
561.000000	0.608553
562.000000	0.614746
563.000000	0.621840
564.000000	0.628057
565.000000	0.637644
566.000000	0.646374
567.000000	0.657343
568.000000	0.662038
569.000000	0.670725
570.000000	0.673320
571.000000	0.680825
572.000000	0.688231
573.000000	0.695007
574.000000	0.700636
575.000000	0.706232
576.000000	0.709917
577.000000	0.720922
578.000000	0.722828
579.000000	0.726214
580.000000	0.732780
581.000000	0.734479
582.000000	0.743233
583.000000	0.750883
584.000000	0.757094
585.000000	0.765791
586.000000	0.770950
587.000000	0.774623
588.000000	0.774867
589.000000	0.774487
590.000000	0.779759
591.000000	0.779033
592.000000	0.779543
593.000000	0.787226
594.000000	0.786038
595.000000	0.782598
596.000000	0.781174
597.000000	0.780556
598.000000	0.786146
599.000000	0.788366
600.000000	0.787462
601.000000	0.784307
602.000000	0.782820
603.000000	0.785391
604.000000	0.780811
605.000000	0.765900
606.000000	0.762149
607.000000	0.753665
608.000000	0.747491
609.000000	0.741428
610.000000	0.737870
611.000000	0.732275
612.000000	0.726756
613.000000	0.724041
614.000000	0.720743
615.000000	0.721901
616.000000	0.715288
617.000000	0.710596
618.000000	0.710372
619.000000	0.706775
620.000000	0.701844
621.000000	0.689206
622.000000	0.677372
623.000000	0.673984
624.000000	0.661668
625.000000	0.653811
626.000000	0.644544
627.000000	0.637026
628.000000	0.630330
629.000000	0.616716
630.000000	0.612418
631.000000	0.599040
632.000000	0.583561
633.000000	0.582057
634.000000	0.571735
635.000000	0.561365
636.000000	0.549652
637.000000	0.536434
638.000000	0.532072
639.000000	0.517432
640.000000	0.513410
641.000000	0.497989
642.000000	0.492767
643.000000	0.483139
644.000000	0.474876
645.000000	0.463843
646.000000	0.457798
647.000000	0.446807
648.000000	0.435521
649.000000	0.431495
650.000000	0.418857
651.000000	0.409735
652.000000	0.403050
653.000000	0.392254
654.000000	0.386668
655.000000	0.377466
656.000000	0.368407
657.000000	0.364992
658.000000	0.349544
659.000000	0.347985
660.000000	0.336315
661.000000	0.330382
662.000000	0.322424
663.000000	0.311416
664.000000	0.308041
665.000000	0.303309
666.000000	0.292155
667.000000	0.287355
668.000000	0.277791
669.000000	0.274351
670.000000	0.266468
671.000000	0.262514
672.000000	0.257227
673.000000	0.251113
674.000000	0.240392
675.000000	0.237415
676.000000	0.230294
677.000000	0.225975
678.000000	0.220446
679.000000	0.213594
680.000000	0.209998
681.000000	0.200737
682.000000	0.199675
683.000000	0.190910
684.000000	0.188863
685.000000	0.183520
686.000000	0.176952
687.000000	0.175502
688.000000	0.167855
689.000000	0.162739
690.000000	0.158888
691.000000	0.155459
692.000000	0.154810
693.000000	0.148784
694.000000	0.145073
695.000000	0.139031
696.000000	0.137158
697.000000	0.130935
698.000000	0.129661
699.000000	0.125494
700.000000	0.122672
701.000000	0.123419
702.000000	0.118206
703.000000	0.115404
704.000000	0.109495
705.000000	0.108805
706.000000	0.104016
707.000000	0.099529
708.000000	0.098922
709.000000	0.095834
710.000000	0.094249
711.000000	0.091617
712.000000	0.089474
713.000000	0.084806
714.000000	0.082390
715.000000	0.080479
716.000000	0.077924
717.000000	0.077145
718.000000	0.074845
719.000000	0.074253
720.000000	0.071664
721.000000	0.066926
722.000000	0.068071
723.000000	0.068017
724.000000	0.063684
725.000000	0.060611
