#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1460	0.1398	0.0717
#xyY coordinates: 0.4085	0.3911	0.1398
#sRGB: 57	32	14
#CCT Lindbloom (K):	3436
#CCT McCamy (K):	3445
#CCT Hernández-Andrés (K):	3426
#Melatonin: 0.452
#Chlorophyll a: 0.151
#Chlorophyll b: 0.685
#Beta Carotene: 0.153
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.000000	0.119569
476.000000	0.113465
477.000000	0.097647
478.000000	0.093203
479.000000	0.101291
480.000000	0.091305
481.000000	0.082799
482.000000	0.096780
483.000000	0.101488
484.000000	0.100179
485.000000	0.095628
486.000000	0.102150
487.000000	0.099568
488.000000	0.098046
489.000000	0.089365
490.000000	0.106057
491.000000	0.105214
492.000000	0.116351
493.000000	0.105910
494.000000	0.101719
495.000000	0.098839
496.000000	0.125716
497.000000	0.188692
498.000000	0.405973
499.000000	0.353426
500.000000	0.247823
501.000000	0.184557
502.000000	0.126594
503.000000	0.113194
504.000000	0.114685
505.000000	0.091774
506.000000	0.098374
507.000000	0.097290
508.000000	0.108812
509.000000	0.106149
510.000000	0.110435
511.000000	0.115240
512.000000	0.117880
513.000000	0.111837
514.000000	0.109467
515.000000	0.179818
516.000000	0.159323
517.000000	0.132685
518.000000	0.130171
519.000000	0.130267
520.000000	0.134691
521.000000	0.138585
522.000000	0.142502
523.000000	0.143186
524.000000	0.137107
525.000000	0.131313
526.000000	0.124634
527.000000	0.126451
528.000000	0.140598
529.000000	0.137849
530.000000	0.143842
531.000000	0.172085
532.000000	0.208152
533.000000	0.310048
534.000000	1.032043
535.000000	4.157961
536.000000	4.240341
537.000000	3.159233
538.000000	2.584521
539.000000	1.692236
540.000000	1.038180
541.000000	0.654761
542.000000	0.381816
543.000000	0.241115
544.000000	0.171399
545.000000	0.205725
