#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1358	0.1320	0.0782
#xyY coordinates: 0.3924	0.3815	0.1320
#sRGB: 50	30	16
#CCT Lindbloom (K):	3723
#CCT McCamy (K):	3738
#CCT Hernández-Andrés (K):	3733
#Melatonin: 0.512
#Chlorophyll a: 0.132
#Chlorophyll b: 0.782
#Beta Carotene: 0.134
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.000000	0.119309
476.000000	0.120912
477.000000	0.104399
478.000000	0.090099
479.000000	0.093347
480.000000	0.079443
481.000000	0.092499
482.000000	0.091608
483.000000	0.088645
484.000000	0.082319
485.000000	0.085058
486.000000	0.090602
487.000000	0.080822
488.000000	0.106762
489.000000	0.097505
490.000000	0.104868
491.000000	0.098019
492.000000	0.108061
493.000000	0.099795
494.000000	0.095079
495.000000	0.102148
496.000000	0.109685
497.000000	0.178807
498.000000	0.373059
499.000000	0.401732
500.000000	0.266180
501.000000	0.179703
502.000000	0.117344
503.000000	0.108753
504.000000	0.104628
505.000000	0.102899
506.000000	0.103485
507.000000	0.098919
508.000000	0.106002
509.000000	0.100265
510.000000	0.105076
511.000000	0.100977
512.000000	0.105768
513.000000	0.107818
514.000000	0.126083
515.000000	0.164595
516.000000	0.177655
517.000000	0.144172
518.000000	0.130116
519.000000	0.133834
520.000000	0.145835
521.000000	0.152042
522.000000	0.159315
523.000000	0.143170
524.000000	0.147115
525.000000	0.130290
526.000000	0.121067
527.000000	0.118657
528.000000	0.124607
529.000000	0.125080
530.000000	0.142360
531.000000	0.167919
532.000000	0.203722
533.000000	0.294679
534.000000	0.940033
535.000000	3.855288
536.000000	5.117145
537.000000	3.894693
538.000000	3.194850
539.000000	2.240062
540.000000	1.437854
541.000000	0.878050
542.000000	0.484461
543.000000	0.281902
544.000000	0.185352
545.000000	0.205557
546.000000	0.768999
547.000000	0.633577
548.000000	0.362730
549.000000	0.265419
550.000000	0.153658
551.000000	0.112048
552.000000	0.113813
553.000000	0.149303
554.000000	0.142000
555.000000	0.121580
556.000000	0.125792
557.000000	0.106425
558.000000	0.105202
559.000000	0.109954
560.000000	0.111569
561.000000	0.108669
562.000000	0.105959
563.000000	0.115295
564.000000	0.111163
565.000000	0.117450
566.000000	0.134557
567.000000	0.224457
568.000000	0.769657
569.000000	1.676263
570.000000	1.052914
571.000000	0.688547
572.000000	0.431873
573.000000	0.221085
574.000000	0.155764
575.000000	0.140345
576.000000	0.169024
577.000000	0.278235
578.000000	0.225918
579.000000	0.338388
580.000000	0.279778
581.000000	0.239365
582.000000	0.196718
583.000000	0.201531
584.000000	0.209892
585.000000	0.262786
586.000000	0.364062
587.000000	0.653467
588.000000	1.953402
589.000000	2.711209
590.000000	3.609881
591.000000	4.628688
592.000000	4.107503
593.000000	3.499412
594.000000	2.838059
595.000000	2.213840
596.000000	1.726726
597.000000	1.428664
598.000000	1.246887
599.000000	1.089628
600.000000	0.968801
601.000000	0.846786
602.000000	0.789237
603.000000	0.705117
604.000000	0.630597
605.000000	0.595301
606.000000	0.512313
607.000000	0.489763
608.000000	0.439906
609.000000	0.401081
610.000000	0.438164
611.000000	0.427907
612.000000	0.364473
613.000000	0.347895
614.000000	0.312005
615.000000	0.390604
616.000000	0.586339
617.000000	0.481079
618.000000	0.369286
619.000000	0.344409
620.000000	0.274621
621.000000	0.257212
622.000000	0.258018
623.000000	0.221386
624.000000	0.219096
625.000000	0.228989
626.000000	0.210870
627.000000	0.214710
628.000000	0.210895
629.000000	0.188985
630.000000	0.167566
631.000000	0.189207
632.000000	0.172507
633.000000	0.187940
634.000000	0.175940
635.000000	0.149358
636.000000	0.165749
637.000000	0.172966
638.000000	0.178834
639.000000	0.156842
640.000000	0.154483
641.000000	0.152153
642.000000	0.151821
643.000000	0.153486
644.000000	0.150327
645.000000	0.139206
646.000000	0.144668
647.000000	0.141427
648.000000	0.133426
649.000000	0.157734
650.000000	0.129705
651.000000	0.122577
652.000000	0.114220
653.000000	0.138002
654.000000	0.161116
655.000000	0.335212
656.000000	0.328319
657.000000	0.244194
658.000000	0.214767
659.000000	0.166272
660.000000	0.143440
661.000000	0.128279
662.000000	0.128096
663.000000	0.106723
664.000000	0.103179
665.000000	0.116006
666.000000	0.099271
667.000000	0.112955
668.000000	0.132149
669.000000	0.120055
670.000000	0.301381
671.000000	0.830512
672.000000	0.485312
673.000000	0.355425
674.000000	0.297113
675.000000	0.193296
676.000000	0.118527
677.000000	0.151021
678.000000	0.098157
679.000000	0.123203
680.000000	0.098178
681.000000	0.093792
682.000000	0.116060
683.000000	0.086942
684.000000	0.102659
685.000000	0.162193
686.000000	0.146306
687.000000	0.109562
688.000000	0.112383
689.000000	0.073411
690.000000	0.113361
691.000000	0.099729
692.000000	0.109491
693.000000	0.100394
694.000000	0.078325
695.000000	0.062524
696.000000	0.081854
697.000000	0.067028
698.000000	0.069507
699.000000	0.061104
700.000000	0.086549
701.000000	0.078176
702.000000	0.075111
703.000000	0.071990
