#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.2287	0.2375	0.1281
#xyY coordinates: 0.3848	0.3997	0.2375
#sRGB: 80	58	25
#CCT Lindbloom (K):	4044
#CCT McCamy (K):	4045
#CCT Hernández-Andrés (K):	4024
#Melatonin: 0.527
#Chlorophyll a: 0.288
#Chlorophyll b: 0.578
#Beta Carotene: 0.290
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.000000	0.230363
476.000000	0.204739
477.000000	0.238933
478.000000	0.260852
479.000000	0.281316
480.000000	0.275484
481.000000	0.279554
482.000000	0.285288
483.000000	0.279215
484.000000	0.261523
485.000000	0.231839
486.000000	0.216303
487.000000	0.205711
488.000000	0.259088
489.000000	0.292647
490.000000	0.278329
491.000000	0.272483
492.000000	0.283642
493.000000	0.237803
494.000000	0.235343
495.000000	0.218279
496.000000	0.244998
497.000000	0.238659
498.000000	0.261121
499.000000	0.286446
500.000000	0.274951
501.000000	0.275499
502.000000	0.276605
503.000000	0.291154
504.000000	0.328101
505.000000	0.333751
506.000000	0.303329
507.000000	0.296279
508.000000	0.281412
509.000000	0.241830
510.000000	0.230766
511.000000	0.272670
512.000000	0.332172
513.000000	0.314319
514.000000	0.287929
515.000000	0.284537
516.000000	0.300182
517.000000	0.298215
518.000000	0.297246
519.000000	0.303921
520.000000	0.282003
521.000000	0.269332
522.000000	0.278142
523.000000	0.295186
524.000000	0.278476
525.000000	0.257019
526.000000	0.288239
527.000000	0.292829
528.000000	0.301875
