#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1768	0.1751	0.1288
#xyY coordinates: 0.3678	0.3642	0.1751
#sRGB: 61	41	28
#CCT Lindbloom (K):	4280
#CCT McCamy (K):	4291
#CCT Hernández-Andrés (K):	4301
#Melatonin: 0.791
#Chlorophyll a: 0.183
#Chlorophyll b: 0.680
#Beta Carotene: 0.188
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.000000	1.247451
476.000000	0.792790
477.000000	0.407274
478.000000	0.363643
479.000000	0.332672
480.000000	0.264211
481.000000	0.230951
482.000000	0.265309
483.000000	0.386071
484.000000	0.472213
485.000000	0.443486
486.000000	0.352581
487.000000	0.303892
488.000000	0.294479
489.000000	0.256972
490.000000	0.235570
491.000000	0.248451
492.000000	0.261443
493.000000	0.269698
494.000000	0.293267
495.000000	0.298185
496.000000	0.276371
497.000000	0.267764
498.000000	0.393155
499.000000	0.458104
500.000000	0.395285
501.000000	0.288944
502.000000	0.328374
503.000000	0.360834
504.000000	0.364144
505.000000	0.318789
506.000000	0.415271
507.000000	0.756333
508.000000	1.486855
509.000000	1.941348
510.000000	1.643942
511.000000	1.041530
512.000000	0.624640
513.000000	0.328813
514.000000	0.215684
515.000000	0.221682
516.000000	0.254328
517.000000	0.224110
518.000000	0.192432
519.000000	0.159855
520.000000	0.200483
521.000000	0.313543
522.000000	0.369062
523.000000	0.327126
524.000000	0.259518
525.000000	0.194163
526.000000	0.242587
527.000000	0.201772
528.000000	0.211918
529.000000	0.213141
530.000000	0.222238
531.000000	0.227173
532.000000	0.218745
533.000000	0.243882
534.000000	0.382851
535.000000	0.718429
536.000000	0.765048
537.000000	0.593885
538.000000	0.444407
539.000000	0.425925
540.000000	0.425959
541.000000	0.338380
542.000000	0.270912
543.000000	0.276200
544.000000	0.373611
545.000000	0.556103
546.000000	1.147192
547.000000	1.137327
548.000000	1.154502
549.000000	0.846936
550.000000	0.566509
551.000000	0.500639
552.000000	0.716553
553.000000	0.663302
554.000000	0.550933
555.000000	0.369433
556.000000	0.316557
557.000000	0.310665
558.000000	0.309234
559.000000	0.326822
560.000000	0.289856
561.000000	0.265260
562.000000	0.221057
563.000000	0.186328
564.000000	0.193208
565.000000	0.229947
566.000000	0.280337
567.000000	0.650659
568.000000	0.996599
569.000000	1.461597
570.000000	1.343633
571.000000	1.408019
572.000000	1.225508
573.000000	0.851694
574.000000	0.490046
575.000000	0.265264
576.000000	0.304708
577.000000	0.504476
578.000000	0.476643
579.000000	0.575500
580.000000	0.481296
581.000000	0.381110
582.000000	0.240676
583.000000	0.168756
584.000000	0.143047
585.000000	0.157067
586.000000	0.194557
587.000000	0.295906
588.000000	0.901261
589.000000	1.958627
590.000000	2.947390
591.000000	3.441103
592.000000	2.916406
593.000000	2.268412
594.000000	1.634249
595.000000	1.268127
596.000000	1.033368
597.000000	0.914019
598.000000	0.841704
599.000000	0.764553
600.000000	0.685281
601.000000	0.589437
602.000000	0.515883
603.000000	0.474721
604.000000	0.438274
605.000000	0.387789
606.000000	0.338538
607.000000	0.302209
608.000000	0.283272
609.000000	0.271275
610.000000	0.264786
611.000000	0.271473
612.000000	0.250819
613.000000	0.228538
614.000000	0.212750
615.000000	0.272838
616.000000	0.342701
617.000000	0.354226
618.000000	0.359502
