#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.2100	0.2073	0.1841
#xyY coordinates: 0.3492	0.3447	0.2073
#sRGB: 69	49	42
#CCT Lindbloom (K):	4813
#CCT McCamy (K):	4821
#CCT Hernández-Andrés (K):	4842
#Melatonin: 0.843
#Chlorophyll a: 0.212
#Chlorophyll b: 0.766
#Beta Carotene: 0.217
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.000000	1.268859
476.000000	0.792179
477.000000	0.447378
478.000000	0.377092
479.000000	0.303647
480.000000	0.261250
481.000000	0.246578
482.000000	0.239895
483.000000	0.303480
484.000000	0.374105
485.000000	0.343039
486.000000	0.274894
487.000000	0.219293
488.000000	0.211473
489.000000	0.187363
490.000000	0.178672
491.000000	0.211866
492.000000	0.221678
493.000000	0.216897
494.000000	0.229863
495.000000	0.238545
496.000000	0.229554
497.000000	0.231321
498.000000	0.343883
499.000000	0.359097
500.000000	0.293474
501.000000	0.230062
502.000000	0.286284
503.000000	0.316277
504.000000	0.276645
505.000000	0.231163
506.000000	0.315302
507.000000	0.676869
508.000000	1.511467
509.000000	2.012553
510.000000	1.418543
511.000000	1.001650
512.000000	0.578991
513.000000	0.295280
514.000000	0.198222
515.000000	0.163729
516.000000	0.164447
517.000000	0.134683
518.000000	0.127001
519.000000	0.116547
520.000000	0.140494
521.000000	0.242088
522.000000	0.290257
523.000000	0.223645
524.000000	0.203692
525.000000	0.164177
526.000000	0.216818
527.000000	0.155235
528.000000	0.169332
529.000000	0.200299
530.000000	0.161181
531.000000	0.158922
532.000000	0.152873
533.000000	0.172109
534.000000	0.321030
535.000000	0.639282
536.000000	0.648625
537.000000	0.439281
538.000000	0.411297
539.000000	0.370659
540.000000	0.337877
541.000000	0.225470
542.000000	0.221351
543.000000	0.232797
544.000000	0.316942
545.000000	0.555629
546.000000	1.980787
547.000000	1.785942
548.000000	1.429174
549.000000	1.219187
550.000000	0.531263
551.000000	0.520400
552.000000	0.773032
553.000000	0.592730
554.000000	0.423605
555.000000	0.334917
556.000000	0.243409
557.000000	0.214116
558.000000	0.187176
559.000000	0.228604
560.000000	0.199191
561.000000	0.173846
562.000000	0.157771
563.000000	0.148080
564.000000	0.158803
565.000000	0.206986
566.000000	0.257279
567.000000	0.714619
568.000000	0.890710
569.000000	1.166573
570.000000	1.136193
571.000000	1.231425
572.000000	1.062471
573.000000	0.677918
574.000000	0.424952
575.000000	0.283907
576.000000	0.389150
577.000000	0.889675
578.000000	0.711568
579.000000	1.038193
580.000000	0.824477
581.000000	0.500033
582.000000	0.356899
583.000000	0.210551
584.000000	0.148825
585.000000	0.143566
586.000000	0.158751
587.000000	0.220906
588.000000	0.702203
589.000000	1.750703
590.000000	2.458345
591.000000	2.432764
592.000000	1.945282
593.000000	1.490401
594.000000	1.081615
595.000000	0.798983
596.000000	0.662867
597.000000	0.589869
598.000000	0.502240
599.000000	0.472319
600.000000	0.404031
601.000000	0.345235
602.000000	0.328320
603.000000	0.311648
604.000000	0.276368
605.000000	0.246250
606.000000	0.223479
607.000000	0.202618
608.000000	0.195962
609.000000	0.216735
610.000000	0.862791
611.000000	1.184455
612.000000	0.595411
613.000000	0.517863
614.000000	0.325369
615.000000	0.240073
616.000000	0.215260
617.000000	0.197816
618.000000	0.192010
619.000000	0.215168
620.000000	0.251396
621.000000	0.463711
622.000000	0.369990
623.000000	0.314552
624.000000	0.551002
625.000000	0.452852
626.000000	0.543280
627.000000	0.426319
628.000000	0.376497
629.000000	0.299759
630.000000	0.400786
631.000000	0.618072
632.000000	0.347407
633.000000	0.303702
634.000000	0.239238
635.000000	0.175927
636.000000	0.138665
637.000000	0.148549
638.000000	0.213943
639.000000	0.160685
640.000000	0.143792
641.000000	0.201244
642.000000	0.202390
643.000000	0.155191
644.000000	0.169814
645.000000	0.170155
646.000000	0.173956
647.000000	0.151508
648.000000	0.137992
649.000000	0.134525
650.000000	0.121969
651.000000	0.109931
652.000000	0.109386
653.000000	0.124438
654.000000	0.115073
655.000000	0.108313
656.000000	0.113119
657.000000	0.101703
658.000000	0.113594
659.000000	0.143639
660.000000	0.136862
661.000000	0.124717
662.000000	0.114025
663.000000	0.100935
664.000000	0.098645
665.000000	0.102331
666.000000	0.116584
667.000000	0.124876
668.000000	0.153411
669.000000	0.278788
670.000000	1.137257
671.000000	2.655866
672.000000	2.235357
673.000000	1.622299
674.000000	1.259245
675.000000	0.746049
676.000000	0.449497
677.000000	0.325211
678.000000	0.259989
679.000000	0.223084
680.000000	0.207568
681.000000	0.190848
682.000000	0.210331
683.000000	0.223536
684.000000	0.209181
685.000000	0.172860
686.000000	0.159427
687.000000	0.141197
688.000000	0.149150
689.000000	0.146819
690.000000	0.130429
691.000000	0.151696
692.000000	0.139339
693.000000	0.123968
694.000000	0.133670
695.000000	0.132102
696.000000	0.125798
697.000000	0.124091
698.000000	0.125109
699.000000	0.145162
700.000000	0.149119
701.000000	0.154595
702.000000	0.142246
703.000000	0.125715
704.000000	0.104340
705.000000	0.096799
706.000000	0.089454
707.000000	0.095877
708.000000	0.093196
709.000000	0.099875
710.000000	0.089567
711.000000	0.088101
712.000000	0.085275
713.000000	0.092229
714.000000	0.086037
715.000000	0.082222
716.000000	0.088903
717.000000	0.104522
718.000000	0.081307
719.000000	0.082104
720.000000	0.084686
721.000000	0.077861
722.000000	0.084520
723.000000	0.069549
724.000000	0.078926
725.000000	0.074940
