#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1255	0.1640	0.0579
#xyY coordinates: 0.3612	0.4721	0.1640
#sRGB: 32	48	9
#CCT Lindbloom (K):	4884
#CCT McCamy (K):	4860
#CCT Hernández-Andrés (K):	4787
#Melatonin: 0.398
#Chlorophyll a: 0.352
#Chlorophyll b: 0.377
#Beta Carotene: 0.353
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.000000	0.050948
476.000000	0.050874
477.000000	0.050505
478.000000	0.048896
479.000000	0.051102
480.000000	0.048173
481.000000	0.040425
482.000000	0.034983
483.000000	0.041507
484.000000	0.060457
485.000000	0.050438
486.000000	0.062192
487.000000	0.055046
488.000000	0.057522
489.000000	0.056528
490.000000	0.052601
491.000000	0.071615
492.000000	0.086204
493.000000	0.088724
494.000000	0.067109
495.000000	0.073408
496.000000	0.059069
497.000000	0.056180
498.000000	0.071641
499.000000	0.071993
500.000000	0.069983
501.000000	0.054761
502.000000	0.051285
503.000000	0.043346
504.000000	0.052823
505.000000	0.057451
506.000000	0.056992
507.000000	0.052726
508.000000	0.053487
509.000000	0.070906
510.000000	0.058359
511.000000	0.069934
512.000000	0.064432
513.000000	0.066678
514.000000	0.072528
515.000000	0.075055
516.000000	0.097646
517.000000	0.232923
518.000000	0.448215
519.000000	0.482523
520.000000	0.455316
521.000000	0.360707
522.000000	0.209628
523.000000	0.133127
524.000000	0.113564
525.000000	0.104837
526.000000	0.091017
527.000000	0.087172
528.000000	0.087272
529.000000	0.090072
530.000000	0.092236
531.000000	0.105076
532.000000	0.128739
533.000000	0.167752
534.000000	0.401504
535.000000	2.653145
536.000000	3.917656
537.000000	4.309527
538.000000	4.530385
539.000000	3.164412
540.000000	2.000004
541.000000	1.388894
542.000000	0.899549
543.000000	0.531880
544.000000	0.348090
545.000000	0.487197
546.000000	2.977021
547.000000	3.541633
548.000000	3.720761
549.000000	3.648077
550.000000	1.952392
551.000000	0.868438
552.000000	0.457005
553.000000	0.313305
554.000000	0.231594
555.000000	0.188895
556.000000	0.152820
557.000000	0.148646
558.000000	0.121836
559.000000	0.115116
560.000000	0.114938
561.000000	0.113768
562.000000	0.113404
563.000000	0.104453
564.000000	0.102657
565.000000	0.094000
566.000000	0.094641
567.000000	0.092761
568.000000	0.124670
569.000000	0.163002
570.000000	0.157206
571.000000	0.144348
572.000000	0.168999
573.000000	0.164940
574.000000	0.191285
575.000000	0.295469
576.000000	0.736752
577.000000	1.529448
578.000000	1.945640
579.000000	2.782275
580.000000	2.813219
581.000000	2.179362
582.000000	1.718408
583.000000	0.960647
584.000000	0.482802
585.000000	0.326418
586.000000	0.226802
587.000000	0.210255
588.000000	0.433688
589.000000	1.168917
590.000000	1.837668
591.000000	2.147919
592.000000	2.251640
593.000000	1.883525
594.000000	1.262269
595.000000	0.803283
596.000000	0.620724
597.000000	0.499644
598.000000	0.436623
599.000000	0.362989
600.000000	0.323123
601.000000	0.309666
602.000000	0.278442
603.000000	0.258812
604.000000	0.229953
605.000000	0.221059
606.000000	0.191802
607.000000	0.192479
608.000000	0.175307
609.000000	0.191585
610.000000	0.166938
611.000000	0.178604
612.000000	0.164244
613.000000	0.158384
614.000000	0.157890
615.000000	0.156935
616.000000	0.161148
617.000000	0.158846
618.000000	0.162077
619.000000	0.160084
620.000000	0.150694
621.000000	0.148698
622.000000	0.148099
623.000000	0.134815
624.000000	0.138014
625.000000	0.152487
626.000000	0.158776
627.000000	0.150497
628.000000	0.137778
629.000000	0.111816
630.000000	0.156399
631.000000	0.135365
632.000000	0.120328
633.000000	0.123465
634.000000	0.123798
635.000000	0.131717
636.000000	0.115838
637.000000	0.116845
638.000000	0.142603
639.000000	0.116044
640.000000	0.113562
641.000000	0.130731
642.000000	0.140700
643.000000	0.126479
644.000000	0.127221
645.000000	0.127306
646.000000	0.116837
647.000000	0.131878
648.000000	0.104299
649.000000	0.116847
650.000000	0.126940
651.000000	0.142978
652.000000	0.140881
653.000000	0.130788
654.000000	0.139477
655.000000	0.160536
656.000000	0.165356
657.000000	0.169866
658.000000	0.190074
659.000000	0.175264
660.000000	0.172230
661.000000	0.151150
662.000000	0.152250
663.000000	0.135538
664.000000	0.140264
665.000000	0.112690
666.000000	0.119165
667.000000	0.128463
668.000000	0.122684
669.000000	0.138281
670.000000	0.160586
671.000000	0.174706
672.000000	0.180678
673.000000	0.152221
674.000000	0.169128
675.000000	0.158867
676.000000	0.132916
677.000000	0.128614
678.000000	0.162591
679.000000	0.159274
680.000000	0.112351
681.000000	0.125676
682.000000	0.137241
683.000000	0.159579
684.000000	0.109863
685.000000	0.116828
686.000000	0.145878
687.000000	0.146023
688.000000	0.126391
689.000000	0.101499
690.000000	0.139478
691.000000	0.154938
692.000000	0.165442
693.000000	0.158932
694.000000	0.158262
695.000000	0.139030
696.000000	0.144960
697.000000	0.125635
698.000000	0.118264
699.000000	0.158086
700.000000	0.112982
701.000000	0.138489
702.000000	0.137650
703.000000	0.208597
704.000000	0.133490
705.000000	0.150688
706.000000	0.167018
707.000000	0.136901
708.000000	0.136242
709.000000	0.171609
710.000000	0.184001
711.000000	0.160433
712.000000	0.163802
713.000000	0.160487
714.000000	0.177981
715.000000	0.152672
716.000000	0.178558
717.000000	0.165664
718.000000	0.168321
719.000000	0.146745
720.000000	0.137592
721.000000	0.167883
722.000000	0.139585
723.000000	0.153462
724.000000	0.157750
725.000000	0.165596
