#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1504	0.1489	0.1391
#xyY coordinates: 0.3431	0.3396	0.1489
#sRGB: 48	36	32
#CCT Lindbloom (K):	5040
#CCT McCamy (K):	5046
#CCT Hernández-Andrés (K):	5067
#Melatonin: 0.963
#Chlorophyll a: 0.077
#Chlorophyll b: 0.771
#Beta Carotene: 0.085
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.000000	1.461168
476.000000	0.914841
477.000000	0.458993
478.000000	0.316354
479.000000	0.267392
480.000000	0.205763
481.000000	0.157741
482.000000	0.163723
483.000000	0.225015
484.000000	0.293750
485.000000	0.296507
486.000000	0.248923
487.000000	0.199493
488.000000	0.178728
489.000000	0.167094
490.000000	0.163616
491.000000	0.186600
492.000000	0.231897
493.000000	0.213926
494.000000	0.215062
495.000000	0.209848
496.000000	0.205741
497.000000	0.187197
498.000000	0.266895
499.000000	0.302842
500.000000	0.257941
501.000000	0.199649
502.000000	0.232391
503.000000	0.274576
504.000000	0.260498
505.000000	0.234013
506.000000	0.275807
507.000000	0.557939
508.000000	1.434118
509.000000	2.120494
510.000000	1.636274
511.000000	1.111663
512.000000	0.589067
513.000000	0.282642
514.000000	0.163842
515.000000	0.131051
516.000000	0.131107
517.000000	0.130169
518.000000	0.116960
519.000000	0.088960
520.000000	0.113011
521.000000	0.169182
522.000000	0.232309
523.000000	0.206313
524.000000	0.176603
525.000000	0.148735
526.000000	0.163317
527.000000	0.130054
528.000000	0.137019
529.000000	0.140283
530.000000	0.138902
531.000000	0.134314
532.000000	0.124267
533.000000	0.140420
534.000000	0.255961
535.000000	0.520386
536.000000	0.597923
537.000000	0.437607
538.000000	0.353493
539.000000	0.322930
540.000000	0.292800
541.000000	0.228687
542.000000	0.196350
543.000000	0.194796
544.000000	0.277131
545.000000	0.618863
546.000000	3.372081
547.000000	3.867128
548.000000	2.790371
549.000000	1.958270
550.000000	0.872362
551.000000	0.578238
552.000000	0.687622
553.000000	0.603759
554.000000	0.451044
555.000000	0.333988
556.000000	0.226541
557.000000	0.199698
558.000000	0.172217
559.000000	0.190343
560.000000	0.174428
561.000000	0.156317
562.000000	0.128412
563.000000	0.105104
564.000000	0.124887
565.000000	0.166280
566.000000	0.220908
567.000000	0.635591
568.000000	0.994752
569.000000	1.301564
570.000000	1.248177
571.000000	1.305938
572.000000	1.118382
573.000000	0.759682
574.000000	0.475605
575.000000	0.297371
576.000000	0.623857
577.000000	1.995132
578.000000	2.008539
579.000000	2.791688
580.000000	2.404872
581.000000	1.470349
582.000000	0.901756
583.000000	0.407992
584.000000	0.176522
585.000000	0.146387
586.000000	0.127455
587.000000	0.175982
588.000000	0.714739
589.000000	3.024031
590.000000	4.662027
591.000000	3.970921
592.000000	3.058800
593.000000	1.964275
594.000000	1.195749
595.000000	0.777368
596.000000	0.603611
597.000000	0.519223
598.000000	0.442029
599.000000	0.427930
600.000000	0.370466
601.000000	0.308695
602.000000	0.280527
603.000000	0.262527
604.000000	0.239395
605.000000	0.207864
606.000000	0.176196
607.000000	0.168550
608.000000	0.167752
609.000000	0.143029
610.000000	0.138861
611.000000	0.138863
612.000000	0.131406
613.000000	0.129567
614.000000	0.115227
615.000000	0.148349
616.000000	0.161757
617.000000	0.163403
618.000000	0.176847
619.000000	0.198730
620.000000	0.203481
621.000000	0.408952
622.000000	0.406496
623.000000	0.331662
624.000000	0.477434
625.000000	0.450053
626.000000	0.484635
627.000000	0.434220
628.000000	0.334300
629.000000	0.259194
630.000000	0.353161
631.000000	0.574285
632.000000	0.380265
633.000000	0.329117
634.000000	0.232332
635.000000	0.145522
636.000000	0.112160
637.000000	0.102201
638.000000	0.144179
639.000000	0.131429
640.000000	0.117281
641.000000	0.142946
642.000000	0.152164
643.000000	0.119785
644.000000	0.106300
645.000000	0.082141
646.000000	0.105405
647.000000	0.089174
648.000000	0.082793
649.000000	0.087689
650.000000	0.079374
651.000000	0.075793
652.000000	0.073305
653.000000	0.078283
654.000000	0.071293
655.000000	0.076545
656.000000	0.062209
657.000000	0.076134
658.000000	0.062655
659.000000	0.109082
660.000000	0.148581
661.000000	0.111655
662.000000	0.105284
663.000000	0.066909
664.000000	0.052456
665.000000	0.051960
666.000000	0.050691
667.000000	0.058884
668.000000	0.046705
669.000000	0.040218
670.000000	0.064789
671.000000	0.094337
672.000000	0.075712
673.000000	0.075188
674.000000	0.095505
675.000000	0.075505
676.000000	0.064227
677.000000	0.069923
678.000000	0.089935
679.000000	0.092862
680.000000	0.053687
681.000000	0.060421
682.000000	0.107650
683.000000	0.094967
684.000000	0.111313
685.000000	0.088928
686.000000	0.064956
687.000000	0.067941
688.000000	0.052940
689.000000	0.053493
690.000000	0.061353
691.000000	0.085906
692.000000	0.120439
693.000000	0.077154
694.000000	0.058776
695.000000	0.055341
696.000000	0.064595
697.000000	0.045006
698.000000	0.042791
699.000000	0.066654
700.000000	0.063615
701.000000	0.067791
702.000000	0.075964
703.000000	0.068444
704.000000	0.023717
705.000000	0.051016
706.000000	0.048414
707.000000	0.036938
708.000000	0.042841
709.000000	0.090075
710.000000	0.051046
711.000000	0.050863
712.000000	0.004012
713.000000	0.051003
714.000000	0.005739
715.000000	0.025368
716.000000	0.026267
717.000000	0.082249
718.000000	0.061185
719.000000	0.059014
720.000000	0.086139
721.000000	0.075316
722.000000	0.055823
723.000000	0.022404
724.000000	0.031063
725.000000	0.013964
