#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1040	0.1169	0.0806
#xyY coordinates: 0.3451	0.3877	0.1169
#sRGB: 30	31	17
#CCT Lindbloom (K):	5106
#CCT McCamy (K):	5094
#CCT Hernández-Andrés (K):	5065
#Melatonin: 0.846
#Chlorophyll a: 0.194
#Chlorophyll b: 0.707
#Beta Carotene: 0.202
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Madrid streetlamp at Paraninfo Universidad Complutense
#Begin Processed Spectral Data
W	S
475.000000	0.279137
476.000000	0.275183
477.000000	0.248212
478.000000	0.266728
479.000000	0.258197
480.000000	0.237487
481.000000	0.228716
482.000000	0.230459
483.000000	0.256259
484.000000	0.232610
485.000000	0.217913
486.000000	0.227046
487.000000	0.215584
488.000000	0.247630
489.000000	0.275720
490.000000	0.240027
491.000000	0.233792
492.000000	0.244838
493.000000	0.259716
494.000000	0.293186
495.000000	0.269897
496.000000	0.285601
497.000000	0.281507
498.000000	0.375600
499.000000	0.355553
500.000000	0.313659
501.000000	0.255472
502.000000	0.246890
503.000000	0.260425
504.000000	0.314752
505.000000	0.315359
506.000000	0.328723
507.000000	0.352954
508.000000	0.320583
509.000000	0.255863
510.000000	0.218131
511.000000	0.233791
512.000000	0.270913
513.000000	0.295232
514.000000	0.261062
515.000000	0.240772
516.000000	0.239004
517.000000	0.240546
518.000000	0.279250
519.000000	0.272651
520.000000	0.244386
521.000000	0.242341
522.000000	0.265231
523.000000	0.261610
524.000000	0.234797
525.000000	0.195739
526.000000	0.195121
527.000000	0.194823
528.000000	0.200034
529.000000	0.204248
530.000000	0.313846
531.000000	0.427292
532.000000	0.365130
533.000000	0.415096
534.000000	0.833723
535.000000	4.016206
536.000000	5.495900
537.000000	3.964218
538.000000	2.928967
539.000000	2.087180
540.000000	1.373273
541.000000	0.884060
542.000000	0.526404
543.000000	0.356676
544.000000	0.256522
545.000000	0.334841
546.000000	1.234439
547.000000	1.134091
548.000000	0.638243
549.000000	0.404348
550.000000	0.252632
551.000000	0.199606
552.000000	0.170038
553.000000	0.197840
554.000000	0.203715
555.000000	0.206935
556.000000	0.204616
557.000000	0.204903
558.000000	0.184240
559.000000	0.161198
560.000000	0.148732
561.000000	0.152936
562.000000	0.172178
563.000000	0.290723
564.000000	0.366222
565.000000	0.315044
566.000000	0.287803
567.000000	0.315633
568.000000	0.593124
569.000000	0.774602
570.000000	0.554207
571.000000	0.370574
572.000000	0.261660
573.000000	0.188759
574.000000	0.181405
575.000000	0.182177
576.000000	0.321489
577.000000	0.639699
578.000000	0.504831
579.000000	0.641195
580.000000	0.516655
581.000000	0.316316
582.000000	0.243210
583.000000	0.192809
584.000000	0.174308
585.000000	0.190446
586.000000	0.293097
587.000000	0.341280
588.000000	0.978284
589.000000	3.103132
590.000000	4.302723
591.000000	3.594169
592.000000	2.604610
593.000000	1.764851
594.000000	1.192537
595.000000	0.907960
596.000000	0.749778
597.000000	0.752046
598.000000	0.808061
599.000000	0.750554
600.000000	0.562088
601.000000	0.497489
602.000000	0.399510
603.000000	0.360763
604.000000	0.304000
605.000000	0.269224
606.000000	0.257982
607.000000	0.250336
608.000000	0.292660
609.000000	0.330854
610.000000	0.331988
611.000000	0.337303
612.000000	0.271319
613.000000	0.271917
614.000000	0.255060
615.000000	0.240318
616.000000	0.327933
617.000000	0.320588
618.000000	0.255125
619.000000	0.232605
620.000000	0.177937
621.000000	0.174267
622.000000	0.169683
623.000000	0.163584
624.000000	0.155947
625.000000	0.182017
626.000000	0.309561
627.000000	0.240998
628.000000	0.202730
629.000000	0.174115
630.000000	0.194279
631.000000	0.183093
632.000000	0.154038
633.000000	0.158710
634.000000	0.141985
635.000000	0.155947
636.000000	0.142305
637.000000	0.148168
638.000000	0.187486
639.000000	0.154519
640.000000	0.164743
641.000000	0.150189
642.000000	0.166379
643.000000	0.172779
644.000000	0.141913
645.000000	0.139359
646.000000	0.205258
647.000000	0.181354
648.000000	0.144850
649.000000	0.151093
650.000000	0.114669
651.000000	0.138694
652.000000	0.125221
653.000000	0.139310
654.000000	0.145301
655.000000	0.351899
656.000000	0.319664
657.000000	0.223049
658.000000	0.254786
659.000000	0.207988
660.000000	0.292626
661.000000	0.326056
662.000000	0.249314
663.000000	0.240973
664.000000	0.198798
665.000000	0.161318
666.000000	0.181523
667.000000	0.184011
668.000000	0.158742
669.000000	0.169227
670.000000	0.426305
671.000000	1.017591
672.000000	0.685793
673.000000	0.449500
674.000000	0.330208
675.000000	0.236256
676.000000	0.155431
677.000000	0.174519
678.000000	0.203458
679.000000	0.200943
680.000000	0.153001
681.000000	0.153407
682.000000	0.137929
683.000000	0.193393
684.000000	0.258330
685.000000	0.282332
686.000000	0.210120
687.000000	0.140873
688.000000	0.116369
689.000000	0.095420
690.000000	0.097617
691.000000	0.124338
692.000000	0.141258
693.000000	0.115664
694.000000	0.125918
695.000000	0.125773
696.000000	0.120500
697.000000	0.126714
698.000000	0.105794
699.000000	0.134685
700.000000	0.130546
701.000000	0.118842
702.000000	0.120104
703.000000	0.116287
704.000000	0.089054
705.000000	0.099710
706.000000	0.109074
707.000000	0.071250
708.000000	0.105418
709.000000	0.089336
710.000000	0.110668
711.000000	0.084343
712.000000	0.079572
713.000000	0.068337
714.000000	0.044966
715.000000	0.102415
716.000000	0.083167
717.000000	0.067403
718.000000	0.102783
719.000000	0.076731
720.000000	0.045926
721.000000	0.062243
722.000000	0.083585
723.000000	0.089513
724.000000	0.056831
725.000000	0.087086
