#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/01/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1025	0.1025	0.1033
#xyY coordinates: 0.3324	0.3326	0.1025
#sRGB: 31	25	24
#CCT Lindbloom (K):	5494
#CCT McCamy (K):	5501
#CCT Hernández-Andrés (K):	5517
#Melatonin: 0.863
#Chlorophyll a: 0.192
#Chlorophyll b: 1.072
#Beta Carotene: 0.197
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.000000	0.110243
476.000000	0.111340
477.000000	0.102234
478.000000	0.107930
479.000000	0.102547
480.000000	0.093706
481.000000	0.097141
482.000000	0.100478
483.000000	0.098971
484.000000	0.108728
485.000000	0.107186
486.000000	0.101327
487.000000	0.115943
488.000000	0.113123
489.000000	0.105486
490.000000	0.115948
491.000000	0.119212
492.000000	0.139532
493.000000	0.128662
494.000000	0.118340
495.000000	0.116686
496.000000	0.115434
497.000000	0.122989
498.000000	0.170799
499.000000	0.190664
500.000000	0.152921
501.000000	0.127855
502.000000	0.115213
503.000000	0.110169
504.000000	0.104791
505.000000	0.102657
506.000000	0.115127
507.000000	0.108888
508.000000	0.119333
509.000000	0.115049
510.000000	0.113113
511.000000	0.125791
512.000000	0.118441
513.000000	0.112739
514.000000	0.120785
515.000000	0.129963
516.000000	0.134009
517.000000	0.134390
518.000000	0.130145
519.000000	0.134762
520.000000	0.134674
521.000000	0.151106
522.000000	0.159538
523.000000	0.155204
524.000000	0.142520
525.000000	0.142318
526.000000	0.129573
527.000000	0.128038
528.000000	0.130705
529.000000	0.129917
530.000000	0.148806
531.000000	0.153705
532.000000	0.174511
533.000000	0.217494
534.000000	0.507502
535.000000	5.066450
536.000000	6.389145
537.000000	4.439386
538.000000	2.962716
539.000000	1.820764
540.000000	1.175053
541.000000	0.700694
542.000000	0.393553
543.000000	0.252808
544.000000	0.194245
545.000000	0.262169
546.000000	2.805096
547.000000	2.482559
548.000000	1.508693
549.000000	0.744228
550.000000	0.306615
551.000000	0.188990
552.000000	0.153998
553.000000	0.160961
554.000000	0.156796
555.000000	0.140414
556.000000	0.142010
557.000000	0.125829
558.000000	0.129563
559.000000	0.120497
560.000000	0.130239
561.000000	0.122205
562.000000	0.119415
563.000000	0.117626
564.000000	0.124773
565.000000	0.117259
566.000000	0.126435
567.000000	0.143751
568.000000	0.244678
569.000000	0.495435
570.000000	0.380252
571.000000	0.261477
572.000000	0.203166
573.000000	0.151570
574.000000	0.154440
575.000000	0.166156
576.000000	0.351213
577.000000	1.294379
578.000000	0.975997
579.000000	1.539270
580.000000	1.072768
581.000000	0.673765
582.000000	0.400835
583.000000	0.230990
584.000000	0.193407
585.000000	0.188804
586.000000	0.209210
587.000000	0.311602
588.000000	1.125151
589.000000	5.077927
590.000000	6.965460
591.000000	5.322663
592.000000	3.651901
593.000000	2.188444
594.000000	1.352537
595.000000	0.989066
596.000000	0.763206
597.000000	0.634630
598.000000	0.547206
599.000000	0.493800
600.000000	0.436394
601.000000	0.406782
602.000000	0.372213
603.000000	0.344327
604.000000	0.304388
605.000000	0.298643
606.000000	0.278223
607.000000	0.248298
608.000000	0.231473
609.000000	0.233756
610.000000	0.237410
611.000000	0.226181
612.000000	0.208679
613.000000	0.199671
614.000000	0.174344
615.000000	0.202077
616.000000	0.256924
617.000000	0.224558
618.000000	0.197925
619.000000	0.181413
620.000000	0.167676
621.000000	0.177573
622.000000	0.171054
623.000000	0.156592
624.000000	0.168676
625.000000	0.154548
626.000000	0.147834
627.000000	0.158417
628.000000	0.164033
629.000000	0.142544
630.000000	0.137005
631.000000	0.143315
632.000000	0.150506
633.000000	0.141818
634.000000	0.133674
635.000000	0.131656
636.000000	0.139810
637.000000	0.147139
638.000000	0.139914
639.000000	0.145318
640.000000	0.126075
641.000000	0.130172
642.000000	0.131754
643.000000	0.117192
644.000000	0.125562
645.000000	0.129619
646.000000	0.128718
647.000000	0.137803
648.000000	0.134807
649.000000	0.129164
650.000000	0.119284
651.000000	0.126690
652.000000	0.116737
653.000000	0.128975
654.000000	0.133414
655.000000	0.273507
656.000000	0.224929
657.000000	0.183181
658.000000	0.151045
659.000000	0.128202
660.000000	0.122105
661.000000	0.126195
662.000000	0.111810
663.000000	0.105533
664.000000	0.116657
665.000000	0.114622
666.000000	0.114219
667.000000	0.120017
668.000000	0.118278
669.000000	0.118370
670.000000	0.283442
671.000000	0.832412
672.000000	0.490511
673.000000	0.366846
674.000000	0.229208
675.000000	0.147400
676.000000	0.127780
677.000000	0.115609
678.000000	0.110301
679.000000	0.101653
680.000000	0.110359
681.000000	0.111773
682.000000	0.103976
683.000000	0.115576
684.000000	0.113273
685.000000	0.115085
686.000000	0.134637
687.000000	0.117881
688.000000	0.102351
689.000000	0.108411
690.000000	0.121042
691.000000	0.126642
692.000000	0.097129
693.000000	0.110198
694.000000	0.131113
695.000000	0.119998
696.000000	0.086043
697.000000	0.102540
698.000000	0.080875
699.000000	0.081507
700.000000	0.103350
701.000000	0.090696
702.000000	0.101461
703.000000	0.089404
704.000000	0.090380
705.000000	0.094230
706.000000	0.095895
707.000000	0.090963
708.000000	0.102440
709.000000	0.103274
710.000000	0.056202
711.000000	0.094245
712.000000	0.077483
713.000000	0.086705
714.000000	0.089496
715.000000	0.088296
716.000000	0.078370
717.000000	0.101190
718.000000	0.091869
719.000000	0.096344
720.000000	0.107349
721.000000	0.089255
722.000000	0.087440
723.000000	0.105069
724.000000	0.093704
725.000000	0.088567
