#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/25
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1794	0.1954	0.1649
#xyY coordinates: 0.3324	0.3621	0.1954
#sRGB: 51	51	37
#CCT Lindbloom (K):	5506
#CCT McCamy (K):	5506
#CCT Hernández-Andrés (K):	5490
#Melatonin: 0.808
#Chlorophyll a: 0.510
#Chlorophyll b: 0.805
#Beta Carotene: 0.513
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: New street lamp in Calle Ronda in Almería
#Begin Processed Spectral Data
W	S
475.000000	0.426136
476.000000	0.334598
477.000000	0.344907
478.000000	0.411469
479.000000	0.423526
480.000000	0.457122
481.000000	0.454620
482.000000	0.473447
483.000000	0.475042
484.000000	0.411899
485.000000	0.368463
486.000000	0.345962
487.000000	0.306069
488.000000	0.342876
489.000000	0.426627
490.000000	0.435763
491.000000	0.406482
492.000000	0.434845
493.000000	0.384362
494.000000	0.343734
495.000000	0.341826
496.000000	0.360297
497.000000	0.340588
498.000000	0.320185
499.000000	0.309936
500.000000	0.326439
501.000000	0.368120
502.000000	0.358624
503.000000	0.417791
504.000000	0.432280
505.000000	0.503705
506.000000	0.461757
507.000000	0.405024
508.000000	0.382459
509.000000	0.333228
510.000000	0.313233
511.000000	0.381585
512.000000	0.452697
513.000000	0.478095
514.000000	0.435212
515.000000	0.384194
516.000000	0.388275
517.000000	0.399992
518.000000	0.378078
519.000000	0.366456
520.000000	0.360397
521.000000	0.306971
522.000000	0.295140
523.000000	0.317795
524.000000	0.324973
525.000000	0.284446
526.000000	0.331199
527.000000	0.413639
528.000000	0.424788
529.000000	0.388503
530.000000	0.378597
531.000000	0.411248
532.000000	0.397050
533.000000	0.402490
534.000000	0.525397
535.000000	1.472556
536.000000	2.572189
537.000000	2.109795
538.000000	1.633291
539.000000	1.317555
540.000000	0.985153
541.000000	0.712861
542.000000	0.569784
543.000000	0.540288
544.000000	0.360592
545.000000	0.355804
546.000000	0.658565
547.000000	0.713965
548.000000	0.459616
549.000000	0.380695
550.000000	0.329193
551.000000	0.316895
552.000000	0.271088
553.000000	0.295937
554.000000	0.300246
555.000000	0.349704
556.000000	0.322102
557.000000	0.295776
558.000000	0.282292
559.000000	0.275405
560.000000	0.259729
561.000000	0.286090
562.000000	0.295056
563.000000	0.305895
564.000000	0.412980
565.000000	0.487804
566.000000	0.427469
567.000000	0.376246
568.000000	0.366869
569.000000	0.353339
570.000000	0.358300
571.000000	0.395088
572.000000	0.388674
573.000000	0.380656
574.000000	0.378583
575.000000	0.432679
576.000000	0.448251
577.000000	0.473522
578.000000	0.431461
579.000000	0.427005
580.000000	0.437249
581.000000	0.404560
582.000000	0.385176
583.000000	0.359292
584.000000	0.356468
585.000000	0.357581
586.000000	0.364780
587.000000	0.360996
588.000000	0.349181
589.000000	0.357833
590.000000	0.362606
591.000000	0.354658
592.000000	0.353777
593.000000	0.356649
594.000000	0.409062
595.000000	0.444442
596.000000	0.428653
597.000000	0.502197
598.000000	0.583990
599.000000	0.641120
600.000000	0.568266
601.000000	0.592118
602.000000	0.595400
603.000000	0.533842
604.000000	0.481632
605.000000	0.452970
606.000000	0.438724
607.000000	0.442954
608.000000	0.479375
609.000000	0.627327
610.000000	0.571537
611.000000	0.520344
612.000000	0.524766
613.000000	0.494361
614.000000	0.472752
615.000000	0.449184
616.000000	0.469254
617.000000	0.570593
618.000000	0.490548
619.000000	0.431892
620.000000	0.415289
621.000000	0.383647
622.000000	0.383498
623.000000	0.363856
624.000000	0.359590
625.000000	0.381443
626.000000	0.573898
627.000000	0.554512
628.000000	0.419846
629.000000	0.385657
630.000000	0.358646
631.000000	0.330666
632.000000	0.329062
633.000000	0.348048
634.000000	0.366299
635.000000	0.349417
636.000000	0.350723
637.000000	0.330224
638.000000	0.344031
639.000000	0.383783
640.000000	0.344203
641.000000	0.326469
642.000000	0.382914
643.000000	0.414605
644.000000	0.393128
645.000000	0.345543
646.000000	0.331532
647.000000	0.316024
648.000000	0.323602
649.000000	0.340639
650.000000	0.306325
651.000000	0.294998
652.000000	0.280647
653.000000	0.278787
654.000000	0.289450
655.000000	0.334230
656.000000	0.390896
657.000000	0.366376
658.000000	0.448638
659.000000	0.424661
660.000000	0.341848
661.000000	0.310229
