#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.1107	0.1148	0.1094
#xyY coordinates: 0.3306	0.3428	0.1148
#sRGB: 33	29	25
#CCT Lindbloom (K):	5582
#CCT McCamy (K):	5583
#CCT Hernández-Andrés (K):	5585
#Melatonin: 0.804
#Chlorophyll a: 0.182
#Chlorophyll b: 1.007
#Beta Carotene: 0.186
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.000000	0.098958
476.000000	0.105698
477.000000	0.096088
478.000000	0.103077
479.000000	0.095937
480.000000	0.091481
481.000000	0.098036
482.000000	0.090659
483.000000	0.096315
484.000000	0.097058
485.000000	0.097541
486.000000	0.103030
487.000000	0.099147
488.000000	0.101126
489.000000	0.098396
490.000000	0.100842
491.000000	0.110095
492.000000	0.129371
493.000000	0.112098
494.000000	0.096459
495.000000	0.094977
496.000000	0.109768
497.000000	0.119750
498.000000	0.138200
499.000000	0.151058
500.000000	0.139042
501.000000	0.116836
502.000000	0.106466
503.000000	0.105538
504.000000	0.102786
505.000000	0.099307
506.000000	0.092699
507.000000	0.100088
508.000000	0.102061
509.000000	0.103551
510.000000	0.102629
511.000000	0.107249
512.000000	0.108371
513.000000	0.114919
514.000000	0.120460
515.000000	0.119915
516.000000	0.129952
517.000000	0.128855
518.000000	0.121609
519.000000	0.130148
520.000000	0.137184
521.000000	0.150251
522.000000	0.160316
523.000000	0.161584
524.000000	0.149845
525.000000	0.137622
526.000000	0.118935
527.000000	0.116376
528.000000	0.112945
529.000000	0.120898
530.000000	0.128126
531.000000	0.131763
532.000000	0.152520
533.000000	0.199101
534.000000	0.591311
535.000000	3.885947
536.000000	6.254293
537.000000	5.278583
538.000000	3.495660
539.000000	2.367923
540.000000	1.598928
541.000000	0.964759
542.000000	0.515835
543.000000	0.299101
544.000000	0.218233
545.000000	0.377987
546.000000	2.619776
547.000000	3.141415
548.000000	2.054824
549.000000	0.854024
550.000000	0.393280
551.000000	0.234636
552.000000	0.177410
553.000000	0.164033
554.000000	0.158418
555.000000	0.137580
556.000000	0.130818
557.000000	0.120721
558.000000	0.117270
559.000000	0.116216
560.000000	0.113372
561.000000	0.112435
562.000000	0.109770
563.000000	0.108402
564.000000	0.112924
565.000000	0.111158
566.000000	0.109580
567.000000	0.127659
568.000000	0.197832
569.000000	0.336335
570.000000	0.320651
571.000000	0.232802
572.000000	0.166159
573.000000	0.145605
574.000000	0.146448
575.000000	0.178610
576.000000	0.422561
577.000000	1.105688
578.000000	1.202059
579.000000	1.437309
580.000000	1.193092
581.000000	0.754021
582.000000	0.391398
583.000000	0.239839
584.000000	0.186697
585.000000	0.174105
586.000000	0.191683
587.000000	0.269047
588.000000	1.011745
589.000000	3.438296
590.000000	5.489135
591.000000	5.128581
592.000000	3.595053
593.000000	2.283979
594.000000	1.520933
595.000000	1.113723
596.000000	0.896302
597.000000	0.741220
598.000000	0.637287
599.000000	0.558968
600.000000	0.508290
601.000000	0.451205
602.000000	0.415751
603.000000	0.383190
604.000000	0.351660
605.000000	0.318608
606.000000	0.303732
607.000000	0.276511
608.000000	0.260430
609.000000	0.239141
610.000000	0.251977
611.000000	0.254697
612.000000	0.234034
613.000000	0.216315
614.000000	0.200234
615.000000	0.201907
616.000000	0.225098
617.000000	0.230409
618.000000	0.208026
619.000000	0.187623
620.000000	0.170655
621.000000	0.171453
622.000000	0.164763
623.000000	0.156084
624.000000	0.163205
625.000000	0.162412
626.000000	0.153946
627.000000	0.148008
628.000000	0.147028
629.000000	0.145930
630.000000	0.139495
631.000000	0.141474
632.000000	0.141775
633.000000	0.139807
634.000000	0.135122
