#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/01/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0967	0.1012	0.0984
#xyY coordinates: 0.3264	0.3415	0.1012
#sRGB: 28	26	23
#CCT Lindbloom (K):	5772
#CCT McCamy (K):	5769
#CCT Hernández-Andrés (K):	5767
#Melatonin: 0.834
#Chlorophyll a: 0.231
#Chlorophyll b: 1.090
#Beta Carotene: 0.234
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Madrid streetlamp at Facultad de Físicas
#Begin Processed Spectral Data
W	S
475.000000	0.143868
476.000000	0.143410
477.000000	0.144374
478.000000	0.140249
479.000000	0.133289
480.000000	0.139723
481.000000	0.133446
482.000000	0.142107
483.000000	0.133719
484.000000	0.132367
485.000000	0.139899
486.000000	0.145687
487.000000	0.146075
488.000000	0.138567
489.000000	0.146470
490.000000	0.145314
491.000000	0.154660
492.000000	0.151687
493.000000	0.150245
494.000000	0.146904
495.000000	0.140287
496.000000	0.155116
497.000000	0.159157
498.000000	0.203894
499.000000	0.213688
500.000000	0.189504
501.000000	0.158493
502.000000	0.145864
503.000000	0.140930
504.000000	0.144151
505.000000	0.149494
506.000000	0.146245
507.000000	0.142780
508.000000	0.134980
509.000000	0.143895
510.000000	0.141867
511.000000	0.154842
512.000000	0.158947
513.000000	0.143457
514.000000	0.148404
515.000000	0.158790
516.000000	0.166018
517.000000	0.170240
518.000000	0.165913
519.000000	0.163139
520.000000	0.178738
521.000000	0.187887
522.000000	0.193108
523.000000	0.198189
524.000000	0.186988
525.000000	0.179494
526.000000	0.168336
527.000000	0.159099
528.000000	0.161136
529.000000	0.170909
530.000000	0.181148
531.000000	0.191897
532.000000	0.230389
533.000000	0.312946
534.000000	0.777054
535.000000	5.102479
536.000000	6.835034
537.000000	5.200054
538.000000	3.367396
539.000000	2.120261
540.000000	1.384502
541.000000	0.829300
542.000000	0.458501
543.000000	0.290767
544.000000	0.222592
545.000000	0.293817
546.000000	1.880689
547.000000	1.725376
548.000000	1.095531
549.000000	0.452794
550.000000	0.225856
551.000000	0.177721
552.000000	0.168164
553.000000	0.181682
554.000000	0.183259
555.000000	0.167221
556.000000	0.154681
557.000000	0.146725
558.000000	0.148052
559.000000	0.145195
560.000000	0.141680
561.000000	0.145089
562.000000	0.141232
563.000000	0.134827
564.000000	0.141590
565.000000	0.143306
566.000000	0.154893
567.000000	0.171584
568.000000	0.277990
569.000000	0.517369
570.000000	0.401825
571.000000	0.310535
572.000000	0.191457
573.000000	0.158412
574.000000	0.153900
575.000000	0.165990
576.000000	0.262517
577.000000	0.704968
578.000000	0.607150
579.000000	0.846473
580.000000	0.629346
581.000000	0.445848
582.000000	0.287009
583.000000	0.204776
584.000000	0.189260
585.000000	0.204696
586.000000	0.246026
587.000000	0.338073
588.000000	1.152013
589.000000	4.398424
590.000000	6.225894
591.000000	5.051944
592.000000	3.376549
593.000000	1.995118
594.000000	1.232218
595.000000	0.916797
596.000000	0.724594
597.000000	0.614599
598.000000	0.547869
599.000000	0.483813
600.000000	0.423191
601.000000	0.418213
602.000000	0.370835
603.000000	0.346450
604.000000	0.312605
605.000000	0.289084
606.000000	0.270699
607.000000	0.251101
608.000000	0.247439
609.000000	0.234512
610.000000	0.244323
611.000000	0.245032
612.000000	0.224675
613.000000	0.214915
614.000000	0.202256
615.000000	0.214944
616.000000	0.263940
617.000000	0.238553
618.000000	0.214894
619.000000	0.195859
620.000000	0.184898
621.000000	0.180850
622.000000	0.175911
623.000000	0.168162
624.000000	0.164138
625.000000	0.159069
626.000000	0.153976
627.000000	0.160727
628.000000	0.161067
629.000000	0.162622
