#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/17
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.4779	0.4939	0.5188
#xyY coordinates: 0.3206	0.3314	0.4939
#sRGB: 135	124	121
#CCT Lindbloom (K):	6075
#CCT McCamy (K):	6076
#CCT Hernández-Andrés (K):	6078
#Melatonin: 1.039
#Chlorophyll a: 0.482
#Chlorophyll b: 0.957
#Beta Carotene: 0.488
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Madrid, Picasso Tower facade illumination
#Begin Processed Spectral Data
W	S
475.000000	0.460703
476.000000	0.465262
477.000000	0.446424
478.000000	0.479970
479.000000	0.481310
480.000000	0.449676
481.000000	0.431602
482.000000	0.423296
483.000000	0.445973
484.000000	0.434283
485.000000	0.412062
486.000000	0.394711
487.000000	0.397971
488.000000	0.437615
489.000000	0.462566
490.000000	0.429947
491.000000	0.420514
492.000000	0.443996
493.000000	0.446624
494.000000	0.449315
495.000000	0.447640
496.000000	0.477509
497.000000	0.466449
498.000000	0.470537
499.000000	0.464986
500.000000	0.476063
501.000000	0.467809
502.000000	0.474926
503.000000	0.497427
504.000000	0.545717
505.000000	0.551118
506.000000	0.522360
507.000000	0.572994
508.000000	0.542450
509.000000	0.484853
510.000000	0.425937
511.000000	0.442080
512.000000	0.474278
513.000000	0.474484
514.000000	0.460701
515.000000	0.449964
516.000000	0.447062
517.000000	0.460151
518.000000	0.464794
519.000000	0.475231
520.000000	0.429061
521.000000	0.427683
522.000000	0.455207
523.000000	0.446698
524.000000	0.433699
525.000000	0.411324
526.000000	0.419481
527.000000	0.421585
528.000000	0.426778
529.000000	0.438671
530.000000	0.484298
531.000000	0.522659
532.000000	0.482596
533.000000	0.465009
534.000000	0.459314
535.000000	0.466050
536.000000	0.476717
537.000000	0.450830
538.000000	0.453708
539.000000	0.454053
540.000000	0.466076
541.000000	0.483729
542.000000	0.483283
543.000000	0.481659
544.000000	0.462721
545.000000	0.528506
546.000000	1.028854
547.000000	1.072844
548.000000	0.747800
549.000000	0.616099
550.000000	0.515658
551.000000	0.473490
552.000000	0.445720
553.000000	0.449443
554.000000	0.444996
555.000000	0.464814
556.000000	0.473138
557.000000	0.474587
558.000000	0.460846
559.000000	0.443977
560.000000	0.445785
561.000000	0.449629
562.000000	0.457985
563.000000	0.507522
564.000000	0.530805
565.000000	0.525018
566.000000	0.516349
567.000000	0.520844
568.000000	0.572649
569.000000	0.534485
570.000000	0.502497
571.000000	0.487996
572.000000	0.475151
573.000000	0.465591
574.000000	0.469206
575.000000	0.491729
576.000000	0.630714
577.000000	0.949639
578.000000	0.820164
579.000000	0.957072
580.000000	0.846872
581.000000	0.652238
582.000000	0.555610
583.000000	0.492650
584.000000	0.473073
585.000000	0.465948
586.000000	0.504902
587.000000	0.496743
588.000000	0.493163
589.000000	0.598551
590.000000	0.639738
591.000000	0.526905
592.000000	0.517260
593.000000	0.514081
594.000000	0.492660
595.000000	0.497667
596.000000	0.476624
597.000000	0.515713
598.000000	0.578797
599.000000	0.565790
600.000000	0.494904
601.000000	0.513683
602.000000	0.484671
603.000000	0.454884
604.000000	0.429251
605.000000	0.417872
606.000000	0.407545
607.000000	0.396938
608.000000	0.409865
609.000000	0.434881
610.000000	0.458243
611.000000	0.480204
612.000000	0.432828
613.000000	0.425779
614.000000	0.413412
615.000000	0.378449
616.000000	0.415050
617.000000	0.412769
618.000000	0.396094
619.000000	0.392427
620.000000	0.394838
621.000000	0.419336
622.000000	0.423662
623.000000	0.395990
624.000000	0.375552
625.000000	0.356900
626.000000	0.421989
627.000000	0.374892
628.000000	0.345297
629.000000	0.330145
630.000000	0.329117
631.000000	0.344417
632.000000	0.301295
633.000000	0.309034
634.000000	0.301830
635.000000	0.319199
636.000000	0.324299
637.000000	0.322882
638.000000	0.325153
639.000000	0.299911
640.000000	0.297763
641.000000	0.291846
642.000000	0.300724
643.000000	0.301942
644.000000	0.295042
645.000000	0.283443
646.000000	0.337470
647.000000	0.337153
648.000000	0.297997
649.000000	0.292065
650.000000	0.258281
651.000000	0.252445
652.000000	0.248489
653.000000	0.236579
654.000000	0.245811
655.000000	0.273506
656.000000	0.282466
657.000000	0.252438
658.000000	0.286258
659.000000	0.276551
660.000000	0.315058
661.000000	0.377334
662.000000	0.284423
663.000000	0.306980
664.000000	0.274762
665.000000	0.254857
666.000000	0.272019
667.000000	0.285535
668.000000	0.275847
669.000000	0.281047
670.000000	0.362514
671.000000	0.564097
672.000000	0.548165
673.000000	0.504917
674.000000	0.361602
675.000000	0.312970
676.000000	0.253720
677.000000	0.252826
678.000000	0.297652
679.000000	0.293038
680.000000	0.240865
681.000000	0.221078
682.000000	0.230978
683.000000	0.251184
684.000000	0.310282
685.000000	0.366060
686.000000	0.304704
687.000000	0.248525
688.000000	0.217376
689.000000	0.211449
690.000000	0.214612
691.000000	0.205198
692.000000	0.197699
693.000000	0.187643
694.000000	0.217454
695.000000	0.241508
696.000000	0.249981
697.000000	0.382369
698.000000	0.455243
699.000000	0.352983
700.000000	0.285984
701.000000	0.232219
702.000000	0.196459
703.000000	0.169590
704.000000	0.153341
705.000000	0.145535
706.000000	0.141030
707.000000	0.134027
708.000000	0.132865
709.000000	0.124104
710.000000	0.132819
711.000000	0.128342
712.000000	0.128429
713.000000	0.126823
714.000000	0.127162
715.000000	0.121306
716.000000	0.121246
717.000000	0.118334
718.000000	0.121855
719.000000	0.125267
720.000000	0.138211
721.000000	0.130199
722.000000	0.150793
723.000000	0.170476
724.000000	0.174770
725.000000	0.176077
