#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/26
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0586	0.0619	0.0315
#xyY coordinates: 0.3855	0.4070	0.0619
#sRGB: 20	15	6
#CCT Lindbloom (K):	4075
#CCT McCamy (K):	4069
#CCT Hernández-Andrés (K):	4042
#Melatonin: 0.387
#Chlorophyll a: 0.065
#Chlorophyll b: 0.420
#Beta Carotene: 0.066
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Riba-Roja de Turia streetlamps
#Begin Processed Spectral Data
W	S
475.000000	0.043451
476.000000	0.046306
477.000000	0.035923
478.000000	0.039357
479.000000	0.034601
480.000000	0.027226
481.000000	0.039988
482.000000	0.010654
483.000000	0.040067
484.000000	0.047939
485.000000	0.032532
486.000000	0.041961
487.000000	0.039540
488.000000	0.047401
489.000000	0.029668
490.000000	0.036248
491.000000	0.047863
492.000000	0.142737
493.000000	0.109362
494.000000	0.082295
495.000000	0.060609
496.000000	0.046111
497.000000	0.065715
498.000000	0.026734
499.000000	0.040880
500.000000	0.036011
501.000000	0.011165
502.000000	0.038291
503.000000	0.032828
504.000000	0.033812
505.000000	0.035665
506.000000	0.037377
507.000000	0.028947
508.000000	0.022534
509.000000	0.023436
510.000000	0.044578
511.000000	0.018799
512.000000	0.040506
513.000000	0.041800
514.000000	0.046259
515.000000	0.029242
516.000000	0.037295
517.000000	0.032758
518.000000	0.032037
519.000000	0.027106
520.000000	0.032470
521.000000	0.028236
522.000000	0.037547
523.000000	0.041760
524.000000	0.040968
525.000000	0.037503
526.000000	0.031690
527.000000	0.032827
528.000000	0.041861
529.000000	0.031614
530.000000	0.059431
531.000000	0.045951
532.000000	0.033688
533.000000	0.060111
534.000000	0.051715
535.000000	0.057084
536.000000	0.069766
537.000000	0.068152
538.000000	0.095962
539.000000	0.117479
540.000000	0.102401
541.000000	0.105834
542.000000	0.101306
543.000000	0.121575
544.000000	0.137505
545.000000	0.473191
546.000000	6.108152
547.000000	11.616758
548.000000	6.103919
549.000000	4.777154
550.000000	2.410584
551.000000	0.755861
552.000000	0.321629
553.000000	0.228259
554.000000	0.164160
555.000000	0.118329
556.000000	0.096393
557.000000	0.079861
558.000000	0.069427
559.000000	0.076617
560.000000	0.067327
561.000000	0.079212
562.000000	0.075498
563.000000	0.070560
564.000000	0.056290
565.000000	0.055247
566.000000	0.060159
567.000000	0.049724
568.000000	0.058458
569.000000	0.036318
570.000000	0.057002
571.000000	0.074306
572.000000	0.082241
573.000000	0.089145
574.000000	0.113358
575.000000	0.198378
576.000000	0.733676
577.000000	3.776304
578.000000	4.996382
579.000000	5.413300
580.000000	6.309062
581.000000	3.383411
582.000000	2.291278
583.000000	1.220469
584.000000	0.448416
585.000000	0.242748
586.000000	0.155205
587.000000	0.147020
588.000000	0.133570
589.000000	0.140322
590.000000	0.141453
591.000000	0.165702
592.000000	0.252789
593.000000	0.377775
594.000000	0.495137
595.000000	0.539609
596.000000	0.486377
597.000000	0.383423
598.000000	0.294977
599.000000	0.178443
600.000000	0.137757
601.000000	0.092206
602.000000	0.081098
603.000000	0.076151
604.000000	0.068315
605.000000	0.064556
606.000000	0.092153
607.000000	0.088518
608.000000	0.106899
609.000000	0.128132
610.000000	0.204636
611.000000	0.255522
612.000000	0.256214
613.000000	0.353936
614.000000	0.677839
615.000000	0.964498
616.000000	0.941982
617.000000	0.890861
618.000000	1.048771
619.000000	1.425800
620.000000	2.076504
621.000000	2.195005
622.000000	1.650208
623.000000	1.173358
624.000000	0.791562
625.000000	0.464202
626.000000	0.277343
627.000000	0.253894
628.000000	0.184122
629.000000	0.155767
630.000000	0.154909
631.000000	0.138547
632.000000	0.121308
633.000000	0.130463
634.000000	0.096386
635.000000	0.085301
636.000000	0.083297
637.000000	0.077715
638.000000	0.068397
639.000000	0.046631
640.000000	0.044652
641.000000	0.050636
642.000000	0.050699
643.000000	0.008339
644.000000	0.029007
645.000000	0.029221
646.000000	0.048486
647.000000	0.022782
648.000000	0.025173
649.000000	0.078841
650.000000	0.099516
651.000000	0.119123
652.000000	0.111283
653.000000	0.131943
654.000000	0.083152
655.000000	0.051008
656.000000	0.079860
657.000000	0.069667
658.000000	0.077546
659.000000	0.055306
660.000000	0.056217
661.000000	0.067883
662.000000	0.053926
663.000000	0.052632
664.000000	0.022193
665.000000	0.025630
666.000000	0.034780
667.000000	0.039233
668.000000	0.019733
669.000000	0.029667
670.000000	0.067066
671.000000	0.064383
672.000000	0.063273
673.000000	0.013289
674.000000	0.078520
675.000000	0.048981
676.000000	0.023058
677.000000	0.043738
678.000000	0.025656
679.000000	0.027569
680.000000	0.024011
681.000000	0.028262
682.000000	0.013517
683.000000	0.031704
684.000000	0.002116
685.000000	0.074013
686.000000	0.061341
687.000000	0.005838
688.000000	0.019572
689.000000	0.036394
690.000000	0.113130
691.000000	0.139549
692.000000	0.149681
693.000000	0.162026
694.000000	0.159334
695.000000	0.254650
696.000000	0.423442
697.000000	0.625049
698.000000	0.760106
699.000000	0.805960
700.000000	0.702960
701.000000	0.485493
702.000000	0.437992
703.000000	0.504348
704.000000	0.548204
705.000000	0.576813
706.000000	0.460224
707.000000	0.352653
708.000000	0.243668
709.000000	0.178002
710.000000	0.093127
711.000000	0.095344
712.000000	0.090748
713.000000	0.052668
714.000000	0.002057
715.000000	0.010157
716.000000	0.022842
717.000000	0.002195
718.000000	0.020290
719.000000	0.044590
720.000000	0.026040
721.000000	0.000664
722.000000	0.018652
723.000000	0.001001
724.000000	0.058187
725.000000	0.036547
