#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0581	0.0623	0.0383
#xyY coordinates: 0.3663	0.3926	0.0623
#sRGB: 19	16	8
#CCT Lindbloom (K):	4495
#CCT McCamy (K):	4484
#CCT Hernández-Andrés (K):	4464
#Melatonin: 0.535
#Chlorophyll a: 0.183
#Chlorophyll b: 0.503
#Beta Carotene: 0.185
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data: Madrid streetlamp at Facultad de Telecomunicaciones
#Begin Processed Spectral Data
W	S
475.000000	0.053667
476.000000	0.050680
477.000000	0.104327
478.000000	0.110851
479.000000	0.071865
480.000000	0.079671
481.000000	0.064608
482.000000	0.069285
483.000000	0.092752
484.000000	0.089878
485.000000	0.106131
486.000000	0.089306
487.000000	0.087888
488.000000	0.094743
489.000000	0.063220
490.000000	0.085832
491.000000	0.179502
492.000000	0.259617
493.000000	0.173522
494.000000	0.115449
495.000000	0.071567
496.000000	0.083723
497.000000	0.112785
498.000000	0.089063
499.000000	0.088839
500.000000	0.102405
501.000000	0.058282
502.000000	0.041503
503.000000	0.093446
504.000000	0.076944
505.000000	0.053973
506.000000	0.068719
507.000000	0.066445
508.000000	0.044371
509.000000	0.076848
510.000000	0.077703
511.000000	0.068037
512.000000	0.086172
513.000000	0.087355
514.000000	0.063934
515.000000	0.081506
516.000000	0.080362
517.000000	0.068597
518.000000	0.084269
519.000000	0.073161
520.000000	0.067558
521.000000	0.028810
522.000000	0.065072
523.000000	0.071432
524.000000	0.072513
525.000000	0.064684
526.000000	0.057300
527.000000	0.065460
528.000000	0.088177
529.000000	0.085187
530.000000	0.076403
531.000000	0.064891
532.000000	0.086792
533.000000	0.114682
534.000000	0.093466
535.000000	0.125416
536.000000	0.151595
537.000000	0.164254
538.000000	0.164254
539.000000	0.169682
540.000000	0.135699
541.000000	0.134864
542.000000	0.137780
543.000000	0.139955
544.000000	0.152042
545.000000	0.796256
546.000000	10.381683
547.000000	9.707623
548.000000	4.542684
549.000000	2.120697
550.000000	0.735352
551.000000	0.337295
552.000000	0.215778
553.000000	0.197176
554.000000	0.166757
555.000000	0.137679
556.000000	0.120630
557.000000	0.113037
558.000000	0.119252
559.000000	0.134875
560.000000	0.109930
561.000000	0.134258
562.000000	0.126375
563.000000	0.124238
564.000000	0.134414
565.000000	0.094406
566.000000	0.108458
