#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0107	0.0128	0.0218
#xyY coordinates: 0.2360	0.2825	0.0128
#sRGB: 1	4	5
#CCT Lindbloom (K):	24382
#CCT McCamy (K):	16213
#CCT Hernández-Andrés (K):	18973
#Melatonin: 1.418
#Chlorophyll a: 0.231
#Chlorophyll b: 1.077
#Beta Carotene: 0.238
#Manufacturer: Oriel
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.000000	0.121824
476.000000	0.000000
477.000000	0.000000
478.000000	0.000000
479.000000	0.172740
480.000000	0.000000
481.000000	0.179912
482.000000	0.159210
483.000000	0.106718
484.000000	0.000000
485.000000	0.061425
486.000000	0.000000
487.000000	0.009695
488.000000	0.040827
489.000000	0.000000
490.000000	0.091900
491.000000	0.000000
492.000000	0.000000
493.000000	0.000000
494.000000	0.064420
495.000000	0.000000
496.000000	0.000000
497.000000	0.000000
498.000000	0.284476
499.000000	0.183617
500.000000	0.121956
501.000000	0.000000
502.000000	0.039014
503.000000	0.000000
504.000000	0.000000
505.000000	0.271681
506.000000	0.001892
507.000000	0.175210
508.000000	0.000000
509.000000	0.023172
510.000000	0.000000
511.000000	0.000000
512.000000	0.136905
513.000000	0.000000
514.000000	0.055697
515.000000	0.056196
516.000000	0.000000
517.000000	0.258624
518.000000	0.000000
519.000000	0.000000
520.000000	0.091480
521.000000	0.196990
522.000000	0.000000
523.000000	0.028611
524.000000	0.017839
525.000000	0.054278
526.000000	0.000000
527.000000	0.074325
528.000000	0.000000
529.000000	0.000000
530.000000	0.000000
531.000000	0.000000
532.000000	0.036177
533.000000	0.000000
534.000000	0.067257
535.000000	0.000000
536.000000	0.000000
537.000000	0.000000
538.000000	0.000000
539.000000	0.000000
540.000000	0.256680
541.000000	0.134671
542.000000	0.050732
543.000000	0.002942
544.000000	0.159210
545.000000	1.287288
546.000000	29.999468
547.000000	25.122446
548.000000	9.486411
549.000000	3.146943
550.000000	0.649765
551.000000	0.129863
552.000000	0.024959
553.000000	0.192680
