#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0496	0.0150	0.2677
#xyY coordinates: 0.1492	0.0452	0.0150
#sRGB: 1	0	72
#CCT Lindbloom (K):	---
#CCT McCamy (K):	1621
#CCT Hernández-Andrés (K):	332
#Melatonin: 10.575
#Chlorophyll a: 0.566
#Chlorophyll b: 13.057
#Beta Carotene: 0.561
#Manufacturer: unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.000000	5.279282
476.000000	5.044394
477.000000	4.727292
478.000000	4.523782
479.000000	4.314320
480.000000	4.120799
481.000000	3.919706
482.000000	3.653150
483.000000	3.471847
484.000000	3.336677
485.000000	3.161285
486.000000	2.943291
487.000000	2.776898
488.000000	2.617706
489.000000	2.408680
490.000000	2.289125
491.000000	2.152866
492.000000	2.045540
493.000000	1.897679
494.000000	1.745238
495.000000	1.628226
496.000000	1.487552
497.000000	1.412174
498.000000	1.312267
499.000000	1.212768
500.000000	1.107886
501.000000	1.056182
502.000000	0.965308
503.000000	0.915400
504.000000	0.824552
505.000000	0.751440
506.000000	0.694495
507.000000	0.636392
508.000000	0.607861
509.000000	0.555754
510.000000	0.515840
511.000000	0.484733
512.000000	0.464759
513.000000	0.405660
514.000000	0.389251
515.000000	0.347225
516.000000	0.325092
517.000000	0.313775
518.000000	0.282665
519.000000	0.264127
520.000000	0.243366
521.000000	0.224134
522.000000	0.217378
523.000000	0.195023
524.000000	0.189773
525.000000	0.168994
526.000000	0.151454
527.000000	0.137640
528.000000	0.121408
529.000000	0.124852
530.000000	0.113695
531.000000	0.114143
532.000000	0.094506
533.000000	0.083875
534.000000	0.067237
535.000000	0.066436
536.000000	0.079586
537.000000	0.069034
538.000000	0.062535
539.000000	0.045164
540.000000	0.043279
541.000000	0.037742
542.000000	0.039590
543.000000	0.037913
544.000000	0.037017
545.000000	0.362922
546.000000	0.724904
547.000000	0.426850
548.000000	0.259738
549.000000	0.201478
550.000000	0.096445
551.000000	0.049605
552.000000	0.036276
553.000000	0.022618
554.000000	0.021407
555.000000	0.023250
556.000000	0.019098
557.000000	0.019509
558.000000	0.007005
559.000000	0.033567
560.000000	0.002016
561.000000	0.020351
562.000000	0.008517
563.000000	0.009947
564.000000	0.025470
565.000000	0.014964
566.000000	0.022314
567.000000	0.027506
568.000000	0.034327
569.000000	0.027652
570.000000	0.030083
571.000000	0.033408
572.000000	0.030829
573.000000	0.018463
574.000000	0.021861
575.000000	0.016288
576.000000	0.036128
577.000000	0.045694
578.000000	0.048474
579.000000	0.064686
580.000000	0.061863
581.000000	0.031565
582.000000	0.022967
583.000000	0.025655
584.000000	0.020228
585.000000	0.011609
586.000000	0.031046
587.000000	0.016617
588.000000	0.039824
589.000000	0.000348
590.000000	0.009083
591.000000	0.003545
592.000000	0.019385
593.000000	0.027515
594.000000	0.025198
595.000000	0.011897
596.000000	0.030264
597.000000	0.016949
598.000000	0.021733
599.000000	0.010181
600.000000	0.002599
601.000000	0.017988
602.000000	0.015581
603.000000	0.038550
604.000000	0.005040
605.000000	0.019287
606.000000	0.014207
607.000000	0.025903
608.000000	0.003040
609.000000	0.001652
610.000000	0.010904
611.000000	0.020731
612.000000	0.000601
613.000000	0.008223
614.000000	0.000035
615.000000	0.008489
616.000000	0.033642
617.000000	0.001101
618.000000	0.005881
619.000000	0.041637
620.000000	0.008348
621.000000	0.028613
622.000000	0.001384
623.000000	0.006471
624.000000	0.007453
625.000000	0.000366
626.000000	0.013315
627.000000	0.000825
628.000000	0.026031
629.000000	0.007850
630.000000	0.000000
631.000000	0.002653
632.000000	0.014324
633.000000	0.024037
