#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/17
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0714	0.1635	0.0398
#xyY coordinates: 0.2599	0.5952	0.1635
#sRGB: 0	61	3
#CCT Lindbloom (K):	6801
#CCT McCamy (K):	6833
#CCT Hernández-Andrés (K):	6739
#Melatonin: 0.375
#Chlorophyll a: 0.004
#Chlorophyll b: 0.206
#Beta Carotene: 0.005
#Manufacturer: unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.000000	0.005398
476.000000	0.006844
477.000000	0.007145
478.000000	0.014656
479.000000	0.007361
480.000000	0.011560
481.000000	0.010388
482.000000	0.017411
483.000000	0.012381
484.000000	0.017841
485.000000	0.029313
486.000000	0.027326
487.000000	0.022590
488.000000	0.046016
489.000000	0.054523
490.000000	0.055814
491.000000	0.082271
492.000000	0.098725
493.000000	0.105948
494.000000	0.101735
495.000000	0.135893
496.000000	0.140062
497.000000	0.172352
498.000000	0.193191
499.000000	0.220094
500.000000	0.256907
501.000000	0.290481
502.000000	0.324182
503.000000	0.353680
504.000000	0.408204
505.000000	0.463319
506.000000	0.509587
507.000000	0.564247
508.000000	0.613643
509.000000	0.684595
510.000000	0.759893
511.000000	0.825929
512.000000	0.901992
513.000000	0.965531
514.000000	1.049405
515.000000	1.151351
516.000000	1.210449
517.000000	1.278703
518.000000	1.377253
519.000000	1.417816
520.000000	1.492602
521.000000	1.556768
522.000000	1.609294
523.000000	1.644041
524.000000	1.682476
525.000000	1.713538
526.000000	1.739809
527.000000	1.763622
528.000000	1.776234
529.000000	1.783993
530.000000	1.780203
531.000000	1.796285
532.000000	1.747187
533.000000	1.747605
534.000000	1.732206
535.000000	1.712350
536.000000	1.680155
537.000000	1.626747
538.000000	1.608728
539.000000	1.569629
540.000000	1.512976
541.000000	1.498191
