#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/17
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0788	0.0456	0.0128
#xyY coordinates: 0.5743	0.3322	0.0456
#sRGB: 46	2	2
#CCT Lindbloom (K):	0
#CCT McCamy (K):	1848
#CCT Hernández-Andrés (K):	281
#Melatonin: 0.215
#Chlorophyll a: 0.078
#Chlorophyll b: 0.458
#Beta Carotene: 0.077
#Manufacturer: Unknown
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.000000	0.000000
476.000000	0.000000
477.000000	0.005709
478.000000	0.000000
479.000000	0.007270
480.000000	0.000646
481.000000	0.000479
482.000000	0.000000
483.000000	0.002821
484.000000	0.000000
485.000000	0.000937
486.000000	0.000000
487.000000	0.001851
488.000000	0.000000
489.000000	0.000000
490.000000	0.000000
491.000000	0.007448
492.000000	0.015060
493.000000	0.006450
494.000000	0.000844
495.000000	0.009105
496.000000	0.000000
497.000000	0.000000
498.000000	0.003050
499.000000	0.002142
500.000000	0.000000
501.000000	0.000558
502.000000	0.000000
503.000000	0.000938
504.000000	0.000000
505.000000	0.000000
506.000000	0.000000
507.000000	0.000608
508.000000	0.000107
509.000000	0.000574
510.000000	0.003707
511.000000	0.000006
512.000000	0.000000
513.000000	0.000000
514.000000	0.000000
515.000000	0.000000
516.000000	0.000000
517.000000	0.000951
518.000000	0.000007
519.000000	0.000109
520.000000	0.001983
521.000000	0.000011
522.000000	0.009970
523.000000	0.001254
524.000000	0.000000
525.000000	0.000112
526.000000	0.000000
527.000000	0.004945
528.000000	0.004632
529.000000	0.000667
530.000000	0.006055
531.000000	0.006046
532.000000	0.008078
533.000000	0.010691
534.000000	0.013126
535.000000	0.010046
536.000000	0.013125
537.000000	0.042363
538.000000	0.073734
539.000000	0.092294
540.000000	0.047064
541.000000	0.040687
542.000000	0.034672
543.000000	0.028902
544.000000	0.042197
545.000000	0.138036
546.000000	2.313413
547.000000	1.957412
548.000000	1.029985
549.000000	0.556052
550.000000	0.131201
551.000000	0.052412
552.000000	0.034419
553.000000	0.040982
554.000000	0.040879
555.000000	0.047181
556.000000	0.051782
557.000000	0.047644
558.000000	0.046816
559.000000	0.054687
560.000000	0.049055
561.000000	0.058528
562.000000	0.057250
563.000000	0.068640
564.000000	0.054552
565.000000	0.054500
566.000000	0.065253
567.000000	0.065325
568.000000	0.055270
569.000000	0.063419
570.000000	0.064488
571.000000	0.062512
572.000000	0.064932
573.000000	0.077049
574.000000	0.084078
575.000000	0.088670
576.000000	0.091575
577.000000	0.461095
578.000000	0.346236
579.000000	0.546419
580.000000	0.435169
581.000000	0.241490
582.000000	0.201262
583.000000	0.128434
584.000000	0.118960
585.000000	0.141237
586.000000	0.184894
587.000000	0.211579
588.000000	0.234516
589.000000	0.224441
590.000000	0.214565
591.000000	0.224643
592.000000	0.220484
593.000000	0.527351
594.000000	1.138634
595.000000	1.637867
596.000000	1.013163
597.000000	0.720398
598.000000	0.441283
599.000000	0.290931
600.000000	0.247101
601.000000	0.205491
602.000000	0.202714
603.000000	0.212115
604.000000	0.225922
605.000000	0.239115
606.000000	0.267595
607.000000	0.272580
608.000000	0.342271
609.000000	0.660481
610.000000	0.952299
611.000000	0.848533
612.000000	0.816331
613.000000	0.895000
614.000000	1.280297
615.000000	4.162693
616.000000	5.955107
617.000000	3.528739
618.000000	3.320833
619.000000	7.333775
620.000000	8.617079
621.000000	5.153052
622.000000	3.651649
623.000000	2.011202
624.000000	1.083387
625.000000	0.799538
626.000000	0.690338
627.000000	0.610415
628.000000	0.526555
629.000000	0.469496
630.000000	0.442303
631.000000	0.382589
632.000000	0.310230
633.000000	0.296063
634.000000	0.257228
635.000000	0.237091
636.000000	0.219572
637.000000	0.214026
638.000000	0.199175
639.000000	0.172664
640.000000	0.163323
641.000000	0.174580
642.000000	0.149303
643.000000	0.148329
644.000000	0.159660
645.000000	0.160066
646.000000	0.158956
647.000000	0.161899
648.000000	0.237349
649.000000	0.294901
650.000000	0.289914
651.000000	0.292894
652.000000	0.341106
653.000000	0.352644
654.000000	0.313843
655.000000	0.279245
656.000000	0.211731
657.000000	0.179087
658.000000	0.159445
659.000000	0.122160
660.000000	0.117712
661.000000	0.112247
662.000000	0.098926
663.000000	0.104601
664.000000	0.089738
665.000000	0.086934
666.000000	0.094547
667.000000	0.082030
668.000000	0.094447
669.000000	0.073482
670.000000	0.092677
671.000000	0.070746
672.000000	0.065677
673.000000	0.062061
674.000000	0.057495
675.000000	0.077628
676.000000	0.048378
677.000000	0.071597
678.000000	0.044098
679.000000	0.033668
680.000000	0.047057
681.000000	0.044384
682.000000	0.035869
683.000000	0.042292
684.000000	0.050992
685.000000	0.046965
686.000000	0.022830
687.000000	0.043547
688.000000	0.058830
689.000000	0.065203
690.000000	0.077866
691.000000	0.103289
692.000000	0.100534
693.000000	0.117025
694.000000	0.121500
695.000000	0.152506
696.000000	0.196882
697.000000	0.441443
698.000000	1.672154
699.000000	2.872891
700.000000	1.934233
701.000000	1.367634
702.000000	0.857168
703.000000	0.674126
704.000000	1.301681
705.000000	1.693277
706.000000	1.243916
707.000000	0.870732
708.000000	0.521271
709.000000	0.261912
710.000000	0.126290
711.000000	0.082979
712.000000	0.065318
713.000000	0.053599
714.000000	0.029700
715.000000	0.038956
716.000000	0.013286
717.000000	0.049924
718.000000	0.016722
719.000000	0.041316
720.000000	0.011864
721.000000	0.015686
722.000000	0.020285
723.000000	0.006089
724.000000	0.000000
725.000000	0.018263
