#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0538	0.0261	0.0000
#xyY coordinates: 0.6731	0.3267	0.0261
#sRGB: 34	0	0
#CCT Lindbloom (K):	1000
#CCT McCamy (K):	3291
#CCT Hernández-Andrés (K):	0
#Melatonin: 0.013
#Chlorophyll a: 4.453
#Chlorophyll b: 1.202
#Beta Carotene: 4.442
#Manufacturer: Oriel
#Luminance manufacturer: Unknown
#Other data:
#Begin Processed Spectral Data
W	S
475.000000	0.000000
476.000000	0.000000
477.000000	0.000293
478.000000	0.000000
479.000000	0.000000
480.000000	0.000000
481.000000	0.000000
482.000000	0.000000
483.000000	0.000000
484.000000	0.000000
485.000000	0.000000
486.000000	0.000487
487.000000	0.000000
488.000000	0.000000
489.000000	0.000000
490.000000	0.000000
491.000000	0.000000
492.000000	0.000000
493.000000	0.000000
494.000000	0.000000
495.000000	0.000000
496.000000	0.000000
497.000000	0.000000
498.000000	0.000000
499.000000	0.000000
500.000000	0.000000
501.000000	0.000000
502.000000	0.000000
503.000000	0.000000
504.000000	0.000406
505.000000	0.000000
506.000000	0.000000
507.000000	0.000000
508.000000	0.000000
509.000000	0.000000
510.000000	0.000000
511.000000	0.000000
512.000000	0.002685
513.000000	0.000000
514.000000	0.000000
515.000000	0.000000
516.000000	0.000000
517.000000	0.000000
518.000000	0.000000
519.000000	0.000000
520.000000	0.000000
521.000000	0.000000
522.000000	0.000000
523.000000	0.000000
524.000000	0.000000
525.000000	0.000000
526.000000	0.000000
527.000000	0.000000
528.000000	0.000000
529.000000	0.000000
530.000000	0.000000
531.000000	0.000000
532.000000	0.000000
533.000000	0.007781
534.000000	0.009761
535.000000	0.004617
536.000000	0.000000
537.000000	0.000000
538.000000	0.000000
539.000000	0.001451
540.000000	0.011525
541.000000	0.007918
542.000000	0.000000
543.000000	0.000000
544.000000	0.000000
545.000000	0.000000
546.000000	0.001924
547.000000	0.000000
548.000000	0.000000
549.000000	0.000000
550.000000	0.001356
551.000000	0.000000
552.000000	0.000000
553.000000	0.000000
554.000000	0.000000
555.000000	0.000000
556.000000	0.000000
557.000000	0.000000
558.000000	0.000000
559.000000	0.000000
560.000000	0.000000
561.000000	0.000000
562.000000	0.000000
563.000000	0.000000
564.000000	0.000000
565.000000	0.000000
566.000000	0.000395
567.000000	0.000000
568.000000	0.000000
569.000000	0.000397
570.000000	0.000000
571.000000	0.000000
572.000000	0.000000
573.000000	0.000000
574.000000	0.000969
575.000000	0.003923
576.000000	0.018581
577.000000	0.022960
578.000000	0.009852
579.000000	0.001872
580.000000	0.005128
581.000000	0.005148
582.000000	0.016910
583.000000	0.010784
584.000000	0.023680
585.000000	0.848115
586.000000	0.706326
587.000000	0.266101
588.000000	0.792412
589.000000	0.522341
590.000000	0.193887
591.000000	0.094547
592.000000	0.028810
593.000000	0.021402
594.000000	0.798577
595.000000	1.232234
596.000000	0.375793
597.000000	0.353447
598.000000	0.373556
599.000000	0.115781
600.000000	0.050186
601.000000	0.019694
602.000000	0.054719
603.000000	0.388835
604.000000	0.195948
605.000000	0.083294
606.000000	0.049301
607.000000	0.769462
608.000000	0.954095
609.000000	1.123102
610.000000	1.825941
611.000000	0.606930
612.000000	0.288775
613.000000	0.226375
614.000000	2.702725
615.000000	2.388315
616.000000	1.477979
617.000000	1.130501
618.000000	0.370381
619.000000	0.148293
620.000000	0.056276
621.000000	0.323345
622.000000	0.862267
623.000000	0.304360
624.000000	0.145623
625.000000	0.078918
626.000000	0.824196
627.000000	1.798581
628.000000	0.593938
629.000000	0.295876
630.000000	0.542508
631.000000	0.566928
632.000000	0.212405
633.000000	1.808693
634.000000	2.011765
635.000000	0.667955
636.000000	0.346990
637.000000	0.197560
638.000000	2.648031
639.000000	2.441536
640.000000	6.643601
641.000000	4.622588
642.000000	1.680929
643.000000	0.819256
644.000000	0.280443
645.000000	0.061113
646.000000	0.024766
647.000000	0.013756
648.000000	0.007998
649.000000	0.028407
650.000000	1.727336
651.000000	3.252553
652.000000	1.140592
653.000000	1.594712
654.000000	1.066391
655.000000	0.340534
656.000000	0.158678
657.000000	0.055275
658.000000	0.017652
659.000000	0.381341
660.000000	1.540844
661.000000	0.611157
662.000000	0.275328
663.000000	0.137306
664.000000	0.037495
665.000000	0.015889
666.000000	0.018853
667.000000	0.846604
668.000000	2.598353
669.000000	0.979409
670.000000	0.465955
671.000000	1.005428
672.000000	1.750583
673.000000	0.573787
674.000000	0.285973
675.000000	0.127593
676.000000	0.034914
677.000000	0.005814
678.000000	0.004652
679.000000	0.000000
680.000000	0.000000
681.000000	0.000000
682.000000	0.003479
683.000000	0.003437
684.000000	0.001426
685.000000	0.000000
686.000000	0.001931
687.000000	0.000000
688.000000	0.000000
689.000000	0.000000
690.000000	0.000972
691.000000	0.011891
692.000000	0.537045
693.000000	2.410452
694.000000	0.972983
695.000000	0.447852
696.000000	0.226787
697.000000	0.069022
698.000000	0.023077
699.000000	0.012696
700.000000	0.009840
701.000000	0.033617
702.000000	0.633752
703.000000	7.708531
704.000000	4.747187
705.000000	1.860650
706.000000	1.017310
707.000000	0.379811
708.000000	0.091301
709.000000	0.036329
710.000000	0.011215
711.000000	0.000000
712.000000	0.000000
713.000000	0.000000
714.000000	0.000000
715.000000	0.000000
716.000000	0.006999
717.000000	0.436615
718.000000	0.368702
719.000000	0.134775
720.000000	0.070448
721.000000	0.029613
722.000000	0.015449
723.000000	0.031949
724.000000	2.538430
725.000000	2.807666
