#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/04/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0220	0.0130	0.0000
#xyY coordinates: 0.6274	0.3713	0.0130
#sRGB: 13	1	0
#CCT Lindbloom (K):	---
#CCT McCamy (K):	1781
#CCT Hernández-Andrés (K):	319
#Melatonin: 0.021
#Chlorophyll a: 1.247
#Chlorophyll b: 0.713
#Beta Carotene: 1.249
#Manufacturer: Photron
#Luminance manufacturer: Unknown
#Other data: Calibration lamp tested in laboratory
#Begin Processed Spectral Data
W	S
475.000000	0.000017
476.000000	0.000000
477.000000	0.000000
478.000000	0.000000
479.000000	0.000774
480.000000	0.000000
481.000000	0.000000
482.000000	0.000306
483.000000	0.002012
484.000000	0.003038
485.000000	0.000001
486.000000	0.000000
487.000000	0.000082
488.000000	0.000000
489.000000	0.000877
490.000000	0.000000
491.000000	0.000000
492.000000	0.000000
493.000000	0.000000
494.000000	0.000000
495.000000	0.000000
496.000000	0.000000
497.000000	0.000000
498.000000	0.000000
499.000000	0.000000
500.000000	0.000000
501.000000	0.000954
502.000000	0.002795
503.000000	0.004860
504.000000	0.028111
505.000000	0.007060
506.000000	0.000134
507.000000	0.000000
508.000000	0.014367
509.000000	0.010350
510.000000	0.000096
511.000000	0.003736
512.000000	0.023827
513.000000	0.006939
514.000000	0.002146
515.000000	0.012362
516.000000	0.007381
517.000000	0.002702
518.000000	0.000729
519.000000	0.003972
520.000000	0.011591
521.000000	0.015786
522.000000	0.007842
523.000000	0.004838
524.000000	0.003127
525.000000	0.000000
526.000000	0.000000
527.000000	0.000000
528.000000	0.000000
529.000000	0.003226
530.000000	0.004621
531.000000	0.003863
532.000000	0.001106
533.000000	0.056021
534.000000	0.100171
535.000000	0.077059
536.000000	0.010013
537.000000	0.003679
538.000000	0.001459
539.000000	0.006512
540.000000	0.104772
541.000000	0.083278
542.000000	0.010595
543.000000	0.003113
544.000000	0.000000
545.000000	0.003450
546.000000	0.000000
547.000000	0.000000
548.000000	0.000000
549.000000	0.000000
550.000000	0.002297
551.000000	0.000000
552.000000	0.000000
553.000000	0.000136
554.000000	0.000587
555.000000	0.000000
556.000000	0.003731
557.000000	0.007450
558.000000	0.001696
559.000000	0.000546
560.000000	0.000000
561.000000	0.000000
562.000000	0.000000
563.000000	0.000000
