#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2018/01/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.0749	0.0443	0.0001
#xyY coordinates: 0.6274	0.3717	0.0443
#sRGB: 44	3	0
#CCT Lindbloom (K):	---
#CCT McCamy (K):	1780
#CCT Hernández-Andrés (K):	319
#Melatonin: 0.021
#Chlorophyll a: 2.621
#Chlorophyll b: 0.713
#Beta Carotene: 2.607
#Manufacturer: Photron
#Luminance manufacturer: Unknown
#Other data: Calibration lamp tested in laboratory
#Begin Processed Spectral Data
W	S
475.000000	0.000017
476.000000	0.000000
477.000000	0.000000
478.000000	0.000000
479.000000	0.000745
480.000000	0.000000
481.000000	0.000000
482.000000	0.000294
483.000000	0.001936
484.000000	0.002923
485.000000	0.000001
486.000000	0.000000
487.000000	0.000079
488.000000	0.000000
489.000000	0.000844
490.000000	0.000000
491.000000	0.000000
492.000000	0.000000
493.000000	0.000000
494.000000	0.000000
495.000000	0.000000
496.000000	0.000000
497.000000	0.000000
498.000000	0.000000
499.000000	0.000000
500.000000	0.000000
501.000000	0.000918
502.000000	0.002689
503.000000	0.004676
504.000000	0.027048
505.000000	0.006793
506.000000	0.000129
507.000000	0.000000
508.000000	0.013823
509.000000	0.009959
510.000000	0.000093
511.000000	0.003595
512.000000	0.022926
513.000000	0.006676
514.000000	0.002064
515.000000	0.011894
516.000000	0.007102
517.000000	0.002600
518.000000	0.000701
519.000000	0.003822
520.000000	0.011153
521.000000	0.015189
522.000000	0.007545
523.000000	0.004655
524.000000	0.003008
525.000000	0.000000
526.000000	0.000000
527.000000	0.000000
528.000000	0.000000
529.000000	0.003104
530.000000	0.004446
531.000000	0.003717
532.000000	0.001064
533.000000	0.053902
534.000000	0.096382
535.000000	0.074144
536.000000	0.009635
537.000000	0.003540
538.000000	0.001404
539.000000	0.006266
540.000000	0.100809
541.000000	0.080128
542.000000	0.010194
543.000000	0.002995
544.000000	0.000000
545.000000	0.003320
546.000000	0.000000
547.000000	0.000000
548.000000	0.000000
549.000000	0.000000
550.000000	0.002210
551.000000	0.000000
552.000000	0.000001
553.000000	0.000131
554.000000	0.000565
555.000000	0.000000
556.000000	0.003590
557.000000	0.007168
558.000000	0.001632
559.000000	0.000526
560.000000	0.000000
561.000000	0.000000
562.000000	0.000000
563.000000	0.000000
